"Player","Pos","Team","Salary","Proj","Value","ID","OptPos","Pos2","Pos1","Opp","OU","SPRD","IMP","Roster"
"Luka Doncic","PG","DAL",12800,68.88,5.4,"33113043","PG","","PG","GSW",233,-7,120,17.12
"Nikola Jokic","C","DEN",12000,57,4.8,"33113046","C","","C","@MIA",217.5,-3.5,110.5,7.44
"Immanuel Quickley","PG","TOR",8500,44.5,5.2,"33113086","PG","","PG","@DET",232.5,3.5,114.5,19.68
"Cade Cunningham","PG","DET",8600,44.45,5.2,"33113075","PG","","PG","TOR",232.5,-3.5,118,18.38
"Nikola Vucevic","C","CHI",8300,43.3,5.2,"33113092","C","","C","@IND",229,4.5,112.25,7.45
"Tyrese Haliburton","PG","IND",9400,43.1,4.6,"33113048","PG","","PG","CHI",229,-4.5,116.75,10.31
"Paolo Banchero","PF","ORL",8900,41.6,4.7,"33113065","PF","","PF","BKN",204.5,-6.5,105.5,10.2
"Jimmy Butler","SF","MIA",8600,41.59,4.8,"33113068","SF","","SF","DEN",217.5,3.5,107,12.07
"Miles Bridges","SF/PF","CHA",8800,41.5,4.7,"33113061","SF/PF","PF","SF","@MEM",202.5,-2.5,102.5,5.2
"Zion Williamson","PF","NO",8300,41,4.9,"33113094","PF","","PF","CLE",217,-5.5,111.25,11.48
"Jarrett Allen","C","CLE",8400,40.71,4.8,"33113084","C","","C","@NOP",217,5.5,105.75,6.79
"Bam Adebayo","C","MIA",8500,40.59,4.8,"33113082","C","","C","DEN",217.5,3.5,107,7.83
"DeMar DeRozan","SF/PF","CHI",8200,40.39,4.9,"33113097","SF/PF","PF","SF","@IND",229,4.5,112.25,17.73
"Kyrie Irving","PG/SG","DAL",8600,40.27,4.7,"33113078","PG/SG","SG","PG","GSW",233,-7,120,18.15
"Donovan Mitchell","PG/SG","CLE",9200,39.88,4.3,"33113051","PG/SG","SG","PG","@NOP",217,5.5,105.75,9.58
