"Team","Opp","Player1","Player2","Salary","Proj","Value"
"PHI","@COL - Kuhl ( R )","Bryce Harper","J.T. Realmuto",11800,29.5,2.5
"PHI","@COL - Kuhl ( R )","Bryce Harper","Nick Castellanos",12200,28.8,2.4
"PHI","@COL - Kuhl ( R )","Bryce Harper","Rhys Hoskins",11600,27.9,2.4
"PHI","@COL - Kuhl ( R )","Bryce Harper","Kyle Schwarber",11600,27.5,2.4
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Nick Castellanos",11600,27.1,2.3
"PHI","@COL - Kuhl ( R )","Bryce Harper","Jean Segura",10700,27,2.5
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Rhys Hoskins",11000,26.2,2.4
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Kyle Schwarber",11000,25.7,2.3
"PHI","@COL - Kuhl ( R )","Nick Castellanos","Rhys Hoskins",11400,25.5,2.2
"PHI","@COL - Kuhl ( R )","Bryce Harper","Didi Gregorius",11000,25.3,2.3
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Jean Segura",10100,25.2,2.5
"PHI","@COL - Kuhl ( R )","Kyle Schwarber","Nick Castellanos",11400,25.1,2.2
"PHI","@COL - Kuhl ( R )","Jean Segura","Nick Castellanos",10500,24.6,2.3
"PHI","@COL - Kuhl ( R )","Bryce Harper","Matt Vierling",8900,24.4,2.7
"PHI","@COL - Kuhl ( R )","Kyle Schwarber","Rhys Hoskins",10800,24.2,2.2
"PHI","@COL - Kuhl ( R )","Jean Segura","Rhys Hoskins",9900,23.7,2.4
"PHI","@COL - Kuhl ( R )","Didi Gregorius","J.T. Realmuto",10400,23.5,2.3
"PHI","@COL - Kuhl ( R )","Jean Segura","Kyle Schwarber",9900,23.2,2.3
"PHI","@COL - Kuhl ( R )","Bryce Harper","Johan Camargo",8800,23.1,2.6
"PHI","@COL - Kuhl ( R )","Didi Gregorius","Nick Castellanos",10800,22.9,2.1
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Matt Vierling",8300,22.6,2.7
"PHI","@COL - Kuhl ( R )","Matt Vierling","Nick Castellanos",8700,22,2.5
"PHI","@COL - Kuhl ( R )","Didi Gregorius","Rhys Hoskins",10200,22,2.2
"PHI","@COL - Kuhl ( R )","Didi Gregorius","Kyle Schwarber",10200,21.5,2.1
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Johan Camargo",8200,21.3,2.6
"PHI","@COL - Kuhl ( R )","Matt Vierling","Rhys Hoskins",8100,21.1,2.6
"PHI","@COL - Kuhl ( R )","Didi Gregorius","Jean Segura",9300,21,2.3
"PHI","@COL - Kuhl ( R )","Johan Camargo","Nick Castellanos",8600,20.7,2.4
"SF","@NYM - Megill ( R )","Brandon Belt","Mike Yastrzemski",9400,20.6,2.2
"PHI","@COL - Kuhl ( R )","Kyle Schwarber","Matt Vierling",8100,20.6,2.5
"SF","@NYM - Megill ( R )","Brandon Belt","Brandon Crawford",10400,20.5,2
"PHI","@COL - Kuhl ( R )","Bryce Harper","Bryson Stott",10400,20.4,2
"PHI","@COL - Kuhl ( R )","Bryce Harper","Garrett Stubbs",9000,20.4,2.3
"PHI","@COL - Kuhl ( R )","Bryce Harper","Simon Muzziotti",8800,20.2,2.3
"PHI","@COL - Kuhl ( R )","Jean Segura","Matt Vierling",7200,20.1,2.8
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Wander Franco",10800,19.9,1.8
"PHI","@COL - Kuhl ( R )","Johan Camargo","Rhys Hoskins",8000,19.8,2.5
"SF","@NYM - Megill ( R )","Brandon Belt","Joc Pederson",8500,19.7,2.3
"SF","@NYM - Megill ( R )","Brandon Belt","Darin Ruf",8300,19.7,2.4
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Ji-Man Choi",9400,19.7,2.1
"LAA","@HOU - Garcia ( R )","Jared Walsh","Shohei Ohtani",10000,19.5,1.9
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Randy Arozarena",10500,19.4,1.8
"PHI","@COL - Kuhl ( R )","Johan Camargo","Kyle Schwarber",8000,19.3,2.4
"LAD","ATL - Ynoa ( R )","Trea Turner","Will Smith",9900,19.1,1.9
"LAD","ATL - Ynoa ( R )","Mookie Betts","Trea Turner",11100,19,1.7
"SF","@NYM - Megill ( R )","Brandon Belt","Wilmer Flores",8800,19,2.2
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Mike Zunino",10300,19,1.8
"LAD","ATL - Ynoa ( R )","Mookie Betts","Will Smith",9400,18.9,2
"PHI","@COL - Kuhl ( R )","Jean Segura","Johan Camargo",7100,18.8,2.6
"LAD","ATL - Ynoa ( R )","Freddie Freeman","Trea Turner",10800,18.8,1.7
"PHI","@COL - Kuhl ( R )","Alec Bohm","Bryce Harper",9800,18.8,1.9
"SF","@NYM - Megill ( R )","Brandon Belt","Thairo Estrada",9100,18.8,2.1
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Kevin Kiermaier",8600,18.7,2.2
"OAK","BAL - Watkins ( R )","Sean Murphy","Tony Kemp",8400,18.7,2.2
"OAK","BAL - Watkins ( R )","Seth Brown","Tony Kemp",7000,18.7,2.7
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Josh Lowe",8500,18.7,2.2
"LAD","ATL - Ynoa ( R )","Freddie Freeman","Will Smith",9100,18.7,2.1
"SF","@NYM - Megill ( R )","Brandon Crawford","Mike Yastrzemski",9600,18.7,1.9
"LAD","ATL - Ynoa ( R )","Freddie Freeman","Mookie Betts",10300,18.6,1.8
"OAK","BAL - Watkins ( R )","Sean Murphy","Seth Brown",8200,18.6,2.3
"PHI","@COL - Kuhl ( R )","Bryson Stott","J.T. Realmuto",9800,18.6,1.9
"PHI","@COL - Kuhl ( R )","Garrett Stubbs","J.T. Realmuto",8400,18.6,2.2
"SF","@NYM - Megill ( R )","Brandon Belt","Steven Duggar",7800,18.6,2.4
"COL","PHI - Nola ( R )","C.J. Cron","Kris Bryant",8600,18.6,2.2
