"Team1","Team2","Player1","Player2","Player3","Player4","Salary","Proj","Value"
"PHI","WSH","Bryce Harper","J.T. Realmuto","Lane Thomas","Nelson Cruz",19600,48.7,2.5
"OAK","PHI","Seth Brown","Tony Kemp","Bryce Harper","J.T. Realmuto",18800,48.2,2.6
"PHI","WSH","Bryce Harper","J.T. Realmuto","Maikel Franco","Nelson Cruz",19400,48.2,2.5
"ARI","PHI","Daulton Varsho","David Peralta","Bryce Harper","J.T. Realmuto",19100,48.1,2.5
"PHI","SF","Bryce Harper","J.T. Realmuto","Brandon Belt","Steven Duggar",19600,48.1,2.5
"ARI","PHI","Daulton Varsho","Seth Beer","Bryce Harper","J.T. Realmuto",18800,47.9,2.5
"ARI","PHI","Christian Walker","Daulton Varsho","Bryce Harper","J.T. Realmuto",18600,47.8,2.6
"PHI","SF","Bryce Harper","J.T. Realmuto","Brandon Belt","Joey Bart",19800,47.8,2.4
"OAK","PHI","Jed Lowrie","Tony Kemp","Bryce Harper","J.T. Realmuto",19100,47.8,2.5
"OAK","PHI","Jed Lowrie","Seth Brown","Bryce Harper","J.T. Realmuto",18900,47.7,2.5
"PHI","SF","Bryce Harper","Rhys Hoskins","Brandon Belt","Darin Ruf",19900,47.6,2.4
"ARI","PHI","Daulton Varsho","Ketel Marte","Bryce Harper","Jean Segura",19600,47.6,2.4
"OAK","PHI","Seth Brown","Tony Kemp","Bryce Harper","Nick Castellanos",19200,47.6,2.5
"PHI","WSH","Bryce Harper","Nick Castellanos","Maikel Franco","Nelson Cruz",19800,47.5,2.4
"ARI","PHI","Daulton Varsho","David Peralta","Bryce Harper","Nick Castellanos",19500,47.5,2.4
"PHI","SF","Bryce Harper","J.T. Realmuto","Joc Pederson","Mike Yastrzemski",19500,47.4,2.4
"ARI","PHI","Daulton Varsho","Pavin Smith","Bryce Harper","J.T. Realmuto",18400,47.4,2.6
"PHI","SF","Bryce Harper","J.T. Realmuto","Darin Ruf","Mike Yastrzemski",19300,47.3,2.5
"ARI","PHI","Ketel Marte","Sergio Alcantara","Bryce Harper","J.T. Realmuto",19500,47.3,2.4
"ARI","PHI","Daulton Varsho","Seth Beer","Bryce Harper","Nick Castellanos",19200,47.3,2.5
"ARI","PHI","Christian Walker","Daulton Varsho","Bryce Harper","Nick Castellanos",19000,47.2,2.5
"PHI","SF","Bryce Harper","Kyle Schwarber","Brandon Belt","Darin Ruf",19900,47.1,2.4
"OAK","PHI","Jed Lowrie","Tony Kemp","Bryce Harper","Nick Castellanos",19500,47.1,2.4
