"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"PHI","@COL - Freeland ( L )","Bryce Harper","Nick Castellanos","Rhys Hoskins",17500,37.8,2.2
"PHI","@COL - Freeland ( L )","Bryce Harper","J.T. Realmuto","Nick Castellanos",17300,37.5,2.2
"PHI","@COL - Freeland ( L )","Bryce Harper","J.T. Realmuto","Rhys Hoskins",16900,37.1,2.2
"PHI","@COL - Freeland ( L )","Bryce Harper","Jean Segura","Nick Castellanos",16600,36.7,2.2
"PHI","@COL - Freeland ( L )","Bryce Harper","Johan Camargo","Nick Castellanos",14800,36.4,2.5
"PHI","@COL - Freeland ( L )","Bryce Harper","Jean Segura","Rhys Hoskins",16200,36.4,2.2
"PHI","@COL - Freeland ( L )","Bryce Harper","J.T. Realmuto","Jean Segura",16000,36.1,2.3
"PHI","@COL - Freeland ( L )","Bryce Harper","Johan Camargo","Rhys Hoskins",14400,36.1,2.5
"PHI","@COL - Freeland ( L )","Bryce Harper","J.T. Realmuto","Johan Camargo",14200,35.8,2.5
"PHI","@COL - Freeland ( L )","J.T. Realmuto","Nick Castellanos","Rhys Hoskins",16700,35.8,2.1
"PHI","@COL - Freeland ( L )","Bryce Harper","Kyle Schwarber","Nick Castellanos",17500,35.6,2
"PHI","@COL - Freeland ( L )","Bryce Harper","Kyle Schwarber","Rhys Hoskins",17100,35.2,2.1
"PHI","@COL - Freeland ( L )","Bryce Harper","Jean Segura","Johan Camargo",13500,35,2.6
"PHI","@COL - Freeland ( L )","Jean Segura","Nick Castellanos","Rhys Hoskins",16000,35,2.2
"PHI","@COL - Freeland ( L )","Bryce Harper","J.T. Realmuto","Kyle Schwarber",16900,35,2.1
"PHI","@COL - Freeland ( L )","J.T. Realmuto","Jean Segura","Nick Castellanos",15800,34.8,2.2
"PHI","@COL - Freeland ( L )","Johan Camargo","Nick Castellanos","Rhys Hoskins",14200,34.7,2.4
