"Pos","Player","Team","Opp","Salary","Proj","Value","OU","SPRD","IMP"
"QB","Dak Prescott","DAL","GB",8600,21.11,2.5,50.5,-7,28.75
"QB","Jalen Hurts","PHI","@TB",9000,20.94,2.3,43,-3,23
"WR","CeeDee Lamb","DAL","GB",10000,19.88,2,50.5,-7,28.75
"QB","Josh Allen","BUF","PIT",9300,19.67,2.1,33,-9,21
"QB","Patrick Mahomes","KC","MIA",8000,19.34,2.4,43.5,-4.5,24
"QB","Jared Goff","DET","LAR",7700,18.11,2.4,52,-3,27.5
"QB","Matthew Stafford","LAR","@DET",7400,17.63,2.4,52,3,24.5
"QB","Jordan Love","GB","@DAL",7600,17.6,2.3,50.5,7,21.75
"WR","Amon-Ra St. Brown","DET","LAR",9000,17.1,1.9,52,-3,27.5
"QB","Joe Flacco","CLE","@HOU",7800,16.95,2.2,45,-2.5,23.75
"QB","C.J. Stroud","HOU","CLE",7600,16.94,2.2,45,2.5,21.25
"RB","Kyren Williams","LAR","@DET",9000,16.48,1.8,52,3,24.5
"WR","Tyreek Hill","MIA","@KC",9400,16.29,1.7,43.5,4.5,19.5
"QB","Baker Mayfield","TB","PHI",7200,15.35,2.1,43,3,20
"RB","Isiah Pacheco","KC","MIA",8000,14.77,1.8,43.5,-4.5,24
"QB","Tua Tagovailoa","MIA","@KC",7000,14.55,2.1,43.5,4.5,19.5
"WR","Puka Nacua","LAR","@DET",8000,14.54,1.8,52,3,24.5
"RB","Rachaad White","TB","PHI",7700,14.35,1.9,43,3,20
"WR","Amari Cooper","CLE","@HOU",7500,14.25,1.9,45,-2.5,23.75
"RB","Aaron Jones","GB","@DAL",7000,13.81,2,50.5,7,21.75
"RB","Jahmyr Gibbs","DET","LAR",7400,13.77,1.9,52,-3,27.5
"WR","Nico Collins","HOU","CLE",8300,13.7,1.7,45,2.5,21.25
"WR","Cooper Kupp","LAR","@DET",7500,13.7,1.8,52,3,24.5
"WR","Mike Evans","TB","PHI",8400,13.63,1.6,43,3,20
"RB","Tony Pollard","DAL","GB",7800,12.99,1.7,50.5,-7,28.75
"RB","Devin Singletary","HOU","CLE",6300,12.91,2,45,2.5,21.25
"RB","James Cook","BUF","PIT",7100,12.58,1.8,33,-9,21
"WR","Rashee Rice","KC","MIA",7800,12.2,1.6,43.5,-4.5,24
"WR","DeVonta Smith","PHI","@TB",7200,11.32,1.6,43,-3,23
"RB","David Montgomery","DET","LAR",7600,11.21,1.5,52,-3,27.5
"TE","David Njoku","CLE","@HOU",7000,11.19,1.6,45,-2.5,23.75
"RB","D'Andre Swift","PHI","@TB",6900,11.13,1.6,43,-3,23
"RB","Jerome Ford","CLE","@HOU",6800,11.11,1.6,45,-2.5,23.75
"TE","Travis Kelce","KC","MIA",7200,10.99,1.5,43.5,-4.5,24
"RB","Devon Achane","MIA","@KC",7400,10.96,1.5,43.5,4.5,19.5
"WR","Chris Godwin","TB","PHI",6900,10.93,1.6,43,3,20
"WR","Stefon Diggs","BUF","PIT",7700,10.37,1.3,33,-9,21
"WR","Jayden Reed","GB","@DAL",7000,10.27,1.5,50.5,7,21.75
"RB","Najee Harris","PIT","@BUF",6500,10.25,1.6,33,9,12
"WR","Jaylen Waddle","MIA","@KC",7000,10.15,1.4,43.5,4.5,19.5
"RB","Raheem Mostert","MIA","@KC",8200,10.03,1.2,43.5,4.5,19.5
"D","Bills","BUF","PIT",5000,9.82,2,33,-9,21
"TE","Jake Ferguson","DAL","GB",6200,9.75,1.6,50.5,-7,28.75
"QB","Mason Rudolph","PIT","@BUF",6300,9.68,1.5,33,9,12
"RB","Jaylen Warren","PIT","@BUF",5600,9.16,1.6,33,9,12
"TE","Dallas Goedert","PHI","@TB",6100,8.86,1.5,43,-3,23
"WR","Brandin Cooks","DAL","GB",6500,8.39,1.3,50.5,-7,28.75
"WR","Demarcus Robinson","LAR","@DET",6300,8.04,1.3,52,3,24.5
"TE","Dalton Schultz","HOU","CLE",5900,7.74,1.3,45,2.5,21.25
"WR","George Pickens","PIT","@BUF",6600,7.52,1.1,33,9,12
"D","Chiefs","KC","MIA",4000,7.12,1.8,43.5,-4.5,24
