"Player","Pos","Team","Salary","Proj","projVal","ID","Opp","ML","OU","SPRD","IMP","Actual","actVal"
"Josh Allen","QB","BUF",8200,26.72,3.3,24484156,"PIT",-860,45.5,-14,29.8,39.2,4.8
"Austin Ekeler","RB","LAC",7800,19.05,2.4,24484242,"@CLE",-122,47,-2,24.5,38.9,5
"Taysom Hill","QB","NO",4900,3.86,0.8,24484193,"SEA",-233,45.5,-5.5,25.5,37.1,7.6
"Leonard Fournette","RB","TB",6900,18.26,2.6,24484248,"ATL",-466,46.5,-10,28.2,35.9,5.2
"Gabe Davis","WR","BUF",6400,13.83,2.2,24484546,"PIT",-860,45.5,-14,29.8,35.1,5.5
"Justin Jefferson","WR","MIN",8900,20.91,2.3,24484518,"CHI",-350,44,-7.5,25.8,33.3,3.7
"Breece Hall","RB","NYJ",5400,14.09,2.6,24484294,"MIA",153,46,3.5,21.2,30.7,5.7
"Tyler Lockett","WR","SEA",5600,14.88,2.7,24484568,"@NO",190,45.5,5.5,20,30.4,5.4
"Derrick Henry","RB","TEN",8200,18.75,2.3,24484238,"@WAS",-112,43,-0.5,21.8,30.2,3.7
"Cooper Kupp","WR","LAR",9600,25.04,2.6,24484516,"DAL",-235,42.5,-5.5,24,28.9,3
"Nick Chubb","RB","CLE",8000,16,2,24484240,"LAC",104,47,2,22.5,28.4,3.5
"Jalen Hurts","QB","PHI",8100,25.05,3.1,24484157,"@ARI",-230,48.5,-5.5,27,27.7,3.4
"Dyami Brown","WR","WAS",3000,4.98,1.7,24484848,"TEN",-106,43,0.5,21.2,27.5,9.2
"Alvin Kamara","RB","NO",6600,17.22,2.6,24484250,"SEA",-233,45.5,-5.5,25.5,27.4,4.2
"Stefon Diggs","WR","BUF",8400,20.33,2.4,24484520,"PIT",-860,45.5,-14,29.8,27.2,3.2
"Jakobi Meyers","WR","NE",4800,10.75,2.2,24484610,"DET",-157,46.5,-3,24.8,27.1,5.6
"Mike Williams","WR","LAC",7100,15.94,2.2,24484532,"@CLE",-122,47,-2,24.5,26.4,3.7
"Dalvin Cook","RB","MIN",7300,17.71,2.4,24484244,"CHI",-350,44,-7.5,25.8,26.1,3.6
"Carson Wentz","QB","WAS",5700,17.7,3.1,24484168,"TEN",-106,43,0.5,21.2,25.9,4.5
"Geno Smith","QB","SEA",5500,16.7,3,24484171,"@NO",190,45.5,5.5,20,24,4.4
"Christian McCaffrey","RB","CAR",8500,19.64,2.3,24484236,"SF",217,40,6.5,16.8,23.4,2.8
"Kirk Cousins","QB","MIN",6300,18.89,3,24484161,"CHI",-350,44,-7.5,25.8,23.2,3.7
"Jeff Wilson","RB","SF",5500,13.85,2.5,24484288,"@CAR",-267,40,-6.5,23.2,23.2,4.2
"Tom Brady","QB","TB",6000,22.48,3.7,24484165,"ATL",-466,46.5,-10,28.2,22.7,3.8
"Rhamondre Stevenson","RB","NE",5500,13.09,2.4,24484290,"DET",-157,46.5,-3,24.8,22.5,4.1
"Raheem Mostert","RB","MIA",5000,11.7,2.3,24484312,"@NYJ",-182,46,-3.5,24.8,22.2,4.4
"Marquise Brown","WR","ARI",7200,16.05,2.2,24484530,"PHI",184,48.5,5.5,21.5,21.8,3
"Amari Cooper","WR","CLE",6000,13.99,2.3,24484558,"LAC",104,47,2,22.5,20.6,3.4
"Marvin Jones","WR","JAX",4200,9.11,2.2,24484628,"HOU",-323,43.5,-7,25.2,20.4,4.9
"Dameon Pierce","RB","HOU",6200,13.8,2.2,24484268,"@JAX",261,43.5,7,18.2,20.3,3.3
"D.K. Metcalf","WR","SEA",6800,15.46,2.3,24484538,"@NO",190,45.5,5.5,20,18.8,2.8
"DeVonta Smith","WR","PHI",6000,13.51,2.3,24484556,"@ARI",-230,48.5,-5.5,27,18.7,3.1
"David Montgomery","RB","CHI",6200,12.64,2,24484266,"@MIN",281,44,7.5,18.2,18.2,2.9
"Marcus Mariota","QB","ATL",5400,16.41,3,24484175,"@TB",360,46.5,10,18.2,18,3.3
"Jimmy Garoppolo","QB","SF",5400,15.68,2.9,24484173,"@CAR",-267,40,-6.5,23.2,18,3.3
"Dallas Goedert","TE","PHI",4700,11.34,2.4,24484986,"@ARI",-230,48.5,-5.5,27,17.5,3.7
"Michael Carter","RB","NYJ",4900,9.54,1.9,24484318,"MIA",153,46,3.5,21.2,17.3,3.5
"Kyler Murray","QB","ARI",7400,20.31,2.7,24484158,"PHI",184,48.5,5.5,21.5,17.2,2.3
"Justin Fields","QB","CHI",5300,15.75,3,24484178,"@MIN",281,44,7.5,18.2,17,3.2
"Khalil Shakir","WR","BUF",3200,7.39,2.3,24484704,"PIT",-860,45.5,-14,29.8,16.5,5.2
"Matthew Stafford","QB","LAR",6400,18.35,2.9,24484160,"DAL",-235,42.5,-5.5,24,16.3,2.5
"Joshua Kelley","RB","LAC",4200,3.42,0.8,24484360,"@CLE",-122,47,-2,24.5,16.2,3.9
"Kenny Pickett","QB","PIT",5100,14.81,2.9,24484181,"@BUF",583,45.5,14,15.8,16.1,3.2
"Jacoby Brissett","QB","CLE",5600,16.13,2.9,24484169,"LAC",104,47,2,22.5,15.4,2.8
"Chris Olave","WR","NO",5700,16.09,2.8,24484570,"SEA",-233,45.5,-5.5,25.5,15.4,2.7
"Josh Reynolds","WR","DET",4900,11.41,2.3,24484604,"@NE",134,46.5,3,21.8,15.2,3.1
"David Njoku","TE","CLE",3800,9.89,2.6,24484996,"LAC",104,47,2,22.5,14.8,3.9
"Kenneth Walker","RB","SEA",4700,5.42,1.2,24484332,"@NO",190,45.5,5.5,20,14.8,3.1
"Kareem Hunt","RB","CLE",6000,11.28,1.9,24484272,"LAC",104,47,2,22.5,14.7,2.4
"Zach Wilson","QB","NYJ",5300,16.12,3,24484177,"MIA",153,46,3.5,21.2,14.6,2.8
"Tony Pollard","RB","DAL",5700,9.77,1.7,24484280,"@LAR",193,42.5,5.5,18.5,14.6,2.6
"Justin Herbert","QB","LAC",7100,20.55,2.9,24484159,"@CLE",-122,47,-2,24.5,14.4,2
"Travis Etienne","RB","JAX",5100,9.88,1.9,24484304,"HOU",-323,43.5,-7,25.2,14.4,2.8
"George Pickens","WR","PIT",4300,9.04,2.1,24484626,"@BUF",583,45.5,14,15.8,14.3,3.3
"Eno Benjamin","RB","ARI",4600,5.01,1.1,24484342,"PHI",184,48.5,5.5,21.5,14.3,3.1
"Rondale Moore","WR","ARI",4100,9.2,2.2,24484640,"PHI",184,48.5,5.5,21.5,13.1,3.2
"Tyreek Hill","WR","MIA",8000,19.91,2.5,24484522,"@NYJ",-182,46,-3.5,24.8,13,1.6
"Evan Engram","TE","JAX",3100,7.58,2.4,24485014,"HOU",-323,43.5,-7,25.2,12.9,4.2
"Terry McLaurin","WR","WAS",6200,12.81,2.1,24484550,"TEN",-106,43,0.5,21.2,12.6,2
"Trevor Lawrence","QB","JAX",5600,18.67,3.3,24484170,"HOU",-323,43.5,-7,25.2,12.3,2.2
"Chris Godwin","WR","TB",5900,16.37,2.8,24484560,"ATL",-466,46.5,-10,28.2,12.3,2.1
"Dontrell Hilliard","RB","TEN",4900,6.34,1.3,24484316,"@WAS",-112,43,-0.5,21.8,12.3,2.5
"Curtis Samuel","WR","WAS",5800,13.68,2.4,24484566,"TEN",-106,43,0.5,21.2,12.2,2.1
"Craig Reynolds","RB","DET",4800,4.45,0.9,24484324,"@NE",134,46.5,3,21.8,12.2,2.5
"Mike Evans","WR","TB",6900,17.86,2.6,24484536,"ATL",-466,46.5,-10,28.2,12.1,1.8
"Olamide Zaccheaus","WR","ATL",4000,7.25,1.8,24484648,"@TB",360,46.5,10,18.2,11.9,3
"Tyler Higbee","TE","LAR",4300,12.55,2.9,24484990,"DAL",-235,42.5,-5.5,24,11.6,2.7
"Ryan Tannehill","QB","TEN",5800,16.61,2.9,24484167,"@WAS",-112,43,-0.5,21.8,11.5,2
"Deebo Samuel","WR","SF",7700,18.27,2.4,24484524,"@CAR",-267,40,-6.5,23.2,11.2,1.5
"Adam Trautman","TE","NO",2700,3.17,1.2,24485030,"SEA",-233,45.5,-5.5,25.5,11.2,4.1
"Bailey Zappe","QB","NE",5100,14.48,2.8,24484185,"DET",-157,46.5,-3,24.8,11,2.2
"Diontae Johnson","WR","PIT",6100,13.26,2.2,24484554,"@BUF",583,45.5,14,15.8,11,1.8
"Andy Dalton","QB","NO",5200,17.08,3.3,24484179,"SEA",-233,45.5,-5.5,25.5,10.9,2.1
"Shi Smith","WR","CAR",3000,5.28,1.8,24484882,"SF",217,40,6.5,16.8,10.9,3.6
"Zach Ertz","TE","ARI",4800,11.83,2.5,24484984,"PHI",184,48.5,5.5,21.5,10.8,2.3
"D.J. Moore","WR","CAR",5200,12.04,2.3,24484582,"SF",217,40,6.5,16.8,10.7,2.1
"Nico Collins","WR","HOU",4100,9.57,2.3,24484642,"@JAX",261,43.5,7,18.2,10.5,2.6
"CeeDee Lamb","WR","DAL",7000,15.88,2.3,24484534,"@LAR",193,42.5,5.5,18.5,10.3,1.5
