"Player","Pos","Team","Salary","Proj","projVal","ID","Opp","ML","OU","SPRD","IMP","Actual","actVal"
"Nick Chubb","RB","CLE",7900,13.76,1.7,20851446,"CIN",-233,37.5,-5.5,21.5,16.3,2.1
"Vikings","D","MIN",2900,7.01,2.4,20852580,"CHI",-203,44.5,-4,24.2,15,5.2
"Justin Jefferson","WR","MIN",8100,20.69,2.6,20851780,"CHI",-203,44.5,-4,24.2,14.7,1.8
"Cole Kmet","TE","CHI",3400,9.29,2.7,20852296,"@MIN",169,44.5,4,20.2,13.1,3.9
"David Montgomery","RB","CHI",6800,17.63,2.6,20851460,"@MIN",169,44.5,4,20.2,12.3,1.8
"Darnell Mooney","WR","CHI",5900,14.57,2.5,20851808,"@MIN",169,44.5,4,20.2,11.6,2
"Kirk Cousins","QB","MIN",6100,18.4,3,20851358,"CHI",-203,44.5,-4,24.2,11.48,1.9
"Dalvin Cook","RB","MIN",7800,18.84,2.4,20851448,"CHI",-203,44.5,-4,24.2,11.1,1.4
"Damiere Byrd","WR","CHI",3400,4.74,1.4,20851942,"@MIN",169,44.5,4,20.2,10.2,3
"Bears","D","CHI",2700,5.74,2.1,20852585,"@MIN",169,44.5,4,20.2,9,3.3
"Donovan Peoples-Jones","WR","CLE",4300,8.8,2,20851882,"CIN",-233,37.5,-5.5,21.5,8.8,2
"Ihmir Smith-Marsette","WR","MIN",3000,2.95,1,20852174,"CHI",-203,44.5,-4,24.2,7.7,2.6
"Browns","D","CLE",2600,8.68,3.3,20852587,"CIN",-233,37.5,-5.5,21.5,7,2.7
"Khalil Herbert","RB","CHI",5100,2.73,0.5,20851520,"@MIN",169,44.5,4,20.2,6.4,1.3
"David Njoku","TE","CLE",3200,5.72,1.8,20852304,"CIN",-233,37.5,-5.5,21.5,5.9,1.8
"Rashard Higgins","WR","CLE",3600,4.81,1.3,20851928,"CIN",-233,37.5,-5.5,21.5,5.4,1.5
"K.J. Osborn","WR","MIN",5500,11.53,2.1,20851822,"CHI",-203,44.5,-4,24.2,5.1,0.9
"Jimmy Graham","TE","CHI",2800,3.35,1.2,20852324,"@MIN",169,44.5,4,20.2,2.3,0.8
"Tyler Conklin","TE","MIN",4200,8.82,2.1,20852284,"CHI",-203,44.5,-4,24.2,1.7,0.4
"Damien Williams","RB","CHI",4300,2.41,0.6,20851572,"@MIN",169,44.5,4,20.2,0,0
