"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP","Roster"
"Josh Allen","QB","BUF",8000,24.64,3.1,"35213646","ARI",48,-6,27,4.07
"Tyreek Hill","WR","MIA",8700,21.6,2.5,"35214055","JAX",49.5,-3,26.25,12.11
"C.J. Stroud","QB","HOU",7500,20.82,2.8,"35213647","@IND",49,-2.5,25.75,0.13
"Anthony Richardson","QB","IND",6300,20.21,3.2,"35213652","HOU",49,2.5,23.25,4.73
"CeeDee Lamb","WR","DAL",8900,19.76,2.2,"35214053","@CLE",42,2.5,19.75,6.52
"Joe Burrow","QB","CIN",6500,19.43,3,"35213650","NE",40.5,-9,24.75,11.71
"Caleb Williams","QB","CHI",5900,19.13,3.2,"35213656","TEN",45.5,-4.5,25,0
"Tua Tagovailoa","QB","MIA",7000,18.54,2.6,"35213649","JAX",49.5,-3,26.25,2.52
"Kyler Murray","QB","ARI",6400,18.47,2.9,"35213651","@BUF",48,6,21,0
"Trevor Lawrence","QB","JAX",6200,18.47,3,"35213653","@MIA",49.5,3,23.25,8.22
"Justin Jefferson","WR","MIN",8400,18.26,2.2,"35214057","@NYG",41.5,-1,21.25,20.06
"Justin Herbert","QB","LAC",5800,18.26,3.1,"35213657","LV",41,-3.5,22.25,15.37
"Dak Prescott","QB","DAL",7100,18.23,2.6,"35213648","@CLE",42,2.5,19.75,1.95
"Jayden Daniels","QB","WAS",5700,18.03,3.2,"35213658","@TB",43.5,3.5,20,0
"Baker Mayfield","QB","TB",5600,17.94,3.2,"35213659","WAS",43.5,-3.5,23.5,6.13
"Geno Smith","QB","SEA",5500,17.84,3.2,"35213660","DEN",42,-5.5,23.75,6.72
"Bijan Robinson","RB","ATL",7700,17.82,2.3,"35213737","PIT",41,-3,22,7.05
"Ja'Marr Chase","WR","CIN",7800,17.67,2.3,"35214059","NE",40.5,-9,24.75,18.88
"Deshaun Watson","QB","CLE",6000,17.47,2.9,"35213655","DAL",42,-2.5,22.25,5.26
"Kirk Cousins","QB","ATL",6100,16.98,2.8,"35213654","PIT",41,-3,22,0.69
"Daniel Jones","QB","NYG",5400,16.57,3.1,"35213661","MIN",41.5,1,20.25,9.77
"Rachaad White","RB","TB",6300,16.33,2.6,"35213753","WAS",43.5,-3.5,23.5,3.98
"Nico Collins","WR","HOU",7000,15.96,2.3,"35214067","@IND",49,-2.5,25.75,3.1
"Sam Darnold","QB","MIN",5200,15.83,3,"35213667","@NYG",41.5,-1,21.25,0
"Mike Evans","WR","TB",7300,15.49,2.1,"35214063","WAS",43.5,-3.5,23.5,7.46
"Alvin Kamara","RB","NO",6700,15.49,2.3,"35213745","CAR",40,-4.5,22.25,0
"Jonathan Taylor","RB","IND",7800,15.45,2,"35213735","HOU",49,2.5,23.25,0
"Will Levis","QB","TEN",5300,15.09,2.8,"35213666","@CHI",45.5,4.5,20.5,0
"Derek Carr","QB","NO",5300,14.99,2.8,"35213665","CAR",40,-4.5,22.25,3.64
"Michael Pittman","WR","IND",6800,14.87,2.2,"35214071","HOU",49,2.5,23.25,5.26
"Davante Adams","WR","LV",7600,14.84,2,"35214061","@LAC",41,3.5,18.75,6.53
"Travis Etienne","RB","JAX",7200,14.82,2.1,"35213739","@MIA",49.5,3,23.25,4.33
"Jaylen Waddle","WR","MIA",6300,14.78,2.3,"35214081","JAX",49.5,-3,26.25,7.35
"Russell Wilson","QB","PIT",5400,14.77,2.7,"35213662","@ATL",41,3,19,4.7
"Bo Nix","QB","DEN",5000,14.65,2.9,"35213673","@SEA",42,5.5,18.25,0
"Jacoby Brissett","QB","NE",5100,14.62,2.9,"35213671","@CIN",40.5,9,15.75,0
"Drake London","WR","ATL",6000,14.53,2.4,"35214087","PIT",41,-3,22,9.12
"Gardner Minshew","QB","LV",5300,14.51,2.7,"35213664","@LAC",41,3.5,18.75,0
"D.K. Metcalf","WR","SEA",6200,14.47,2.3,"35214083","DEN",42,-5.5,23.75,NA
"Kenneth Walker","RB","SEA",6100,14.4,2.4,"35213757","DEN",42,-5.5,23.75,6.97
"Chris Olave","WR","NO",6600,14.33,2.2,"35214075","CAR",40,-4.5,22.25,6.01
"James Cook","RB","BUF",6900,14.31,2.1,"35213741","ARI",48,-6,27,5.41
"Joe Mixon","RB","HOU",6600,14.28,2.2,"35213747","@IND",49,-2.5,25.75,7.67
"D.J. Moore","WR","CHI",6500,14.26,2.2,"35214077","TEN",45.5,-4.5,25,NA
"Bryce Young","QB","CAR",5200,14.01,2.7,"35213669","@NO",40,4.5,17.75,0.85
"James Conner","RB","ARI",6200,13.84,2.2,"35213755","@BUF",48,6,21,9.32
"Tank Dell","WR","HOU",5500,13.84,2.5,"35214105","@IND",49,-2.5,25.75,1.61
"Stefon Diggs","WR","HOU",6700,13.69,2,"35214073","@IND",49,-2.5,25.75,7.76
"De'Von Achane","RB","MIA",6800,13.61,2,"35213743","JAX",49.5,-3,26.25,0
"Christian Kirk","WR","JAX",5500,13.58,2.5,"35214103","@MIA",49.5,3,23.25,9.08
"Keenan Allen","WR","CHI",6900,13.46,2,"35214069","TEN",45.5,-4.5,25,6.31
"Marvin Harrison","WR","ARI",7200,13.23,1.8,"35214065","@BUF",48,6,21,0
"Chris Godwin","WR","TB",5800,13.23,2.3,"35214091","WAS",43.5,-3.5,23.5,14.02
"Amari Cooper","WR","CLE",6400,13.22,2.1,"35214079","DAL",42,-2.5,22.25,4.33
"Jerome Ford","RB","CLE",5500,12.97,2.4,"35213783","DAL",42,-2.5,22.25,0.29
"Malik Nabers","WR","NYG",5900,12.94,2.2,"35214089","MIN",41.5,1,20.25,0
