"Player","Pos","Team","Salary","Proj","Value","ID","Opp","ML","OU","SPRD","IMP"
"Cooper Kupp","WR","LAR",9000,27.11,3,"20939193","ARI",-193,49.5,-4,26.8
"Patrick Mahomes","QB","KC",7400,23.17,3.1,"20938998","PIT",-713,46,-12.5,29.2
"Josh Allen","QB","BUF",7800,23.04,3,"20938997","NE",-219,43.5,-4.5,24
"Tom Brady","QB","TB",7300,22.03,3,"20938999","PHI",-385,45.5,-8.5,27
"Dak Prescott","QB","DAL",6400,21.37,3.3,"20939002","SF",-162,51,-3,27
"Kyler Murray","QB","ARI",7200,21.33,3,"20939000","@LAR",161,49.5,4,22.8
"Joe Burrow","QB","CIN",6800,21.28,3.1,"20939001","LV",-255,48.5,-6,27.2
"Matthew Stafford","QB","LAR",6300,21.19,3.4,"20939003","ARI",-193,49.5,-4,26.8
"Jalen Hurts","QB","PHI",6100,19.11,3.1,"20939004","@TB",303,45.5,8.5,18.5
"Deebo Samuel","WR","SF",8100,18.44,2.3,"20939195","@DAL",137,51,3,24
"Ja'Marr Chase","WR","CIN",7400,18.37,2.5,"20939197","LV",-255,48.5,-6,27.2
"Tyreek Hill","WR","KC",7100,18.27,2.6,"20939201","PIT",-713,46,-12.5,29.2
"Stefon Diggs","WR","BUF",7200,18.11,2.5,"20939199","NE",-219,43.5,-4.5,24
"Joe Mixon","RB","CIN",6800,17.98,2.6,"20939037","LV",-255,48.5,-6,27.2
"Mike Evans","WR","TB",6900,17.8,2.6,"20939203","PHI",-385,45.5,-8.5,27
"Derek Carr","QB","LV",5500,17.51,3.2,"20939006","@CIN",208,48.5,6,21.2
"Travis Kelce","TE","KC",6700,17.32,2.6,"20939403","PIT",-713,46,-12.5,29.2
"Leonard Fournette","RB","TB",5900,17.26,2.9,"20939051","PHI",-385,45.5,-8.5,27
"Jimmy Garoppolo","QB","SF",5300,17.04,3.2,"20939007","@DAL",137,51,3,24
"Najee Harris","RB","PIT",6600,17,2.6,"20939039","@KC",498,46,12.5,16.8
"Josh Jacobs","RB","LV",6500,16.41,2.5,"20939041","@CIN",208,48.5,6,21.2
"Rob Gronkowski","TE","TB",6400,15.97,2.5,"20939405","PHI",-385,45.5,-8.5,27
"Tee Higgins","WR","CIN",6300,15.65,2.5,"20939207","LV",-255,48.5,-6,27.2
"CeeDee Lamb","WR","DAL",6200,15.29,2.5,"20939209","SF",-162,51,-3,27
"Diontae Johnson","WR","PIT",6700,15.26,2.3,"20939205","@KC",498,46,12.5,16.8
"George Kittle","TE","SF",6000,15.05,2.5,"20939407","@DAL",137,51,3,24
"Elijah Mitchell","RB","SF",5500,14.97,2.7,"20939059","@DAL",137,51,3,24
"Amari Cooper","WR","DAL",5900,14.87,2.5,"20939213","SF",-162,51,-3,27
"Hunter Renfrow","WR","LV",6000,14.72,2.5,"20939211","@CIN",208,48.5,6,21.2
"Ezekiel Elliott","RB","DAL",6100,14.51,2.4,"20939047","SF",-162,51,-3,27
"Darren Waller","TE","LV",5700,14.48,2.5,"20939409","@CIN",208,48.5,6,21.2
"Mac Jones","QB","NE",5100,14.38,2.8,"20939009","@BUF",182,43.5,4.5,19.5
"Sony Michel","RB","LAR",5400,14.24,2.6,"20939063","ARI",-193,49.5,-4,26.8
"Darrel Williams","RB","KC",5500,13.69,2.5,"20939061","PIT",-713,46,-12.5,29.2
"Ben Roethlisberger","QB","PIT",5200,13.66,2.6,"20939008","@KC",498,46,12.5,16.8
"Dallas Goedert","TE","PHI",4500,13.08,2.9,"20939417","@TB",303,45.5,8.5,18.5
"Christian Kirk","WR","ARI",5300,12.9,2.4,"20939219","@LAR",161,49.5,4,22.8
"Zach Ertz","TE","ARI",4700,12.83,2.7,"20939415","@LAR",161,49.5,4,22.8
"Odell Beckham Jr.","WR","LAR",5100,12.68,2.5,"20939221","ARI",-193,49.5,-4,26.8
"Devin Singletary","RB","BUF",5700,12.53,2.2,"20939053","NE",-219,43.5,-4.5,24
"DeVonta Smith","WR","PHI",5500,12.46,2.3,"20939215","@TB",303,45.5,8.5,18.5
"Brandon Aiyuk","WR","SF",5400,12.12,2.2,"20939217","@DAL",137,51,3,24
"Jakobi Meyers","WR","NE",4500,11.84,2.6,"20939237","@BUF",182,43.5,4.5,19.5
"Dalton Schultz","TE","DAL",5000,11.42,2.3,"20939411","SF",-162,51,-3,27
"Tyler Boyd","WR","CIN",5000,11.16,2.2,"20939223","LV",-255,48.5,-6,27.2
"Chase Edmonds","RB","ARI",5000,10.98,2.2,"20939071","@LAR",161,49.5,4,22.8
"A.J. Green","WR","ARI",4900,10.74,2.2,"20939225","@LAR",161,49.5,4,22.8
"James Conner","RB","ARI",6300,10.5,1.7,"20939045","@LAR",161,49.5,4,22.8
"Tyler Higbee","TE","LAR",4100,10.24,2.5,"20939421","ARI",-193,49.5,-4,26.8
"Chase Claypool","WR","PIT",4800,10.15,2.1,"20939227","@KC",498,46,12.5,16.8
"Miles Sanders","RB","PHI",5100,9.94,1.9,"20939067","@TB",303,45.5,8.5,18.5
"Tony Pollard","RB","DAL",5300,9.75,1.8,"20939065","SF",-162,51,-3,27
"Cole Beasley","WR","BUF",4300,9.58,2.2,"20939245","NE",-219,43.5,-4.5,24
"Zay Jones","WR","LV",4200,9.55,2.3,"20939247","@CIN",208,48.5,6,21.2
"Damien Harris","RB","NE",6400,9.37,1.5,"20939043","@BUF",182,43.5,4.5,19.5
"Van Jefferson","WR","LAR",4700,9.35,2,"20939231","ARI",-193,49.5,-4,26.8
"Cedrick Wilson","WR","DAL",4400,9.13,2.1,"20939243","SF",-162,51,-3,27
"Dawson Knox","TE","BUF",4800,8.76,1.8,"20939413","NE",-219,43.5,-4.5,24
"Hunter Henry","TE","NE",3700,8.43,2.3,"20939423","@BUF",182,43.5,4.5,19.5
"Breshad Perriman","WR","TB",4700,8.42,1.8,"20939229","PHI",-385,45.5,-8.5,27
"Pat Freiermuth","TE","PIT",4200,8.38,2,"20939419","@KC",498,46,12.5,16.8
"Kendrick Bourne","WR","NE",4500,8.22,1.8,"20939239","@BUF",182,43.5,4.5,19.5
"Rhamondre Stevenson","RB","NE",4700,8.16,1.7,"20939073","@BUF",182,43.5,4.5,19.5
"Chiefs","D","KC",3300,8.08,2.4,"20939538","PIT",-713,46,-12.5,29.2
"Byron Pringle","WR","KC",3900,8.01,2.1,"20939257","PIT",-713,46,-12.5,29.2
"Tyler Johnson","WR","TB",4000,7.93,2,"20939251","PHI",-385,45.5,-8.5,27
"Gabriel Davis","WR","BUF",4600,7.91,1.7,"20939235","NE",-219,43.5,-4.5,24
"C.J. Uzomah","TE","CIN",3200,7.84,2.4,"20939425","LV",-255,48.5,-6,27.2
