"Team","Opp","Player1","Player2","Salary","Proj","Value"
"PHI","@COL - Kuhl ( R )","Bryce Harper","J.T. Realmuto",8300,39.2,4.7
"PHI","@COL - Kuhl ( R )","Bryce Harper","Nick Castellanos",8500,38.8,4.6
"PHI","@COL - Kuhl ( R )","Bryce Harper","Rhys Hoskins",8100,37.8,4.7
"PHI","@COL - Kuhl ( R )","Bryce Harper","Kyle Schwarber",7700,37.1,4.8
"PHI","@COL - Kuhl ( R )","Bryce Harper","Jean Segura",8200,35.7,4.4
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Nick Castellanos",8400,35.7,4.2
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Rhys Hoskins",8000,34.7,4.3
"PHI","@COL - Kuhl ( R )","Nick Castellanos","Rhys Hoskins",8200,34.2,4.2
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Kyle Schwarber",7600,34,4.5
"PHI","@COL - Kuhl ( R )","Bryce Harper","Didi Gregorius",7000,33.9,4.8
"PHI","@COL - Kuhl ( R )","Kyle Schwarber","Nick Castellanos",7800,33.5,4.3
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Jean Segura",8100,32.6,4
"PHI","@COL - Kuhl ( R )","Kyle Schwarber","Rhys Hoskins",7400,32.6,4.4
"PHI","@COL - Kuhl ( R )","Bryce Harper","Matt Vierling",7100,32.5,4.6
"PHI","@COL - Kuhl ( R )","Jean Segura","Nick Castellanos",8300,32.1,3.9
"PHI","@COL - Kuhl ( R )","Jean Segura","Rhys Hoskins",7900,31.2,4
"PHI","@COL - Kuhl ( R )","Bryce Harper","Johan Camargo",6700,31,4.6
"PHI","@COL - Kuhl ( R )","Didi Gregorius","J.T. Realmuto",6900,30.8,4.5
"PHI","@COL - Kuhl ( R )","Jean Segura","Kyle Schwarber",7500,30.5,4.1
"PHI","@COL - Kuhl ( R )","Didi Gregorius","Nick Castellanos",7100,30.3,4.3
"PHI","@COL - Kuhl ( R )","Didi Gregorius","Rhys Hoskins",6700,29.4,4.4
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Matt Vierling",7000,29.4,4.2
"PHI","@COL - Kuhl ( R )","Matt Vierling","Nick Castellanos",7200,28.9,4
"PHI","@COL - Kuhl ( R )","Didi Gregorius","Kyle Schwarber",6300,28.7,4.6
"PHI","@COL - Kuhl ( R )","J.T. Realmuto","Johan Camargo",6600,27.9,4.2
"PHI","@COL - Kuhl ( R )","Matt Vierling","Rhys Hoskins",6800,27.9,4.1
"PHI","@COL - Kuhl ( R )","Bryce Harper","Garrett Stubbs",6700,27.5,4.1
"PHI","@COL - Kuhl ( R )","Johan Camargo","Nick Castellanos",6800,27.4,4
"PHI","@COL - Kuhl ( R )","Bryce Harper","Bryson Stott",7300,27.4,3.8
"WSH","ARI - Bumgarner ( L )","Juan Soto","Nelson Cruz",7200,27.4,3.8
"SF","@NYM - Megill ( R )","Brandon Belt","Mike Yastrzemski",6400,27.4,4.3
"PHI","@COL - Kuhl ( R )","Didi Gregorius","Jean Segura",6800,27.3,4
"PHI","@COL - Kuhl ( R )","Kyle Schwarber","Matt Vierling",6400,27.2,4.3
"PHI","@COL - Kuhl ( R )","Bryce Harper","Simon Muzziotti",6700,27.1,4
"ARI","@WAS - Gray ( R )","Daulton Varsho","Ketel Marte",5400,27,5
"SF","@NYM - Megill ( R )","Brandon Belt","Brandon Crawford",6400,27,4.2
"PHI","@COL - Kuhl ( R )","Johan Camargo","Rhys Hoskins",6400,26.5,4.1
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Ji-Man Choi",7000,26.1,3.7
"SF","@NYM - Megill ( R )","Brandon Belt","Darin Ruf",6500,26.1,4
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Wander Franco",7100,26,3.7
"SF","@NYM - Megill ( R )","Brandon Belt","Joc Pederson",6900,26,3.8
"WSH","ARI - Bumgarner ( L )","Cesar Hernandez","Nelson Cruz",5700,25.9,4.5
"PHI","@COL - Kuhl ( R )","Jean Segura","Matt Vierling",6900,25.8,3.7
"PHI","@COL - Kuhl ( R )","Johan Camargo","Kyle Schwarber",6000,25.8,4.3
"LAA","@HOU - Garcia ( R )","Jared Walsh","Shohei Ohtani",7600,25.7,3.4
"WSH","ARI - Bumgarner ( L )","Josh Bell","Nelson Cruz",6700,25.6,3.8
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Randy Arozarena",6300,25.6,4.1
"WSH","ARI - Bumgarner ( L )","Lane Thomas","Nelson Cruz",5300,25.4,4.8
"ARI","@WAS - Gray ( R )","Ketel Marte","Seth Beer",5500,25.3,4.6
"PHI","@COL - Kuhl ( R )","Alec Bohm","Bryce Harper",7400,25.3,3.4
"LAD","ATL - Ynoa ( R )","Mookie Betts","Will Smith",7500,25.3,3.4
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Mike Zunino",5700,25.2,4.4
"ARI","@WAS - Gray ( R )","David Peralta","Ketel Marte",5500,25.2,4.6
"LAD","ATL - Ynoa ( R )","Trea Turner","Will Smith",7600,25.2,3.3
"SF","@NYM - Megill ( R )","Brandon Belt","Wilmer Flores",6200,25.1,4.1
"WSH","ARI - Bumgarner ( L )","Cesar Hernandez","Juan Soto",6900,25.1,3.6
"ARI","@WAS - Gray ( R )","Christian Walker","Ketel Marte",5400,25,4.6
"COL","PHI - Nola ( R )","C.J. Cron","Kris Bryant",8400,24.8,3
"LAD","ATL - Ynoa ( R )","Freddie Freeman","Will Smith",7300,24.8,3.4
"LAD","ATL - Ynoa ( R )","Mookie Betts","Trea Turner",7700,24.8,3.2
"OAK","BAL - Watkins ( R )","Sean Murphy","Seth Brown",5100,24.7,4.9
"SF","@NYM - Megill ( R )","Brandon Belt","Thairo Estrada",6600,24.7,3.7
"WSH","ARI - Bumgarner ( L )","Josh Bell","Juan Soto",7900,24.7,3.1
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Josh Lowe",6000,24.6,4.1
"SF","@NYM - Megill ( R )","Brandon Crawford","Mike Yastrzemski",5400,24.6,4.6
"WSH","ARI - Bumgarner ( L )","Maikel Franco","Nelson Cruz",5700,24.6,4.3
"OAK","BAL - Watkins ( R )","Seth Brown","Tony Kemp",5200,24.6,4.7
"WSH","ARI - Bumgarner ( L )","Juan Soto","Lane Thomas",6500,24.6,3.8
"ARI","@WAS - Gray ( R )","Daulton Varsho","Seth Beer",4900,24.6,5
"OAK","BAL - Watkins ( R )","Sean Murphy","Tony Kemp",5300,24.6,4.6
"ARI","@WAS - Gray ( R )","Daulton Varsho","David Peralta",4900,24.5,5
"TB","@CHC - Hendricks ( R )","Brandon Lowe","Kevin Kiermaier",5600,24.4,4.4
