"Team1","Team2","Player1","Player2","Player3","Player4","Salary","Proj","Value"
"PHI","TB","Bryce Harper","Nick Castellanos","Randy Arozarena","Wander Franco",14700,61.9,4.2
"PHI","TB","Bryce Harper","Rhys Hoskins","Randy Arozarena","Wander Franco",14400,61.8,4.3
"PHI","TB","Bryce Harper","Nick Castellanos","Mike Zunino","Wander Franco",14100,61.3,4.3
"PHI","TB","Bryce Harper","Rhys Hoskins","Mike Zunino","Wander Franco",13800,61.1,4.4
"PHI","TB","Bryce Harper","J.T. Realmuto","Randy Arozarena","Wander Franco",14500,61,4.2
"PHI","TB","Bryce Harper","Nick Castellanos","Wander Franco","Yandy Diaz",14400,60.8,4.2
"PHI","TB","Bryce Harper","Rhys Hoskins","Wander Franco","Yandy Diaz",14100,60.6,4.3
"BOS","PHI","Trevor Story","Xander Bogaerts","Bryce Harper","Nick Castellanos",14800,60.4,4.1
"PHI","TB","Bryce Harper","J.T. Realmuto","Mike Zunino","Wander Franco",13900,60.4,4.3
"BOS","PHI","Trevor Story","Xander Bogaerts","Bryce Harper","Rhys Hoskins",14500,60.3,4.2
"BOS","PHI","J.D. Martinez","Trevor Story","Bryce Harper","Rhys Hoskins",14700,60.2,4.1
"PHI","TB","Bryce Harper","Nick Castellanos","Mike Zunino","Randy Arozarena",13300,60.2,4.5
"PHI","TB","Bryce Harper","Rhys Hoskins","Mike Zunino","Randy Arozarena",13000,60.1,4.6
"PHI","TB","Bryce Harper","Nick Castellanos","Brandon Lowe","Randy Arozarena",14600,60,4.1
"PHI","TB","Bryce Harper","Rhys Hoskins","Brandon Lowe","Randy Arozarena",14300,59.9,4.2
"PHI","TB","Bryce Harper","J.T. Realmuto","Wander Franco","Yandy Diaz",14200,59.8,4.2
"PHI","TB","Bryce Harper","Jean Segura","Randy Arozarena","Wander Franco",14400,59.8,4.2
"PHI","TB","Bryce Harper","Nick Castellanos","Randy Arozarena","Yandy Diaz",13600,59.7,4.4
"PHI","TB","Nick Castellanos","Rhys Hoskins","Randy Arozarena","Wander Franco",14300,59.7,4.2
"MIL","PHI","Hunter Renfroe","Willy Adames","Bryce Harper","Nick Castellanos",13900,59.7,4.3
"PHI","TB","Bryce Harper","Nick Castellanos","Manuel Margot","Wander Franco",14700,59.7,4.1
"PHI","TB","Bryce Harper","Rhys Hoskins","Randy Arozarena","Yandy Diaz",13300,59.6,4.5
"MIL","PHI","Andrew McCutchen","Hunter Renfroe","Bryce Harper","Nick Castellanos",13800,59.6,4.3
"MIL","PHI","Hunter Renfroe","Willy Adames","Bryce Harper","Rhys Hoskins",13600,59.6,4.4
"BOS","PHI","Bobby Dalbec","Trevor Story","Bryce Harper","Nick Castellanos",13900,59.6,4.3
"HOU","PHI","Jose Altuve","Kyle Tucker","Bryce Harper","Nick Castellanos",14800,59.6,4
"MIL","PHI","Christian Yelich","Hunter Renfroe","Bryce Harper","Nick Castellanos",13900,59.6,4.3
"BOS","PHI","Bobby Dalbec","Xander Bogaerts","Bryce Harper","Nick Castellanos",14400,59.5,4.1
"PHI","TB","Bryce Harper","Rhys Hoskins","Manuel Margot","Wander Franco",14400,59.5,4.1
"BOS","PHI","Trevor Story","Xander Bogaerts","Bryce Harper","J.T. Realmuto",14600,59.5,4.1
"BOS","PHI","Enrique Hernandez","Trevor Story","Bryce Harper","Nick Castellanos",14700,59.5,4
"HOU","PHI","Jose Altuve","Yordan Alvarez","Bryce Harper","Rhys Hoskins",14900,59.5,4
"BOS","PHI","Bobby Dalbec","J.D. Martinez","Bryce Harper","Nick Castellanos",14600,59.5,4.1
"MIL","PHI","Andrew McCutchen","Hunter Renfroe","Bryce Harper","Rhys Hoskins",13500,59.5,4.4
"BOS","PHI","Bobby Dalbec","Trevor Story","Bryce Harper","Rhys Hoskins",13600,59.5,4.4
"HOU","PHI","Jose Altuve","Kyle Tucker","Bryce Harper","Rhys Hoskins",14500,59.5,4.1
"MIL","PHI","Christian Yelich","Hunter Renfroe","Bryce Harper","Rhys Hoskins",13600,59.5,4.4
"BOS","PHI","J.D. Martinez","Trevor Story","Bryce Harper","J.T. Realmuto",14800,59.5,4
"BOS","PHI","Bobby Dalbec","Xander Bogaerts","Bryce Harper","Rhys Hoskins",14100,59.4,4.2
"BOS","PHI","Enrique Hernandez","Trevor Story","Bryce Harper","Rhys Hoskins",14400,59.4,4.1
