"Team","Opp","Player1","Player2","Player3","Salary","Proj","Value"
"CHC","@COL - Freeland ( L )","Frank Schwindel","Patrick Wisdom","Willson Contreras",9700,44.2,4.6
"CHC","@COL - Freeland ( L )","Frank Schwindel","Seiya Suzuki","Willson Contreras",10300,44,4.3
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Willson Contreras",9600,43.8,4.6
"CHC","@COL - Freeland ( L )","Frank Schwindel","Patrick Wisdom","Seiya Suzuki",9600,42.8,4.5
"CHC","@COL - Freeland ( L )","Frank Schwindel","Ian Happ","Willson Contreras",10300,42.7,4.1
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Patrick Wisdom",8900,42.6,4.8
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nick Madrigal","Willson Contreras",9300,42.5,4.6
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Seiya Suzuki",9500,42.4,4.5
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nico Hoerner","Willson Contreras",9700,41.8,4.3
"WSH","@PIT - Brubaker ( R )","Josh Bell","Juan Soto","Nelson Cruz",10400,41.7,4
"CHC","@COL - Freeland ( L )","Frank Schwindel","Ian Happ","Patrick Wisdom",9600,41.5,4.3
"CHC","@COL - Freeland ( L )","Patrick Wisdom","Seiya Suzuki","Willson Contreras",10300,41.4,4
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nick Madrigal","Patrick Wisdom",8600,41.3,4.8
"CHC","@COL - Freeland ( L )","Frank Schwindel","Ian Happ","Seiya Suzuki",10200,41.3,4
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nick Madrigal","Seiya Suzuki",9200,41.2,4.5
"CHC","@COL - Freeland ( L )","Clint Frazier","Patrick Wisdom","Willson Contreras",9600,41.1,4.3
"CHC","@COL - Freeland ( L )","Frank Schwindel","Michael Hermosillo","Willson Contreras",9200,41,4.5
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Ian Happ",9500,41,4.3
"CHC","@COL - Freeland ( L )","Clint Frazier","Seiya Suzuki","Willson Contreras",10200,40.9,4
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Nick Madrigal",8500,40.9,4.8
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nico Hoerner","Patrick Wisdom",9000,40.6,4.5
"COL","CHC - Steele ( L )","C.J. Cron","Connor Joe","Kris Bryant",11600,40.6,3.5
"CHC","@COL - Freeland ( L )","Frank Schwindel","Nico Hoerner","Seiya Suzuki",9600,40.5,4.2
"WSH","@PIT - Brubaker ( R )","Cesar Hernandez","Juan Soto","Nelson Cruz",9700,40.5,4.2
"COL","CHC - Steele ( L )","C.J. Cron","Kris Bryant","Ryan McMahon",12100,40.4,3.3
"CHC","@COL - Freeland ( L )","Clint Frazier","Frank Schwindel","Nico Hoerner",8900,40.2,4.5
"WSH","@PIT - Brubaker ( R )","Juan Soto","Keibert Ruiz","Nelson Cruz",10100,40,4
"CHC","@COL - Freeland ( L )","Ian Happ","Patrick Wisdom","Willson Contreras",10300,40,3.9
"WSH","@PIT - Brubaker ( R )","Juan Soto","Maikel Franco","Nelson Cruz",9800,40,4.1
"CHC","@COL - Freeland ( L )","Nick Madrigal","Patrick Wisdom","Willson Contreras",9300,39.9,4.3
"CHC","@COL - Freeland ( L )","Frank Schwindel","Michael Hermosillo","Patrick Wisdom",8500,39.8,4.7
"CHC","@COL - Freeland ( L )","Ian Happ","Seiya Suzuki","Willson Contreras",10900,39.8,3.7
"CHC","@COL - Freeland ( L )","Frank Schwindel","Ian Happ","Nick Madrigal",9200,39.8,4.3
"CHC","@COL - Freeland ( L )","Clint Frazier","Patrick Wisdom","Seiya Suzuki",9500,39.7,4.2
