"Player","Pos","Team","Salary","Proj","Value","ID","Opp","ML","OU","SPRD","IMP"
"Patrick Mahomes","QB","KC",9500,24.64,2.6,"85598-57439","@LV",-441,52.5,-9.5,31
"Josh Allen","QB","BUF",8800,23.55,2.7,"85598-62239","NE",-300,42.5,-7,24.8
"Jalen Hurts","QB","PHI",9000,22.57,2.5,"85598-69531","NYG",-962,43,-14,28.5
"Christian McCaffrey","RB","SF",10000,21.22,2.1,"85598-55050","ARI",-949,40.5,-14,27.2
"Joe Burrow","QB","CIN",8200,20.73,2.5,"85598-63336","BAL",-325,41,-7,24
"Aaron Rodgers","QB","GB",7100,19.22,2.7,"85598-6894","DET",-233,49,-4.5,26.8
"Kirk Cousins","QB","MIN",7700,19.05,2.5,"85598-22038","@CHI",-333,43.5,-7.5,25.5
"Trevor Lawrence","QB","JAX",8000,18.97,2.4,"85598-89951","TEN",-281,40,-6.5,23.2
"Geno Smith","QB","SEA",7300,18.41,2.5,"85598-26483","LAR",-272,41.5,-6,23.8
"Dak Prescott","QB","DAL",7500,18.34,2.4,"85598-31716","@WAS",-324,41,-7,24
"Justin Jefferson","WR","MIN",9000,17.64,2,"85598-85671","@CHI",-333,43.5,-7.5,25.5
"Brock Purdy","QB","SF",6900,17.01,2.5,"85598-85607","ARI",-949,40.5,-14,27.2
"Derrick Henry","RB","TEN",9500,16.98,1.8,"85598-39280","@JAX",227,40,6.5,16.8
"Justin Herbert","QB","LAC",7500,16.95,2.3,"85598-69189","@DEN",123,40,2.5,18.8
"Jarrett Stidham","QB","LV",7000,16.66,2.4,"85598-60947","KC",340,52.5,9.5,21.5
"Deshaun Watson","QB","CLE",6800,16.5,2.4,"85598-54879","@PIT",118,40.5,2.5,19
"Jared Goff","QB","DET",7200,16.36,2.3,"85598-38435","@GB",190,49,4.5,22.2
"Ja'Marr Chase","WR","CIN",8500,16.23,1.9,"85598-85701","BAL",-325,41,-7,24
"Travis Kelce","TE","KC",8200,15.96,1.9,"85598-33076","@LV",-441,52.5,-9.5,31
"Russell Wilson","QB","DEN",6900,15.85,2.3,"85598-22015","LAC",-144,40,-2.5,21.2
"Davante Adams","WR","LV",9100,15.47,1.7,"85598-45889","KC",340,52.5,9.5,21.5
"Kenny Pickett","QB","PIT",6600,15.19,2.3,"85598-92020","CLE",-140,40.5,-2.5,21.5
"A.J. Brown","WR","PHI",8300,15.18,1.8,"85598-72846","NYG",-962,43,-14,28.5
"Austin Ekeler","RB","LAC",9400,15.08,1.6,"85598-80001","@DEN",123,40,2.5,18.8
"Sam Ehlinger","QB","IND",6500,14.96,2.3,"85598-92560","HOU",-148,38,-2.5,20.2
"Stefon Diggs","WR","BUF",8400,14.43,1.7,"85598-25079","NE",-300,42.5,-7,24.8
"Dalvin Cook","RB","MIN",8000,14.43,1.8,"85598-54140","@CHI",-333,43.5,-7.5,25.5
"Josh Jacobs","RB","LV",9000,14.41,1.6,"85598-72731","KC",340,52.5,9.5,21.5
"Aaron Jones","RB","GB",7400,14.39,1.9,"85598-40442","DET",-233,49,-4.5,26.8
"Mike White","QB","NYJ",7300,14.34,2,"85598-40534","@MIA",-119,38.5,-1.5,20
"CeeDee Lamb","WR","DAL",8200,14.33,1.7,"85598-86631","@WAS",-324,41,-7,24
"Amon-Ra St. Brown","WR","DET",8000,14.29,1.8,"85598-86997","@GB",190,49,4.5,22.2
"Joe Mixon","RB","CIN",7500,14.29,1.9,"85598-52442","BAL",-325,41,-7,24
"Tyreek Hill","WR","MIA",8600,14.13,1.6,"85598-53681","NYJ",100,38.5,1.5,18.5
"Kenneth Walker","RB","SEA",7700,14.06,1.8,"85598-103342","LAR",-272,41.5,-6,23.8
"Sam Darnold","QB","CAR",6800,13.97,2.1,"85598-63589","@NO",149,42,3.5,19.2
"Tyler Huntley","QB","BAL",6500,13.96,2.1,"85598-70051","@CIN",258,41,7,17
"Andy Dalton","QB","NO",6500,13.9,2.1,"85598-14225","CAR",-177,42,-3.5,22.8
"Baker Mayfield","QB","LAR",6300,13.71,2.2,"85598-41535","@SEA",221,41.5,6,17.8
"Travis Etienne","RB","JAX",7300,13.69,1.9,"85598-89956","TEN",-281,40,-6.5,23.2
"Alvin Kamara","RB","NO",7100,13.59,1.9,"85598-42104","CAR",-177,42,-3.5,22.8
"Skylar Thompson","QB","MIA",6400,13.52,2.1,"85598-69294","NYJ",100,38.5,1.5,18.5
"Desmond Ridder","QB","ATL",6300,13.38,2.1,"85598-86278","TB",-198,40.5,-4,22.2
"Mac Jones","QB","NE",6400,13.27,2.1,"85598-90584","@BUF",243,42.5,7,17.8
"Nick Chubb","RB","CLE",7900,13.09,1.7,"85598-53562","@PIT",118,40.5,2.5,19
"Joshua Dobbs","QB","TEN",6400,13.02,2,"85598-40407","@JAX",227,40,6.5,16.8
"Tyler Allgeier","RB","ATL",6500,12.93,2,"85598-90428","TB",-198,40.5,-4,22.2
"Davis Mills","QB","HOU",6400,12.88,2,"85598-89628","@IND",126,38,2.5,17.8
"Tee Higgins","WR","CIN",7800,12.86,1.6,"85598-89981","BAL",-325,41,-7,24
"Najee Harris","RB","PIT",7200,12.82,1.8,"85598-90575","CLE",-140,40.5,-2.5,21.5
"DeVonta Smith","WR","PHI",7700,12.75,1.7,"85598-90576","NYG",-962,43,-14,28.5
"James Conner","RB","ARI",6900,12.68,1.8,"85598-40687","@SF",635,40.5,14,13.2
"Cam Akers","RB","LAR",7300,12.62,1.7,"85598-89230","@SEA",221,41.5,6,17.8
"Miles Sanders","RB","PHI",6700,12.57,1.9,"85598-71845","NYG",-962,43,-14,28.5
"D.K. Metcalf","WR","SEA",7200,12.51,1.7,"85598-73048","LAR",-272,41.5,-6,23.8
"David Montgomery","RB","CHI",6700,12.41,1.9,"85598-73273","MIN",266,43.5,7.5,18
"Brandon Aiyuk","WR","SF",7100,12.36,1.7,"85598-85798","ARI",-949,40.5,-14,27.2
"Jerick McKinnon","RB","KC",7700,12.11,1.6,"85598-54608","@LV",-441,52.5,-9.5,31
"Nathan Peterman","QB","CHI",6200,12.05,1.9,"85598-30761","MIN",266,43.5,7.5,18
"Tom Brady","QB","TB",7200,11.87,1.6,"85598-6498","@ATL",166,40.5,4,18.2
"David Blough","QB","ARI",6300,11.84,1.9,"85598-52606","@SF",635,40.5,14,13.2
"D.J. Moore","WR","CAR",7300,11.76,1.6,"85598-63043","@NO",149,42,3.5,19.2
"Keenan Allen","WR","LAC",7500,11.7,1.6,"85598-29253","@DEN",123,40,2.5,18.8
"Daniel Jones","QB","NYG",7400,11.65,1.6,"85598-63519","@PHI",633,43,14,14.5
"Rhamondre Stevenson","RB","NE",6600,11.57,1.8,"85598-111540","@BUF",243,42.5,7,17.8
"Amari Cooper","WR","CLE",7600,11.45,1.5,"85598-31001","@PIT",118,40.5,2.5,19
"George Kittle","TE","SF",7600,11.36,1.5,"85598-39793","ARI",-949,40.5,-14,27.2
"Tony Pollard","RB","DAL",8000,11.32,1.4,"85598-63759","@WAS",-324,41,-7,24
"Latavius Murray","RB","DEN",6400,11.22,1.8,"85598-34331","LAC",-144,40,-2.5,21.2
"T.J. Hockenson","TE","MIN",7200,11.21,1.6,"85598-71706","@CHI",-333,43.5,-7.5,25.5
"Ezekiel Elliott","RB","DAL",7600,11.16,1.5,"85598-38791","@WAS",-324,41,-7,24
"Chris Olave","WR","NO",6700,11.08,1.7,"85598-87770","CAR",-177,42,-3.5,22.8
"Isiah Pacheco","RB","KC",6500,11.06,1.7,"85598-92575","@LV",-441,52.5,-9.5,31
"Michael Pittman","WR","IND",7300,11,1.5,"85598-69213","HOU",-148,38,-2.5,20.2
"Zack Moss","RB","IND",6800,10.99,1.6,"85598-70027","HOU",-148,38,-2.5,20.2
"Christian Kirk","WR","JAX",7500,10.95,1.5,"85598-60858","TEN",-281,40,-6.5,23.2
"Garrett Wilson","WR","NYJ",7100,10.93,1.5,"85598-103564","@MIA",-119,38.5,-1.5,20
"Jerry Jeudy","WR","DEN",6600,10.87,1.6,"85598-90561","LAC",-144,40,-2.5,21.2
"Christian Watson","WR","GB",6900,10.74,1.6,"85598-169776","DET",-233,49,-4.5,26.8
"D'Andre Swift","RB","DET",7100,10.72,1.5,"85598-91598","@GB",190,49,4.5,22.2
"49ers","D","SF",4900,10.67,2.2,"85598-12549","ARI",-949,40.5,-14,27.2
"Mark Andrews","TE","BAL",7100,10.66,1.5,"85598-52436","@CIN",258,41,7,17
"Tyler Lockett","WR","SEA",6900,10.63,1.5,"85598-27050","LAR",-272,41.5,-6,23.8
"Saquon Barkley","RB","NYG",8500,10.41,1.2,"85598-64401","@PHI",633,43,14,14.5
"Terry McLaurin","WR","WAS",7000,10.39,1.5,"85598-56250","DAL",258,41,7,17
"Allen Lazard","WR","GB",6400,10.39,1.6,"85598-56809","DET",-233,49,-4.5,26.8
"Drake London","WR","ATL",6500,10.36,1.6,"85598-112745","TB",-198,40.5,-4,22.2
"JuJu Smith-Schuster","WR","KC",7000,10.35,1.5,"85598-55987","@LV",-441,52.5,-9.5,31
"Mike Williams","WR","LAC",7400,10.26,1.4,"85598-39829","@DEN",123,40,2.5,18.8
"Jaylen Waddle","WR","MIA",7200,10.26,1.4,"85598-90573","NYJ",100,38.5,1.5,18.5
"Zay Jones","WR","JAX",6600,10.16,1.5,"85598-41305","TEN",-281,40,-6.5,23.2
"Brian Robinson","RB","WAS",6400,10.15,1.6,"85598-90562","DAL",258,41,7,17
"J.K. Dobbins","RB","BAL",6900,10.13,1.5,"85598-87787","@CIN",258,41,7,17
"AJ Dillon","RB","GB",6900,10,1.4,"85598-93107","DET",-233,49,-4.5,26.8
"Jeff Wilson","RB","MIA",6200,9.95,1.6,"85598-55552","NYJ",100,38.5,1.5,18.5
"Diontae Johnson","WR","PIT",6300,9.92,1.6,"85598-66008","CLE",-140,40.5,-2.5,21.5
"Evan Engram","TE","JAX",5800,9.55,1.6,"85598-41872","TEN",-281,40,-6.5,23.2
"Raheem Mostert","RB","MIA",6800,9.37,1.4,"85598-28744","NYJ",100,38.5,1.5,18.5
"Rashid Shaheed","WR","NO",5800,9.37,1.6,"85598-170287","CAR",-177,42,-3.5,22.8
"Jamaal Williams","RB","DET",7000,9.36,1.3,"85598-45631","@GB",190,49,4.5,22.2
"Marquise Brown","WR","ARI",6800,9.35,1.4,"85598-86687","@SF",635,40.5,14,13.2
"Devin Singletary","RB","BUF",6300,9.23,1.5,"85598-70603","NE",-300,42.5,-7,24.8
"Jahan Dotson","WR","WAS",5900,9.21,1.6,"85598-86229","DAL",258,41,7,17
"Gabe Davis","WR","BUF",6400,9.13,1.4,"85598-94534","NE",-300,42.5,-7,24.8
"Leonard Fournette","RB","TB",6600,9.11,1.4,"85598-52922","@ATL",166,40.5,4,18.2
"D'Onta Foreman","RB","CAR",6500,9.07,1.4,"85598-55830","@NO",149,42,3.5,19.2
"Dallas Goedert","TE","PHI",6200,8.94,1.4,"85598-83074","NYG",-962,43,-14,28.5
"Cordarrelle Patterson","RB","ATL",6300,8.92,1.4,"85598-30733","TB",-198,40.5,-4,22.2
"Brandin Cooks","WR","HOU",6200,8.92,1.4,"85598-29501","@IND",126,38,2.5,17.8
"Mike Evans","WR","TB",7700,8.91,1.2,"85598-32384","@ATL",166,40.5,4,18.2
"Eagles","D","PHI",5000,8.86,1.8,"85598-12545","NYG",-962,43,-14,28.5
"Tyrod Taylor","QB","NYG",6300,8.81,1.4,"85598-14377","@PHI",633,43,14,14.5
"Courtland Sutton","WR","DEN",6400,8.72,1.4,"85598-57403","LAC",-144,40,-2.5,21.2
"Darren Waller","TE","LV",6000,8.58,1.4,"85598-25011","KC",340,52.5,9.5,21.5
"Dalton Schultz","TE","DAL",6500,8.56,1.3,"85598-55042","@WAS",-324,41,-7,24
"Jakobi Meyers","WR","NE",6500,8.46,1.3,"85598-63634","@BUF",243,42.5,7,17.8
"Cowboys","D","DAL",4700,8.37,1.8,"85598-12530","@WAS",-324,41,-7,24
"Pat Freiermuth","TE","PIT",5500,8.31,1.5,"85598-86244","CLE",-140,40.5,-2.5,21.5
"Tyler Higbee","TE","LAR",5600,8.25,1.5,"85598-47870","@SEA",221,41.5,6,17.8
"Greg Dortch","WR","ARI",5400,8.11,1.5,"85598-69558","@SF",635,40.5,14,13.2
"Adam Thielen","WR","MIN",6100,8.09,1.3,"85598-39716","@CHI",-333,43.5,-7.5,25.5
"Chris Godwin","WR","TB",7500,8.05,1.1,"85598-55635","@ATL",166,40.5,4,18.2
"Rachaad White","RB","TB",6500,8.04,1.2,"85598-137902","@ATL",166,40.5,4,18.2
"Zonovan Knight","RB","NYJ",6200,8.01,1.3,"85598-103252","@MIA",-119,38.5,-1.5,20
"Jaguars","D","JAX",4700,7.98,1.7,"85598-12554","TEN",-281,40,-6.5,23.2
"Taysom Hill","TE","NO",7000,7.93,1.1,"85598-45565","CAR",-177,42,-3.5,22.8
"Seahawks","D","SEA",4600,7.93,1.7,"85598-12550","LAR",-272,41.5,-6,23.8
"James Cook","RB","BUF",6000,7.8,1.3,"85598-91626","NE",-300,42.5,-7,24.8
"Donovan Peoples-Jones","WR","CLE",6300,7.79,1.2,"85598-91426","@PIT",118,40.5,2.5,19
"Bills","D","BUF",4800,7.75,1.6,"85598-12526","NE",-300,42.5,-7,24.8
"Treylon Burks","WR","TEN",6400,7.71,1.2,"85598-110259","@JAX",227,40,6.5,16.8
"Michael Gallup","WR","DAL",5800,7.61,1.3,"85598-69956","@WAS",-324,41,-7,24
"Tutu Atwell","WR","LAR",5300,7.57,1.4,"85598-92976","@SEA",221,41.5,6,17.8
"Juwan Johnson","TE","NO",5700,7.56,1.3,"85598-64808","CAR",-177,42,-3.5,22.8
"Damien Harris","RB","NE",5900,7.55,1.3,"85598-64576","@BUF",243,42.5,7,17.8
"D.J. Chark","WR","DET",5700,7.53,1.3,"85598-52917","@GB",190,49,4.5,22.2
"Bengals","D","CIN",4400,7.51,1.7,"85598-12528","BAL",-325,41,-7,24
"Vikings","D","MIN",3700,7.5,2,"85598-12540","@CHI",-333,43.5,-7.5,25.5
"Texans","D","HOU",4000,7.48,1.9,"85598-12556","@IND",126,38,2.5,17.8
"Jets","D","NYJ",4500,7.45,1.7,"85598-12544","@MIA",-119,38.5,-1.5,20
"Colts","D","IND",4100,7.43,1.8,"85598-12535","HOU",-148,38,-2.5,20.2
"Royce Freeman","RB","HOU",5800,7.34,1.3,"85598-55970","@IND",126,38,2.5,17.8
"Saints","D","NO",3700,7.34,2,"85598-12542","CAR",-177,42,-3.5,22.8
"Marquez Valdes-Scantling","WR","KC",5400,7.33,1.4,"85598-40647","@LV",-441,52.5,-9.5,31
"Chuba Hubbard","RB","CAR",6100,7.27,1.2,"85598-87467","@NO",149,42,3.5,19.2
"Chase Edmonds","RB","DEN",5600,7.26,1.3,"85598-83081","LAC",-144,40,-2.5,21.2
"Chargers","D","LAC",4100,7.26,1.8,"85598-12548","@DEN",123,40,2.5,18.8
"Steelers","D","PIT",3900,7.25,1.9,"85598-12547","CLE",-140,40.5,-2.5,21.5
"Cole Kmet","TE","CHI",5800,7.24,1.2,"85598-91047","MIN",266,43.5,7.5,18
"Van Jefferson","WR","LAR",6000,7.2,1.2,"85598-64581","@SEA",221,41.5,6,17.8
"Chiefs","D","KC",4400,7.2,1.6,"85598-12536","@LV",-441,52.5,-9.5,31
"Khalil Herbert","RB","CHI",5800,7.17,1.2,"85598-72412","MIN",266,43.5,7.5,18
"George Pickens","WR","PIT",5900,7.14,1.2,"85598-110246","CLE",-140,40.5,-2.5,21.5
"Dolphins","D","MIA",3500,7.02,2,"85598-12539","NYJ",100,38.5,1.5,18.5
"David Njoku","TE","CLE",5400,6.98,1.3,"85598-55335","@PIT",118,40.5,2.5,19
"Curtis Samuel","WR","WAS",5700,6.97,1.2,"85598-52613","DAL",258,41,7,17
"Dawson Knox","TE","BUF",5700,6.8,1.2,"85598-64585","NE",-300,42.5,-7,24.8
"Chris Moore","WR","HOU",5500,6.8,1.2,"85598-33047","@IND",126,38,2.5,17.8
"Romeo Doubs","WR","GB",5600,6.73,1.2,"85598-94370","DET",-233,49,-4.5,26.8
"Ty Johnson","RB","NYJ",5300,6.64,1.3,"85598-63050","@MIA",-119,38.5,-1.5,20
"Broncos","D","DEN",3600,6.63,1.8,"85598-12531","LAC",-144,40,-2.5,21.2
"Tyler Boyd","WR","CIN",6200,6.62,1.1,"85598-40669","BAL",-325,41,-7,24
"Trey McBride","TE","ARI",5100,6.6,1.3,"85598-91750","@SF",635,40.5,14,13.2
"Jaylen Warren","RB","PIT",5700,6.59,1.2,"85598-112057","CLE",-140,40.5,-2.5,21.5
"Corey Davis","WR","NYJ",5600,6.57,1.2,"85598-45439","@MIA",-119,38.5,-1.5,20
"Falcons","D","ATL",3400,6.49,1.9,"85598-12525","TB",-198,40.5,-4,22.2
"Parris Campbell","WR","IND",5800,6.46,1.1,"85598-56262","HOU",-148,38,-2.5,20.2
"Demarcus Robinson","WR","BAL",5600,6.4,1.1,"85598-38264","@CIN",258,41,7,17
"Browns","D","CLE",4300,6.39,1.5,"85598-12529","@PIT",118,40.5,2.5,19
"Samaje Perine","RB","CIN",6400,6.33,1,"85598-52451","BAL",-325,41,-7,24
"Marvin Jones","WR","JAX",5500,6.29,1.1,"85598-22103","TEN",-281,40,-6.5,23.2
"Richie James","WR","NYG",5900,6.2,1.1,"85598-53498","@PHI",633,43,14,14.5
"Robert Woods","WR","TEN",5700,6.17,1.1,"85598-29685","@JAX",227,40,6.5,16.8
"K.J. Osborn","WR","MIN",6000,6.16,1,"85598-63855","@CHI",-333,43.5,-7.5,25.5
"Mack Hollins","WR","LV",5800,6.12,1.1,"85598-25267","KC",340,52.5,9.5,21.5
"Panthers","D","CAR",3800,6.04,1.6,"85598-12553","@NO",149,42,3.5,19.2
"Tyler Conklin","TE","NYJ",5100,5.94,1.2,"85598-60451","@MIA",-119,38.5,-1.5,20
"Isaiah McKenzie","WR","BUF",5300,5.92,1.1,"85598-53639","NE",-300,42.5,-7,24.8
"Rams","D","LAR",3900,5.89,1.5,"85598-12538","@SEA",221,41.5,6,17.8
"Packers","D","GB",4200,5.88,1.4,"85598-12533","DET",-233,49,-4.5,26.8
"Isaiah Hodgins","WR","NYG",6100,5.84,1,"85598-93055","@PHI",633,43,14,14.5
"Titans","D","TEN",3800,5.81,1.5,"85598-12534","@JAX",227,40,6.5,16.8
"Ravens","D","BAL",4000,5.79,1.4,"85598-12555","@CIN",258,41,7,17
"Terrace Marshall","WR","CAR",5500,5.78,1.1,"85598-85672","@NO",149,42,3.5,19.2
"Alec Pierce","WR","IND",5500,5.75,1,"85598-86312","HOU",-148,38,-2.5,20.2
"Jelani Woods","TE","IND",4600,5.75,1.2,"85598-87469","HOU",-148,38,-2.5,20.2
"Bucs","D","TB",4500,5.74,1.3,"85598-12551","@ATL",166,40.5,4,18.2
"DeeJay Dallas","RB","SEA",5300,5.73,1.1,"85598-94087","LAR",-272,41.5,-6,23.8
"Patriots","D","NE",4000,5.73,1.4,"85598-12541","@BUF",243,42.5,7,17.8
"Mecole Hardman","WR","KC",5500,5.72,1,"85598-71352","@LV",-441,52.5,-9.5,31
"Darius Slayton","WR","NYG",6000,5.71,1,"85598-63819","@PHI",633,43,14,14.5
"Dare Ogunbowale","RB","HOU",5600,5.66,1,"85598-28827","@IND",126,38,2.5,17.8
"Hunter Henry","TE","NE",5000,5.66,1.1,"85598-40845","@BUF",243,42.5,7,17.8
"Tyquan Thornton","WR","NE",5400,5.63,1,"85598-89220","@BUF",243,42.5,7,17.8
"Hunter Renfrow","WR","LV",5300,5.61,1.1,"85598-57986","KC",340,52.5,9.5,21.5
"Albert Okwuegbunam","TE","DEN",5000,5.59,1.1,"85598-70859","LAC",-144,40,-2.5,21.2
"Hayden Hurst","TE","CIN",5300,5.57,1.1,"85598-64031","BAL",-325,41,-7,24
"Chase Claypool","WR","CHI",5600,5.5,1,"85598-73111","MIN",266,43.5,7.5,18
"Russell Gage","WR","TB",5700,5.46,1,"85598-52916","@ATL",166,40.5,4,18.2
"Noah Fant","TE","SEA",5100,5.45,1.1,"85598-71705","LAR",-272,41.5,-6,23.8
"Logan Thomas","TE","WAS",5200,5.41,1,"85598-26355","DAL",258,41,7,17
"Washington","D","WAS",3300,5.41,1.6,"85598-12552","DAL",258,41,7,17
"Gerald Everett","TE","LAC",5500,5.36,1,"85598-57299","@DEN",123,40,2.5,18.8
"Bears","D","CHI",3000,5.36,1.8,"85598-12527","MIN",266,43.5,7.5,18
"Gary Brightwell","RB","NYG",5500,5.34,1,"85598-88109","@PHI",633,43,14,14.5
"Elijah Moore","WR","NYJ",5200,5.31,1,"85598-88575","@MIA",-119,38.5,-1.5,20
"Jauan Jennings","WR","SF",5500,5.21,0.9,"85598-61593","ARI",-949,40.5,-14,27.2
"Kadarius Toney","WR","KC",6000,5.19,0.9,"85598-86052","@LV",-441,52.5,-9.5,31
"Kareem Hunt","RB","CLE",5400,5.19,1,"85598-45229","@PIT",118,40.5,2.5,19
"Michael Carter","RB","NYJ",5800,5.16,0.9,"85598-93539","@MIA",-119,38.5,-1.5,20
"Olamide Zaccheaus","WR","ATL",5200,5.14,1,"85598-64496","TB",-198,40.5,-4,22.2
"Randall Cobb","WR","GB",5200,5.08,1,"85598-14257","DET",-233,49,-4.5,26.8
"Chig Okonkwo","TE","TEN",5200,5.03,1,"85598-88297","@JAX",227,40,6.5,16.8
"Deon Jackson","RB","IND",5600,4.97,0.9,"85598-93134","HOU",-148,38,-2.5,20.2
"Cardinals","D","ARI",3100,4.88,1.6,"85598-12546","@SF",635,40.5,14,13.2
"Josh Palmer","WR","LAC",5900,4.87,0.8,"85598-87418","@DEN",123,40,2.5,18.8
"Joshua Kelley","RB","LAC",5400,4.86,0.9,"85598-91872","@DEN",123,40,2.5,18.8
"Robert Tonyan","TE","GB",5300,4.83,0.9,"85598-80353","DET",-233,49,-4.5,26.8
"Gus Edwards","RB","BAL",5800,4.81,0.8,"85598-40167","@CIN",258,41,7,17
"Jordan Akins","TE","HOU",4700,4.78,1,"85598-57338","@IND",126,38,2.5,17.8
"Quez Watkins","WR","PHI",5000,4.77,1,"85598-73687","NYG",-962,43,-14,28.5
"Giants","D","NYG",3200,4.75,1.5,"85598-12543","@PHI",633,43,14,14.5
"Colby Parkinson","TE","SEA",4800,4.74,1,"85598-89588","LAR",-272,41.5,-6,23.8
