"Pos","Player","Team","Opp","Salary","Proj","Value"
"C","Nikola Jokic","DEN","GSW",12100,60.84,5
"C","Joel Embiid","PHI","BOS",11900,54.93,4.6
"PG","Luka Doncic","DAL","TOR",12300,53.16,4.3
"PF","Giannis Antetokounmpo","MIL","DET",10100,52.42,5.2
"PF/C","Anthony Davis","LAL","@HOU",11700,51.07,4.4
"PG","LaMelo Ball","CHA","WAS",8800,49.26,5.6
"PG","Tyrese Haliburton","IND","UTA",10000,47.6,4.8
"PF/SF","Jayson Tatum","BOS","@PHI",10000,47.06,4.7
"SF/PF","LeBron James","LAL","@HOU",9800,46.8,4.8
"PG","Shai Gilgeous-Alexander","OKC","CLE",10700,46.58,4.4
"C/PF","Domantas Sabonis","SAC","POR",9700,46.38,4.8
"SF/PF","Kevin Durant","PHX","@CHI",10300,46.11,4.5
"SG/PG","Donovan Mitchell","CLE","@OKC",10100,44.44,4.4
"SF","Brandon Ingram","NO","@MIN",8300,43.56,5.2
"PG","Damian Lillard","MIL","DET",8600,43.2,5
"SG/SF","Anthony Edwards","MIN","NOP",8700,43.08,5
"PG/SG","Malcolm Brogdon","POR","@SAC",7900,41.95,5.3
"SG/SF","Desmond Bane","MEM","MIA",9000,41.9,4.7
"PG","Stephen Curry","GS","@DEN",9600,41.67,4.3
"PF/C","Jaren Jackson","MEM","MIA",8700,41.21,4.7
"SF/PF","Jimmy Butler","MIA","@MEM",8400,40.88,4.9
"PF","Julius Randle","NY","SAS",7800,40.74,5.2
"PG/SG","Cade Cunningham","DET","@MIL",7800,40.64,5.2
"SF/PF","Kawhi Leonard","LAC","@BKN",8400,40.22,4.8
"C","Bam Adebayo","MIA","@MEM",8000,40.22,5
"PF/SF","Lauri Markkanen","UTA","@IND",8100,39.64,4.9
"PG","Jalen Brunson","NY","SAS",8300,39.5,4.8
"PG/SG","Kyrie Irving","DAL","TOR",8500,39.18,4.6
"C","Alperen Sengun","HOU","LAL",8200,38.84,4.7
"SF/PF","Kyle Kuzma","WAS","@CHA",7600,38.77,5.1
"PF","Pascal Siakam","TOR","@DAL",7300,38.26,5.2
"PF/SF","Scottie Barnes","TOR","@DAL",9500,38.2,4
"SG/PG","James Harden","LAC","@BKN",8100,37.85,4.7
"SG/SF","Paul George","LAC","@BKN",8500,37.81,4.4
"PF/C","Karl-Anthony Towns","MIN","NOP",8100,37.69,4.7
"PF/C","Evan Mobley","CLE","@OKC",7900,37.34,4.7
"SG/SF","Mikal Bridges","BKN","LAC",7600,37.05,4.9
"PG","Tyrese Maxey","PHI","BOS",8600,36.94,4.3
"C","Myles Turner","IND","UTA",7600,36.84,4.8
"SG","Tyler Herro","MIA","@MEM",8200,36.76,4.5
"C","Nikola Vucevic","CHI","PHX",7500,36.69,4.9
"SF/SG","Jaylen Brown","BOS","@PHI",7700,36.12,4.7
"PG","Fred VanVleet","HOU","LAL",8100,36.03,4.4
"C","Deandre Ayton","POR","@SAC",7900,35.73,4.5
"C/PF","Kristaps Porzingis","BOS","@PHI",8000,35.64,4.5
"SF","DeMar DeRozan","CHI","PHX",7600,35.53,4.7
"C","Rudy Gobert","MIN","NOP",7600,35.38,4.7
"SG/SF","Cameron Thomas","BKN","LAC",7600,35.36,4.7
"SG","Zach LaVine","CHI","PHX",7700,35.2,4.6
"C","Chet Holmgren","OKC","CLE",8200,34.77,4.2
"SG","Ausar Thompson","DET","@MIL",7000,34.67,5
"SF/SG","Shaedon Sharpe","POR","@SAC",7300,34.48,4.7
"PG","Darius Garland","CLE","@OKC",7500,34.37,4.6
"SF/SG","Gordon Hayward","CHA","WAS",6900,34.37,5
"PF/C","Victor Wembanyama","SA","@NYK",8900,34.34,3.9
"PG","Chris Paul","GS","@DEN",6500,33.94,5.2
"PF/SF","Jerami Grant","POR","@SAC",6600,33.85,5.1
"PF/C","P.J. Washington","CHA","WAS",6000,33.14,5.5
"C","Jalen Duren","DET","@MIL",7400,32.7,4.4
"PG","Russell Westbrook","LAC","@BKN",8000,32.69,4.1
"PG","Jrue Holiday","BOS","@PHI",7200,32.63,4.5
"PG/SG","Jordan Poole","WAS","@CHA",6700,32.63,4.9
"C","Jonas Valanciunas","NO","@MIN",6500,32.43,5
"PG/PF","Ben Simmons","BKN","LAC",7200,32.15,4.5
"SG/PG","Josh Giddey","OKC","CLE",7700,31.96,4.2
"PG/SG","D'Angelo Russell","LAL","@HOU",6800,31.92,4.7
"C/PF","Kelly Olynyk","UTA","@IND",4400,31.77,7.2
"PF","Aaron Gordon","DEN","GSW",6300,31.45,5
"C","Mitchell Robinson","NY","SAS",6000,31.07,5.2
"PG","Dennis Schroder","TOR","@DAL",6800,30.88,4.5
"SF","Michael Porter","DEN","GSW",6400,30.65,4.8
"SG/PG","Jalen Green","HOU","LAL",6300,30.58,4.9
"C","Mark Williams","CHA","WAS",6400,30.57,4.8
"PF/SF","Keldon Johnson","SA","@NYK",7600,30.54,4
"SF/SG","Jalen Williams","OKC","CLE",6900,30.27,4.4
"PF/C","Zach Collins","SA","@NYK",6700,30.09,4.5
"C","Jakob Poeltl","TOR","@DAL",6000,30.06,5
"PG","Marcus Smart","MEM","MIA",6200,29.95,4.8
"PF/C","John Collins","UTA","@IND",6200,29.92,4.8
"PG/SG","Jordan Clarkson","UTA","@IND",6100,29.75,4.9
"C/PF","Jarrett Allen","CLE","@OKC",6700,29.67,4.4
"SF","RJ Barrett","NY","SAS",6200,29.66,4.8
"C","Daniel Gafford","WAS","@CHA",5300,29.55,5.6
"PF/SF","Tobias Harris","PHI","BOS",7100,29.42,4.1
"SG/PG","Bradley Beal","PHX","@CHI",7700,29.41,3.8
"PG","Killian Hayes","DET","@MIL",5400,29.31,5.4
"SF","Brandon Miller","CHA","WAS",5600,28.88,5.2
"SF/SG","Austin Reaves","LAL","@HOU",6000,28.76,4.8
"SG","Jordan Hawkins","NO","@MIN",4300,28.72,6.7
"C","Jusuf Nurkic","PHX","@CHI",7000,28.55,4.1
"SF","Bruce Brown","IND","UTA",5200,28.44,5.5
"PF","Jabari Smith","HOU","LAL",6300,28.18,4.5
"PG","Tyus Jones","WAS","@CHA",5800,28.15,4.9
"SG/SF","Talen Horton-Tucker","UTA","@IND",6300,28.09,4.5
"SF/PF","Deni Avdija","WAS","@CHA",5700,28.08,4.9
"C","Brook Lopez","MIL","DET",5900,27.92,4.7
"SF/PF","Keegan Murray","SAC","POR",6200,27.86,4.5
"PG","Marcus Sasser","DET","@MIL",5300,27.53,5.2
"SG/SF","Caris LeVert","CLE","@OKC",6100,27.41,4.5
"SG/PG","Spencer Dinwiddie","BKN","LAC",6700,27.29,4.1
"SG/SF","Herbert Jones","NO","@MIN",5600,27.15,4.8
"SF/SG","OG Anunoby","TOR","@DAL",6400,27,4.2
"SF/SG","Kelly Oubre","PHI","BOS",6100,26.7,4.4
"C","Kevon Looney","GS","@DEN",5300,26.25,5
"SG/PG","Malik Monk","SAC","POR",5800,26.16,4.5
"C/PF","Isaiah Stewart","DET","@MIL",5500,26.12,4.7
"C","Ivica Zubac","LAC","@BKN",5600,26.06,4.7
"SG","Klay Thompson","GS","@DEN",5300,25.56,4.8
"PG","Mike Conley","MIN","NOP",5200,25.16,4.8
"C/PF","Naz Reid","MIN","NOP",5500,25.15,4.6
"SG/SF","Buddy Hield","IND","UTA",5200,25.02,4.8
"PF/C","Bobby Portis","MIL","DET",5200,24.65,4.7
"SG/SF","Max Strus","CLE","@OKC",5300,24.59,4.6
"PG/SG","Derrick White","BOS","@PHI",5800,24.55,4.2
"C","Bismack Biyombo","MEM","MIA",5400,24.34,4.5
"PG","Coby White","CHI","PHX",5100,24.2,4.7
"SG/SF","Kevin Huerter","SAC","POR",5200,24.18,4.6
"SF/PF","Kyle Anderson","MIN","NOP",5700,24.16,4.2
"C","Al Horford","BOS","@PHI",5200,24.07,4.6
"SG/PG","Immanuel Quickley","NY","SAS",5400,23.87,4.4
"PG/SG","De'Anthony Melton","PHI","BOS",5400,23.84,4.4
"SF/PF","Dorian Finney-Smith","BKN","LAC",5200,23.82,4.6
"SG/SF","Dillon Brooks","HOU","LAL",5900,23.53,4
"PG","Tre Jones","SA","@NYK",5700,23.18,4.1
"SF/PF","Jaden McDaniels","MIN","NOP",4700,23.11,4.9
"PF/SF","Jae Crowder","MIL","DET",4400,23.07,5.2
"SG/SF","Tim Hardaway","DAL","TOR",5200,22.67,4.4
"PG/PF","Jeremy Sochan","SA","@NYK",6000,22.65,3.8
"SG/SF","Bennedict Mathurin","IND","UTA",4900,22.62,4.6
"SG","Eric Gordon","PHX","@CHI",5600,22.53,4
"SG/SF","Josh Hart","NY","SAS",5400,22.49,4.2
"SF/SG","Luguentz Dort","OKC","CLE",5500,22.47,4.1
"SF/PF","Harrison Barnes","SAC","POR",4900,22.35,4.6
"PG","Reggie Jackson","DEN","GSW",4700,22.25,4.7
"SF/PF","Andrew Wiggins","GS","@DEN",4900,22.24,4.5
