"Pos","Player","Team","Opp","Salary","Proj","Value","OU","SPRD","IMP"
"WR","CeeDee Lamb","DAL","GB",9000,24.29,2.7,50.5,-7,28.75
"QB","Dak Prescott","DAL","GB",7600,21.74,2.9,50.5,-7,28.75
"QB","Jalen Hurts","PHI","@TB",7700,21.63,2.8,43,-3,23
"WR","Amon-Ra St. Brown","DET","LAR",8000,21.18,2.6,52,-3,27.5
"QB","Josh Allen","BUF","PIT",8000,20.76,2.6,33,-9,21
"WR","Tyreek Hill","MIA","@KC",8700,20.17,2.3,43.5,4.5,19.5
"QB","Patrick Mahomes","KC","MIA",7100,19.97,2.8,43.5,-4.5,24
"QB","Jared Goff","DET","LAR",6200,18.68,3,52,-3,27.5
"QB","Matthew Stafford","LAR","@DET",6500,18.53,2.9,52,3,24.5
"QB","Jordan Love","GB","@DAL",6300,18.39,2.9,50.5,7,21.75
"WR","Puka Nacua","LAR","@DET",7200,17.97,2.5,52,3,24.5
"RB","Kyren Williams","LAR","@DET",7300,17.81,2.4,52,3,24.5
"QB","Joe Flacco","CLE","@HOU",6100,17.57,2.9,45,-2.5,23.75
"QB","C.J. Stroud","HOU","CLE",6800,17.47,2.6,45,2.5,21.25
"WR","Amari Cooper","CLE","@HOU",6800,17.47,2.6,45,-2.5,23.75
"WR","Nico Collins","HOU","CLE",7000,16.88,2.4,45,2.5,21.25
"WR","Cooper Kupp","LAR","@DET",7500,16.84,2.2,52,3,24.5
"RB","Rachaad White","TB","PHI",6900,16.56,2.4,43,3,20
"QB","Baker Mayfield","TB","PHI",5800,16.55,2.9,43,3,20
"RB","Isiah Pacheco","KC","MIA",6400,16.54,2.6,43.5,-4.5,24
"WR","Mike Evans","TB","PHI",6900,16.4,2.4,43,3,20
"RB","Aaron Jones","GB","@DAL",6300,16.05,2.5,50.5,7,21.75
"WR","Rashee Rice","KC","MIA",6600,15.42,2.3,43.5,-4.5,24
"RB","Jahmyr Gibbs","DET","LAR",6500,15.22,2.3,52,-3,27.5
"QB","Tua Tagovailoa","MIA","@KC",7000,15.06,2.2,43.5,4.5,19.5
"RB","Tony Pollard","DAL","GB",6100,14.5,2.4,50.5,-7,28.75
"RB","Devin Singletary","HOU","CLE",5700,14.49,2.5,45,2.5,21.25
"WR","DeVonta Smith","PHI","@TB",6700,14.32,2.1,43,-3,23
"RB","James Cook","BUF","PIT",6600,14.29,2.2,33,-9,21
"WR","Chris Godwin","TB","PHI",6200,14.22,2.3,43,3,20
"TE","David Njoku","CLE","@HOU",5600,14.13,2.5,45,-2.5,23.75
"TE","Travis Kelce","KC","MIA",6100,13.98,2.3,43.5,-4.5,24
"WR","Stefon Diggs","BUF","PIT",7400,13.64,1.8,33,-9,21
"WR","Jayden Reed","GB","@DAL",5700,12.93,2.3,50.5,7,21.75
"RB","Devon Achane","MIA","@KC",6800,12.72,1.9,43.5,4.5,19.5
"WR","Jaylen Waddle","MIA","@KC",6500,12.69,2,43.5,4.5,19.5
"RB","Jerome Ford","CLE","@HOU",5500,12.69,2.3,45,-2.5,23.75
"RB","D'Andre Swift","PHI","@TB",6000,12.31,2.1,43,-3,23
"TE","Jake Ferguson","DAL","GB",4700,12.11,2.6,50.5,-7,28.75
"RB","David Montgomery","DET","LAR",6200,11.92,1.9,52,-3,27.5
"RB","Najee Harris","PIT","@BUF",5400,11.5,2.1,33,9,12
"TE","Dallas Goedert","PHI","@TB",4800,11.22,2.3,43,-3,23
"RB","Raheem Mostert","MIA","@KC",6700,10.87,1.6,43.5,4.5,19.5
"RB","Jaylen Warren","PIT","@BUF",5100,10.66,2.1,33,9,12
"QB","Mason Rudolph","PIT","@BUF",5300,10.64,2,33,9,12
"WR","Brandin Cooks","DAL","GB",4900,10.36,2.1,50.5,-7,28.75
"WR","George Pickens","PIT","@BUF",5200,9.89,1.9,33,9,12
"WR","Demarcus Robinson","LAR","@DET",3600,9.87,2.7,52,3,24.5
"TE","Dalton Schultz","HOU","CLE",4400,9.79,2.2,45,2.5,21.25
"D","Bills","BUF","PIT",3500,9.4,2.7,33,-9,21
"WR","Diontae Johnson","PIT","@BUF",5000,9.2,1.8,33,9,12
"TE","Dalton Kincaid","BUF","PIT",4600,9.09,2,33,-9,21
"TE","Sam LaPorta","DET","LAR",6000,8.69,1.4,52,-3,27.5
"WR","Elijah Moore","CLE","@HOU",4000,8.48,2.1,45,-2.5,23.75
"WR","Romeo Doubs","GB","@DAL",5400,8.24,1.5,50.5,7,21.75
"WR","Noah Brown","HOU","CLE",5100,8.07,1.6,45,2.5,21.25
"WR","Christian Watson","GB","@DAL",4500,8.05,1.8,50.5,7,21.75
"WR","Khalil Shakir","BUF","PIT",3400,7.89,2.3,33,-9,21
"WR","Jameson Williams","DET","LAR",3500,7.73,2.2,52,-3,27.5
"TE","Tyler Higbee","LAR","@DET",3400,7.7,2.3,52,3,24.5
"WR","Dontayvion Wicks","GB","@DAL",4800,7.11,1.5,50.5,7,21.75
"D","Chiefs","KC","MIA",2900,7.11,2.5,43.5,-4.5,24
"RB","Kareem Hunt","CLE","@HOU",4700,7.04,1.5,45,-2.5,23.75
"D","Eagles","PHI","@TB",3400,6.98,2.1,43,-3,23
"WR","Josh Reynolds","DET","LAR",3800,6.74,1.8,52,-3,27.5
"D","Browns","CLE","@HOU",3300,6.72,2,45,-2.5,23.75
"D","Cowboys","DAL","GB",3600,6.64,1.8,50.5,-7,28.75
"D","Texans","HOU","CLE",3000,6.35,2.1,45,2.5,21.25
"TE","Tucker Kraft","GB","@DAL",3300,6.17,1.9,50.5,7,21.75
"TE","Cade Otton","TB","PHI",3100,6.17,2,43,3,20
"D","Bucs","TB","PHI",3200,6.12,1.9,43,3,20
"WR","Trey Palmer","TB","PHI",3400,6.11,1.8,43,3,20
"TE","Pat Freiermuth","PIT","@BUF",3600,6.03,1.7,33,9,12
"D","Lions","DET","LAR",3100,6.02,1.9,52,-3,27.5
"WR","Justin Watson","KC","MIA",3400,5.86,1.7,43.5,-4.5,24
"WR","Robert Woods","HOU","CLE",3600,5.54,1.5,45,2.5,21.25
"RB","Kenneth Gainwell","PHI","@TB",4900,5.53,1.1,43,-3,23
"D","Steelers","PIT","@BUF",2600,5.53,2.1,33,9,12
"D","Dolphins","MIA","@KC",2800,5.48,2,43.5,4.5,19.5
"D","Rams","LAR","@DET",2700,5.12,1.9,52,3,24.5
"D","Packers","GB","@DAL",2300,5.08,2.2,50.5,7,21.75
"RB","Rico Dowdle","DAL","GB",4600,5,1.1,50.5,-7,28.75
"WR","Julio Jones","PHI","@TB",3900,4.84,1.2,43,-3,23
"TE","Durham Smythe","MIA","@KC",3000,4.69,1.6,43.5,4.5,19.5
"WR","Bo Melton","GB","@DAL",3300,4.56,1.4,50.5,7,21.75
"RB","Clyde Edwards-Helaire","KC","MIA",4800,4.36,0.9,43.5,-4.5,24
"WR","Quez Watkins","PHI","@TB",3500,4.36,1.2,43,-3,23
"RB","Chase Edmonds","TB","PHI",4800,4.01,0.8,43,3,20
"WR","David Bell","CLE","@HOU",3500,4.01,1.1,45,-2.5,23.75
"WR","Michael Gallup","DAL","GB",3100,4.01,1.3,50.5,-7,28.75
"TE","Dawson Knox","BUF","PIT",2900,4.01,1.4,33,-9,21
"TE","Luke Musgrave","GB","@DAL",3200,3.8,1.2,50.5,7,21.75
"WR","Mecole Hardman","KC","MIA",3100,3.79,1.2,43.5,-4.5,24
"WR","Cedrick Wilson","MIA","@KC",3800,3.64,1,43.5,4.5,19.5
"WR","Richie James","KC","MIA",3300,3.62,1.1,43.5,-4.5,24
"WR","Kadarius Toney","KC","MIA",3200,3.51,1.1,43.5,-4.5,24
"TE","Noah Gray","KC","MIA",2600,3.5,1.3,43.5,-4.5,24
"WR","Allen Robinson","PIT","@BUF",3000,3.45,1.2,33,9,12
"WR","Olamide Zaccheaus","PHI","@TB",3000,3.41,1.1,43,-3,23
"RB","Leonard Fournette","BUF","PIT",4400,3.3,0.7,33,-9,21
"WR","Trent Sherfield","BUF","PIT",3300,3.26,1,33,-9,21
"WR","Jalen Tolbert","DAL","GB",3000,3.06,1,50.5,-7,28.75
"TE","Brevin Jordan","HOU","CLE",2500,2.92,1.2,45,2.5,21.25
"WR","Tutu Atwell","LAR","@DET",3200,2.87,0.9,52,3,24.5
"RB","Ty Johnson","BUF","PIT",4200,2.83,0.7,33,-9,21
"RB","Patrick Taylor","GB","@DAL",4000,2.65,0.7,50.5,7,21.75
