"Player","Pos","Team","Salary","Proj","projVal","ID","Opp","ML","OU","SPRD","IMP","Actual","actVal"
"Josh Allen","QB","BUF",9000,25.53,2.8,"81443-62239","PIT",-860,45.5,-14,29.8,36.2,4
"Taysom Hill","TE","NO",6000,3.39,0.6,"81443-45565","SEA",-233,45.5,-5.5,25.5,34.1,5.7
"Austin Ekeler","RB","LAC",9000,16.2,1.8,"81443-80001","@CLE",-122,47,-2,24.5,33.9,3.8
"Leonard Fournette","RB","TB",7800,15.92,2,"81443-52922","ATL",-466,46.5,-10,28.2,30.9,4
"Gabe Davis","WR","BUF",6000,11.63,1.9,"81443-94534","PIT",-860,45.5,-14,29.8,30.6,5.1
"Jalen Hurts","QB","PHI",8600,24.32,2.8,"81443-69531","@ARI",-230,48.5,-5.5,27,27.7,3.2
"Breece Hall","RB","NYJ",6600,12.27,1.9,"81443-103064","MIA",153,46,3.5,21.2,26.7,4
"Derrick Henry","RB","TEN",8900,16.59,1.9,"81443-39280","@WAS",-112,43,-0.5,21.8,26.2,2.9
"Nick Chubb","RB","CLE",9400,14.8,1.6,"81443-53562","LAC",104,47,2,22.5,25.4,2.7
"Dalvin Cook","RB","MIN",7300,15.75,2.2,"81443-54140","CHI",-350,44,-7.5,25.8,25.1,3.4
"Tyler Lockett","WR","SEA",6800,11.83,1.7,"81443-27050","@NO",190,45.5,5.5,20,24.9,3.7
"Justin Jefferson","WR","MIN",8800,16.96,1.9,"81443-85671","CHI",-350,44,-7.5,25.8,24.3,2.8
"Geno Smith","QB","SEA",6900,16.2,2.3,"81443-26483","@NO",190,45.5,5.5,20,24,3.5
"Dyami Brown","WR","WAS",4600,4.05,0.9,"81443-93538","TEN",-106,43,0.5,21.2,23.5,5.1
"Kirk Cousins","QB","MIN",7100,18.23,2.6,"81443-22038","CHI",-350,44,-7.5,25.8,23.2,3.3
"Carson Wentz","QB","WAS",6800,17.14,2.5,"81443-70324","TEN",-106,43,0.5,21.2,22.9,3.4
"Cooper Kupp","WR","LAR",9500,18.63,2,"81443-79970","DAL",-235,42.5,-5.5,24,22.4,2.4
"Jakobi Meyers","WR","NE",6000,8.42,1.4,"81443-63634","DET",-157,46.5,-3,24.8,20.6,3.4
"Alvin Kamara","RB","NO",7000,15.1,2.2,"81443-42104","SEA",-233,45.5,-5.5,25.5,20.4,2.9
"Stefon Diggs","WR","BUF",8600,16.45,1.9,"81443-25079","PIT",-860,45.5,-14,29.8,20.2,2.3
"Christian McCaffrey","RB","CAR",8700,16.77,1.9,"81443-55050","SF",217,40,6.5,16.8,19.9,2.3
"Tom Brady","QB","TB",7800,21.19,2.7,"81443-6498","ATL",-466,46.5,-10,28.2,19.7,2.5
"Jeff Wilson","RB","SF",6500,12.62,1.9,"81443-55552","@CAR",-267,40,-6.5,23.2,19.7,3
"Mark Andrews","TE","BAL",7800,14.73,1.9,"81443-52436",NA,NA,NA,NA,NA,18.9,2.4
"Dameon Pierce","RB","HOU",7500,12.33,1.6,"81443-86055","@JAX",261,43.5,7,18.2,18.8,2.5
"Raheem Mostert","RB","MIA",5800,10.62,1.8,"81443-28744","@NYJ",-182,46,-3.5,24.8,18.7,3.2
"Rhamondre Stevenson","RB","NE",6000,11.67,1.9,"81443-111540","DET",-157,46.5,-3,24.8,18.5,3.1
"Mike Williams","WR","LAC",7400,13.12,1.8,"81443-39829","@CLE",-122,47,-2,24.5,18.4,2.5
"Joe Burrow","QB","CIN",7800,20.28,2.6,"81443-63336",NA,NA,NA,NA,NA,18.3,2.3
"Marcus Mariota","QB","ATL",6800,15.98,2.4,"81443-29358","@TB",360,46.5,10,18.2,18,2.6
"Jimmy Garoppolo","QB","SF",7000,15.27,2.2,"81443-54604","@CAR",-267,40,-6.5,23.2,18,2.6
"Marquise Brown","WR","ARI",7800,12.77,1.6,"81443-86687","PHI",184,48.5,5.5,21.5,17.8,2.3
"Kyler Murray","QB","ARI",8100,19.7,2.4,"81443-63484","PHI",184,48.5,5.5,21.5,17.2,2.1
"Amari Cooper","WR","CLE",7000,11.27,1.6,"81443-31001","LAC",104,47,2,22.5,17.1,2.4
"Justin Fields","QB","CHI",6600,15.35,2.3,"81443-91591","@MIN",281,44,7.5,18.2,17,2.6
"Michael Carter","RB","NYJ",5500,8.27,1.5,"81443-93539","MIA",153,46,3.5,21.2,16.3,3
"David Montgomery","RB","CHI",7100,11.28,1.6,"81443-73273","@MIN",281,44,7.5,18.2,16.2,2.3
"Lamar Jackson","QB","BAL",8700,23.76,2.7,"81443-63115",NA,NA,NA,NA,NA,15.8,1.8
"Jacoby Brissett","QB","CLE",6700,15.69,2.3,"81443-30231","LAC",104,47,2,22.5,15.4,2.3
"D.K. Metcalf","WR","SEA",7100,12.45,1.8,"81443-73048","@NO",190,45.5,5.5,20,15.3,2.2
"Joshua Kelley","RB","LAC",4900,2.92,0.6,"81443-91872","@CLE",-122,47,-2,24.5,15.2,3.1
"Khalil Shakir","WR","BUF",5000,5.97,1.2,"81443-86518","PIT",-860,45.5,-14,29.8,15,3
"Kenneth Walker","RB","SEA",5300,4.74,0.9,"81443-103342","@NO",190,45.5,5.5,20,14.8,2.8
"Zach Wilson","QB","NYJ",7200,15.62,2.2,"81443-90406","MIA",153,46,3.5,21.2,14.6,2
"Tony Pollard","RB","DAL",5700,8.38,1.5,"81443-63759","@LAR",193,42.5,5.5,18.5,14.6,2.6
"Justin Herbert","QB","LAC",8200,19.87,2.4,"81443-69189","@CLE",-122,47,-2,24.5,14.4,1.8
"Hayden Hurst","TE","CIN",5000,6.31,1.3,"81443-64031",NA,NA,NA,NA,NA,14.3,2.9
"Marvin Jones","WR","JAX",5200,7.37,1.4,"81443-22103","HOU",-323,43.5,-7,25.2,13.9,2.7
"DeVonta Smith","WR","PHI",6600,11.02,1.7,"81443-90576","@ARI",-230,48.5,-5.5,27,13.7,2.1
"Dallas Goedert","TE","PHI",6100,9.12,1.5,"81443-83074","@ARI",-230,48.5,-5.5,27,13.5,2.2
"Chris Olave","WR","NO",6900,13.07,1.9,"81443-87770","SEA",-233,45.5,-5.5,25.5,13.4,1.9
"Kareem Hunt","RB","CLE",5900,9.85,1.7,"81443-45229","LAC",104,47,2,22.5,13.2,2.2
"Kenny Pickett","QB","PIT",6500,14.34,2.2,"81443-92020","@BUF",583,45.5,14,15.8,13.1,2
"Travis Etienne","RB","JAX",5600,8.6,1.5,"81443-89956","HOU",-323,43.5,-7,25.2,12.9,2.3
"Eno Benjamin","RB","ARI",5400,4.35,0.8,"81443-85762","PHI",184,48.5,5.5,21.5,12.8,2.4
"Trevor Lawrence","QB","JAX",7600,17.69,2.3,"81443-89951","HOU",-323,43.5,-7,25.2,12.3,1.6
"Josh Reynolds","WR","DET",6400,9.31,1.5,"81443-53097","@NE",134,46.5,3,21.8,12.2,1.9
"David Njoku","TE","CLE",5700,7.91,1.4,"81443-55335","LAC",104,47,2,22.5,11.8,2.1
"Ryan Tannehill","QB","TEN",6900,16.24,2.4,"81443-21948","@WAS",-112,43,-0.5,21.8,11.5,1.7
"Matthew Stafford","QB","LAR",7400,17.7,2.4,"81443-6654","DAL",-235,42.5,-5.5,24,11.3,1.5
"George Pickens","WR","PIT",5500,7.25,1.3,"81443-110246","@BUF",583,45.5,14,15.8,11.3,2.1
"Bailey Zappe","QB","NE",6300,14.09,2.2,"81443-139985","DET",-157,46.5,-3,24.8,11,1.7
"Andy Dalton","QB","NO",6500,16.57,2.5,"81443-14225","SEA",-233,45.5,-5.5,25.5,10.9,1.7
"Olamide Zaccheaus","WR","ATL",5300,5.89,1.1,"81443-64496","@TB",360,46.5,10,18.2,10.9,2.1
"Craig Reynolds","RB","DET",5500,3.86,0.7,"81443-104424","@NE",134,46.5,3,21.8,10.7,1.9
"Joe Mixon","RB","CIN",7700,14.88,1.9,"81443-52442",NA,NA,NA,NA,NA,10.3,1.3
"Devin Duvernay","WR","BAL",6000,8.83,1.5,"81443-71032",NA,NA,NA,NA,NA,10.3,1.7
"Dontrell Hilliard","RB","TEN",5000,5.13,1,"81443-52808","@WAS",-112,43,-0.5,21.8,10.3,2.1
"Deebo Samuel","WR","SF",7300,15.45,2.1,"81443-56018","@CAR",-267,40,-6.5,23.2,10.2,1.4
