"Player","Pos","Team","Salary","Proj","projVal","ID","Opp","ML","OU","SPRD","IMP","Actual","actVal"
"Nick Chubb","RB","CLE",8200,12.9,1.6,"69683-53562","CIN",-233,37.5,-5.5,21.5,15.8,1.9
"Vikings","D","MIN",3700,7.03,1.9,"69683-12540","CHI",-203,44.5,-4,24.2,15,4.1
"Justin Jefferson","WR","MIN",8500,16.87,2,"69683-85671","CHI",-203,44.5,-4,24.2,12.7,1.5
"Kirk Cousins","QB","MIN",7200,17.96,2.5,"69683-22038","CHI",-203,44.5,-4,24.2,11.48,1.6
"Dalvin Cook","RB","MIN",8700,17.63,2,"69683-54140","CHI",-203,44.5,-4,24.2,10.1,1.2
"Cole Kmet","TE","CHI",4900,7.29,1.5,"69683-91047","@MIN",169,44.5,4,20.2,10.1,2.1
"Darnell Mooney","WR","CHI",6300,11.8,1.9,"69683-69777","@MIN",169,44.5,4,20.2,9.1,1.4
"Bears","D","CHI",3900,5.72,1.5,"69683-12527","@MIN",169,44.5,4,20.2,9,2.3
"David Montgomery","RB","CHI",7600,15.59,2.1,"69683-73273","@MIN",169,44.5,4,20.2,8.8,1.2
"Ihmir Smith-Marsette","WR","MIN",5000,2.59,0.5,"69683-86113","CHI",-203,44.5,-4,24.2,7.2,1.4
"Browns","D","CLE",4500,8.67,1.9,"69683-12529","CIN",-233,37.5,-5.5,21.5,7,1.6
"Donovan Peoples-Jones","WR","CLE",5500,7.26,1.3,"69683-91426","CIN",-233,37.5,-5.5,21.5,6.8,1.2
"Damiere Byrd","WR","CHI",4800,3.82,0.8,"69683-30678","@MIN",169,44.5,4,20.2,6.7,1.4
"Khalil Herbert","RB","CHI",5000,2.43,0.5,"69683-72412","@MIN",169,44.5,4,20.2,4.9,1
"David Njoku","TE","CLE",4900,4.64,0.9,"69683-55335","CIN",-233,37.5,-5.5,21.5,4.4,0.9
"Rashard Higgins","WR","CLE",4900,3.89,0.8,"69683-45791","CIN",-233,37.5,-5.5,21.5,3.9,0.8
"K.J. Osborn","WR","MIN",6400,9.46,1.5,"69683-63855","CHI",-203,44.5,-4,24.2,3.6,0.6
"Jimmy Graham","TE","CHI",4500,2.98,0.7,"69683-11512","@MIN",169,44.5,4,20.2,1.8,0.4
"Tyler Conklin","TE","MIN",5300,6.99,1.3,"69683-60451","CHI",-203,44.5,-4,24.2,1.2,0.2
"Damien Williams","RB","CHI",4700,2.19,0.5,"69683-27441","@MIN",169,44.5,4,20.2,0,0
