"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP"
"Lamar Jackson","QB","BAL",8900,23.49,2.6,"92765-63115","HOU",43.5,-10,26.75
"Jalen Hurts","QB","PHI",9000,22.39,2.5,"92765-69531","@NE",45,-4,24.5
"Justin Herbert","QB","LAC",8100,20.74,2.6,"92765-69189","MIA",51,-3,27
"Joe Burrow","QB","CIN",7900,20.4,2.6,"92765-63336","@CLE",47.5,-2.5,25
"Deshaun Watson","QB","CLE",7400,19.89,2.7,"92765-54879","CIN",47.5,2.5,22.5
"Justin Fields","QB","CHI",8300,19.65,2.4,"92765-91591","GB",43,-1,22
"Geno Smith","QB","SEA",7200,19.12,2.7,"92765-26483","LAR",46,-5.5,25.75
"Kirk Cousins","QB","MIN",7500,18.63,2.5,"92765-22038","TB",45.5,-6,25.75
"Tua Tagovailoa","QB","MIA",7700,18.37,2.4,"92765-90572","@LAC",51,3,24
"Russell Wilson","QB","DEN",7300,18.15,2.5,"92765-22015","LV",44,-4,24
"Derek Carr","QB","NO",7000,17.1,2.4,"92765-45859","TEN",41,-3,22
"Anthony Richardson","QB","IND",6700,16.96,2.5,"92765-129315","JAX",45,5,20
"Justin Jefferson","WR","MIN",9500,16.88,1.8,"92765-85671","TB",45.5,-6,25.75
"Ja'Marr Chase","WR","CIN",8500,16.45,1.9,"92765-85701","@CLE",47.5,-2.5,25
"Tyreek Hill","WR","MIA",8800,16.25,1.8,"92765-53681","@LAC",51,3,24
"Austin Ekeler","RB","LAC",9000,16.17,1.8,"92765-80001","MIA",51,-3,27
"Jordan Love","QB","GB",6400,16.14,2.5,"92765-69017","@CHI",43,1,21
"Christian McCaffrey","RB","SF",9200,16.13,1.8,"92765-55050","@PIT",41,-2.5,21.75
"Baker Mayfield","QB","TB",6300,15.59,2.5,"92765-41535","@MIN",45.5,6,19.75
"Nick Chubb","RB","CLE",8600,15.44,1.8,"92765-53562","CIN",47.5,2.5,22.5
"Jimmy Garoppolo","QB","LV",6600,15.38,2.3,"92765-54604","@DEN",44,4,20
"Brock Purdy","QB","SF",6900,15.04,2.2,"92765-85607","@PIT",41,-2.5,21.75
"Kenny Pickett","QB","PIT",6600,14.93,2.3,"92765-92020","SF",41,2.5,19.25
"Derrick Henry","RB","TEN",8500,14.82,1.7,"92765-39280","@NO",41,3,19
"Mac Jones","QB","NE",6400,14.81,2.3,"92765-90584","PHI",45,4,20.5
"Bryce Young","QB","CAR",6500,14.49,2.2,"92765-119606","@ATL",39.5,3.5,18
"C.J. Stroud","QB","HOU",6300,14.48,2.3,"92765-129471","@BAL",43.5,10,16.75
"Ryan Tannehill","QB","TEN",6500,14.31,2.2,"92765-21948","@NO",41,3,19
"Bijan Robinson","RB","ATL",7800,14.29,1.8,"92765-136855","CAR",39.5,-3.5,21.5
