"Player","Pos","Team","Salary","Proj","Value","ID","Opp","ML","OU","SPRD","IMP"
"Josh Allen","QB","BUF",8800,22.46,2.6,"70039-62239","NE",-219,43.5,-4.5,24
"Patrick Mahomes","QB","KC",8700,22.15,2.5,"70039-57439","PIT",-713,46,-12.5,29.2
"Dak Prescott","QB","DAL",8000,20.87,2.6,"70039-31716","SF",-162,51,-3,27
"Tom Brady","QB","TB",8400,20.86,2.5,"70039-6498","PHI",-385,45.5,-8.5,27
"Kyler Murray","QB","ARI",8200,20.85,2.5,"70039-63484","@LAR",161,49.5,4,22.8
"Joe Burrow","QB","CIN",7800,20.7,2.7,"70039-63336","LV",-255,48.5,-6,27.2
"Cooper Kupp","WR","LAR",10000,20.2,2,"70039-79970","ARI",-193,49.5,-4,26.8
"Matthew Stafford","QB","LAR",7600,20.12,2.6,"70039-6654","ARI",-193,49.5,-4,26.8
"Jalen Hurts","QB","PHI",7700,18.75,2.4,"70039-69531","@TB",303,45.5,8.5,18.5
"Derek Carr","QB","LV",6800,17.09,2.5,"70039-45859","@CIN",208,48.5,6,21.2
"Jimmy Garoppolo","QB","SF",6800,16.63,2.4,"70039-54604","@DAL",137,51,3,24
"Joe Mixon","RB","CIN",8500,16.22,1.9,"70039-52442","LV",-255,48.5,-6,27.2
"Deebo Samuel","WR","SF",8700,15.84,1.8,"70039-56018","@DAL",137,51,3,24
"Ja'Marr Chase","WR","CIN",8200,15.31,1.9,"70039-85701","LV",-255,48.5,-6,27.2
"Tyreek Hill","WR","KC",8000,15.1,1.9,"70039-53681","PIT",-713,46,-12.5,29.2
"Leonard Fournette","RB","TB",7300,14.95,2,"70039-52922","PHI",-385,45.5,-8.5,27
"Najee Harris","RB","PIT",8000,14.94,1.9,"70039-90575","@KC",498,46,12.5,16.8
"Mike Evans","WR","TB",8200,14.82,1.8,"70039-32384","PHI",-385,45.5,-8.5,27
"Stefon Diggs","WR","BUF",8000,14.6,1.8,"70039-25079","NE",-219,43.5,-4.5,24
"Josh Jacobs","RB","LV",7200,14.51,2,"70039-72731","@CIN",208,48.5,6,21.2
"Mac Jones","QB","NE",6500,14.26,2.2,"70039-90584","@BUF",182,43.5,4.5,19.5
"Travis Kelce","TE","KC",7500,14.13,1.9,"70039-33076","PIT",-713,46,-12.5,29.2
"Elijah Mitchell","RB","SF",7400,13.7,1.9,"70039-92413","@DAL",137,51,3,24
"Ben Roethlisberger","QB","PIT",6400,13.4,2.1,"70039-6589","@KC",498,46,12.5,16.8
"Rob Gronkowski","TE","TB",7400,13.21,1.8,"70039-11460","PHI",-385,45.5,-8.5,27
"Ezekiel Elliott","RB","DAL",7700,13.01,1.7,"70039-38791","SF",-162,51,-3,27
"Sony Michel","RB","LAR",6700,12.97,1.9,"70039-53640","ARI",-193,49.5,-4,26.8
"Diontae Johnson","WR","PIT",7200,12.9,1.8,"70039-66008","@KC",498,46,12.5,16.8
"Tee Higgins","WR","CIN",6900,12.66,1.8,"70039-89981","LV",-255,48.5,-6,27.2
"CeeDee Lamb","WR","DAL",7300,12.45,1.7,"70039-86631","SF",-162,51,-3,27
"George Kittle","TE","SF",6500,12.32,1.9,"70039-39793","@DAL",137,51,3,24
"Darrel Williams","RB","KC",6600,12.24,1.9,"70039-52897","PIT",-713,46,-12.5,29.2
"Hunter Renfrow","WR","LV",7300,11.8,1.6,"70039-57986","@CIN",208,48.5,6,21.2
"Darren Waller","TE","LV",6300,11.72,1.9,"70039-25011","@CIN",208,48.5,6,21.2
"Amari Cooper","WR","DAL",7100,11.57,1.6,"70039-31001","SF",-162,51,-3,27
"Devin Singletary","RB","BUF",6900,11.07,1.6,"70039-70603","NE",-219,43.5,-4.5,24
"Dallas Goedert","TE","PHI",5900,10.58,1.8,"70039-83074","@TB",303,45.5,8.5,18.5
"Odell Beckham Jr.","WR","LAR",6200,10.52,1.7,"70039-31360","ARI",-193,49.5,-4,26.8
"Christian Kirk","WR","ARI",6100,10.39,1.7,"70039-60858","@LAR",161,49.5,4,22.8
"Zach Ertz","TE","ARI",5800,10.3,1.8,"70039-29780","@LAR",161,49.5,4,22.8
"DeVonta Smith","WR","PHI",6200,10.07,1.6,"70039-90576","@TB",303,45.5,8.5,18.5
"Brandon Aiyuk","WR","SF",6100,9.9,1.6,"70039-85798","@DAL",137,51,3,24
"James Conner","RB","ARI",8000,9.53,1.2,"70039-40687","@LAR",161,49.5,4,22.8
"Chase Edmonds","RB","ARI",6400,9.3,1.5,"70039-83081","@LAR",161,49.5,4,22.8
"Dalton Schultz","TE","DAL",6200,9.27,1.5,"70039-55042","SF",-162,51,-3,27
"Jakobi Meyers","WR","NE",5900,9.24,1.6,"70039-63634","@BUF",182,43.5,4.5,19.5
"Damien Harris","RB","NE",7500,8.92,1.2,"70039-64576","@BUF",182,43.5,4.5,19.5
"Tyler Boyd","WR","CIN",6000,8.91,1.5,"70039-40669","LV",-255,48.5,-6,27.2
"Miles Sanders","RB","PHI",5900,8.89,1.5,"70039-71845","@TB",303,45.5,8.5,18.5
"A.J. Green","WR","ARI",5600,8.83,1.6,"70039-14187","@LAR",161,49.5,4,22.8
"Tony Pollard","RB","DAL",5700,8.55,1.5,"70039-63759","SF",-162,51,-3,27
"Chase Claypool","WR","PIT",5900,8.32,1.4,"70039-73111","@KC",498,46,12.5,16.8
"Tyler Higbee","TE","LAR",5900,8.13,1.4,"70039-47870","ARI",-193,49.5,-4,26.8
"Chiefs","D","KC",4800,8.08,1.7,"70039-12536","PIT",-713,46,-12.5,29.2
"Van Jefferson","WR","LAR",5700,7.71,1.4,"70039-64581","ARI",-193,49.5,-4,26.8
"Zay Jones","WR","LV",5300,7.63,1.4,"70039-41305","@CIN",208,48.5,6,21.2
"Bucs","D","TB",4200,7.61,1.8,"70039-12551","PHI",-385,45.5,-8.5,27
"Rhamondre Stevenson","RB","NE",5200,7.47,1.4,"70039-111540","@BUF",182,43.5,4.5,19.5
"Cedrick Wilson","WR","DAL",6000,7.42,1.2,"70039-69581","SF",-162,51,-3,27
"Cole Beasley","WR","BUF",5500,7.4,1.3,"70039-22288","NE",-219,43.5,-4.5,24
"Dawson Knox","TE","BUF",6000,7.14,1.2,"70039-64585","NE",-219,43.5,-4.5,24
"Rams","D","LAR",4700,7.1,1.5,"70039-12538","ARI",-193,49.5,-4,26.8
"Breshad Perriman","WR","TB",5200,6.97,1.3,"70039-34295","PHI",-385,45.5,-8.5,27
"Hunter Henry","TE","NE",5900,6.8,1.2,"70039-40845","@BUF",182,43.5,4.5,19.5
"Bills","D","BUF",4500,6.76,1.5,"70039-12526","NE",-219,43.5,-4.5,24
"Kendrick Bourne","WR","NE",5600,6.71,1.2,"70039-80289","@BUF",182,43.5,4.5,19.5
"Gabriel Davis","WR","BUF",5200,6.64,1.3,"70039-94534","NE",-219,43.5,-4.5,24
