"Player","Team","Opp","AB","XBH","HR","RBI","BB","K","AVG","OPS"
"Jacob Stallings","MIA","@LAA - Lorenzen ( R )",12,"1","1","2","0","1",".583",1.417
"Andrew Benintendi","KC","CLE - Civale ( R )",10,"2","1","2","0","2",".500",1.4
"Pete Alonso","NYM","@PHI - Suarez ( L )",12,"2","0","2","4","1",".500",1.278
"Nelson Cruz","WSH","@ATL - Ynoa ( R )",30,"7","4","8","1","9",".367",1.254
"C.J. Cron","COL","@TEX - Hearn ( L )",12,"3","1","7","0","2",".333",1.083
"Ryan McMahon","COL","@TEX - Hearn ( L )",16,"3","1","1","0","4",".375",1.063
"Xander Bogaerts","BOS","@DET - Manning ( R )",26,"2","0","2","2","5",".462",1.038
"Jeff McNeil","NYM","@PHI - Suarez ( L )",12,"1","0","1","2","1",".417",1
"Jesus Aguilar","MIA","@LAA - Lorenzen ( R )",11,"1","1","3","0","0",".364",1
"Christian Vazquez","BOS","@DET - Manning ( R )",18,"2","2","3","0","3",".333",1
"Charlie Blackmon","COL","@TEX - Hearn ( L )",20,"3","0","2","1","4",".350",0.967
"Kris Bryant","COL","@TEX - Hearn ( L )",13,"1","1","1","1","3",".308",0.896
"Jorge Soler","MIA","@LAA - Lorenzen ( R )",10,"1","1","1","1","4",".200",0.773
"Enrique Hernandez","BOS","@DET - Manning ( R )",10,"0","0","1","4","3",".200",0.6
"Manny Machado","SD","@SF - Wood ( L )",11,"1","1","1","1","1",".091",0.53
"Dee Strange-Gordon","WSH","@ATL - Ynoa ( R )",11,"0","0","0","1","2",".182",0.49
"Nicky Lopez","KC","CLE - Civale ( R )",11,"1","0","1","0","3",".182",0.455
"Alcides Escobar","WSH","@ATL - Ynoa ( R )",42,"1","0","4","0","6",".214",0.452
"Carlos Correa","MIN","SEA - Flexen ( R )",14,"0","0","0","3","4",".143",0.437
"Elias Diaz","COL","@TEX - Hearn ( L )",15,"1","0","1","1","5",".133",0.387
"Francisco Lindor","NYM","@PHI - Suarez ( L )",10,"0","0","2","0","1",".200",0.382
"Bobby Dalbec","BOS","@DET - Manning ( R )",10,"0","0","1","0","5",".200",0.382
"Alex Verdugo","BOS","@DET - Manning ( R )",17,"0","0","0","0","1",".176",0.353
"Whit Merrifield","KC","CLE - Civale ( R )",10,"0","0","0","2","1",".100",0.35
"Dominic Smith","NYM","@PHI - Suarez ( L )",16,"0","0","2","1","3",".125",0.301
"J.D. Martinez","BOS","@DET - Manning ( R )",18,"0","0","1","1","8",".056",0.156
"Carlos Santana","KC","CLE - Civale ( R )",10,"0","0","0","0","3",".000",0
