"Player","Pos","Team","Salary","Proj","Value","ID","OptPos","Pos2","Pos3","Pos1","Opp","OU"
"Zack Wheeler","P","PHI",10600,37.49,3.5,"101479-16960","P","","","P","@STL - Gray (R)",7.5
"Tyler Glasnow","P","LAD",10000,36.79,3.7,"101479-52183","P","","","P","@MIN - Varland (R)",8
"Nathan Eovaldi","P","TEX",9500,36.53,3.8,"101479-13233","P","","","P","OAK - Wood (L)",8.5
"Cole Ragans","P","KC",9900,32.74,3.3,"101479-79270","P","","","P","HOU - Javier (R)",8.5
"Aaron Civale","P","TB",9200,32.53,3.5,"101479-82557","P","","","P","@LAA - Sandoval (L)",8.5
"Merrill Kelly","P","ARI",10200,30.62,3,"101479-101881","P","","","P","@COL - Quantrill (R)",11
"Chris Bassitt","P","TOR",8000,30.18,3.8,"101479-53067","P","","","P","SEA - Kirby (R)",8
"George Kirby","P","SEA",9700,29.45,3,"101479-119414","P","","","P","@TOR - Bassitt (R)",8
"Reynaldo Lopez","P","ATL",7200,29.39,4.1,"101479-68491","P","","","P","NYM - Houser (R)",9.5
"Cristian Javier","P","HOU",9300,29.34,3.2,"101479-102335","P","","","P","@KC - Ragans (L)",8.5
"Joe Musgrove","P","SD",8300,28.96,3.5,"101479-68523","P","","","P","CHC - Brown (R)",8
"Kyle Harrison","P","SF",7900,28.95,3.7,"101479-146733","P","","","P","WSH - Adon (R)",8.5
"Carlos Rodon","P","NYY",7700,28.2,3.7,"101479-60633","P","","","P","MIA - Puk (L)",8
"Patrick Sandoval","P","LAA",6900,25.02,3.6,"101479-102498","P","","","P","TB - Civale (R)",8.5
"Sonny Gray","P","STL",8200,24.48,3,"101479-17064","P","","","P","PHI - Wheeler (R)",7.5
"Louie Varland","P","MIN",7000,23.59,3.4,"101479-179456","P","","","P","LAD - Glasnow (R)",8
"A.J. Puk","P","MIA",6000,23.29,3.9,"101479-79209","P","","","P","@NYY - Rodon (L)",8
"Adrian Houser","P","NYM",7100,19.71,2.8,"101479-66766","P","","","P","@ATL - Lopez (R)",9.5
"Ben Brown","P","CHC",5700,18.11,3.2,"101479-181837","P","","","P","@SD - Musgrove (R)",8
"Alex Wood","P","OAK",6300,17.82,2.8,"101479-38028","P","","","P","@TEX - Eovaldi (R)",8.5
"Cal Quantrill","P","COL",5800,16.8,2.9,"101479-79228","P","","","P","ARI - Kelly (R)",11
"Corbin Carroll","OF","ARI",4000,16.74,4.2,"101479-119297","OF","","","OF","@COL - Quantrill (R)",11
"Shohei Ohtani","OF","LAD",4200,15.83,3.8,"101479-82440","OF","","","OF","@MIN - Varland (R)",8
"Mookie Betts","2B/SS/OF","LAD",4500,14.97,3.3,"101479-39151","2B/SS/OF","SS","OF","2B","@MIN - Varland (R)",8
"Christian Walker","1B","ARI",4200,14.91,3.5,"101479-38218","1B","","","C1B","@COL - Quantrill (R)",11
"Adolis Garcia","OF","TEX",4100,14.42,3.5,"101479-85520","OF","","","OF","OAK - Wood (L)",8.5
"Ronald Acuna","OF","ATL",4400,13.72,3.1,"101479-79756","OF","","","OF","NYM - Houser (R)",9.5
"Juan Soto","OF","NYY",3900,13.53,3.5,"101479-79282","OF","","","OF","MIA - Puk (L)",8
"Ozzie Albies","2B","ATL",4000,13.51,3.4,"101479-68587","2B","","","2B","NYM - Houser (R)",9.5
"Joc Pederson","OF","ARI",3300,13.51,4.1,"101479-13864","OF","","","OF","@COL - Quantrill (R)",11
"Yordan Alvarez","OF","HOU",4100,13.42,3.3,"101479-82575","OF","","","OF","@KC - Ragans (L)",8.5
"Marcus Semien","2B","TEX",3700,13.42,3.6,"101479-21705","2B","","","2B","OAK - Wood (L)",8.5
"Aaron Judge","OF","NYY",4300,13.31,3.1,"101479-60643","OF","","","OF","MIA - Puk (L)",8
"Marcell Ozuna","OF","ATL",3700,13.28,3.6,"101479-17086","OF","","","OF","NYM - Houser (R)",9.5
"Matt Olson","1B","ATL",4300,13.2,3.1,"101479-52175","1B","","","C1B","NYM - Houser (R)",9.5
"Bobby Witt","SS","KC",3800,13.1,3.4,"101479-119349","SS","","","SS","HOU - Javier (R)",8.5
"Fernando Tatis Jr.","OF","SD",3900,12.93,3.3,"101479-79393","OF","","","OF","CHC - Brown (R)",8
"Michael Harris","OF","ATL",3300,12.76,3.9,"101479-136672","OF","","","OF","NYM - Houser (R)",9.5
"Freddie Freeman","1B","LAD",4000,12.71,3.2,"101479-11334","1B","","","C1B","@MIN - Varland (R)",8
"Mike Trout","OF","LAA",3700,12.66,3.4,"101479-12933","OF","","","OF","TB - Civale (R)",8.5
"Michael Conforto","OF","SF",3500,12.48,3.6,"101479-60642","OF","","","OF","WSH - Adon (R)",8.5
"Jose Altuve","2B","HOU",3800,12.45,3.3,"101479-14562","2B","","","2B","@KC - Ragans (L)",8.5
"CJ Abrams","SS","WAS",3600,12.32,3.4,"101479-119410","SS","","","SS","@SF - Harrison (L)",8.5
"Kyle Tucker","OF","HOU",3400,12.28,3.6,"101479-79125","OF","","","OF","@KC - Ragans (L)",8.5
"Eugenio Suarez","3B","ARI",3600,12.27,3.4,"101479-21633","3B","","","3B","@COL - Quantrill (R)",11
