"Player","Pos","Team","Salary","Proj","Value","ID","OptPos","Pos2","Pos1","Opp","OU","SPRD","IMP","Roster"
"Luka Doncic","PG","DAL",12800,67.12,5.2,"33276995","PG","","PG","@UTA",237.5,-8.5,123,14.71
"Nikola Jokic","C","DEN",11900,60.68,5.1,"33276998","C","","C","MEM",213,-15.5,114.25,11.47
"Dejounte Murray","PG","ATL",9800,48.96,5,"33277006","PG","","PG","BOS",225,10.5,107.25,9.33
"Jayson Tatum","SF/PF","BOS",10000,48.66,4.9,"33277002","SF/PF","PF","SF","@ATL",225,-10.5,117.75,19.06
"Jalen Brunson","PG","NY",9200,47.91,5.2,"33277016","PG","","PG","DET",210.5,-17,113.75,9.38
"Jalen Green","PG/SG","HOU",8800,44.6,5.1,"33277030","PG/SG","SG","PG","POR",225,-12.5,118.75,11.74
"Devin Booker","PG/SG","PHX",8900,44.26,5,"33277026","PG/SG","SG","PG","@SAS",234,-13,123.5,15.52
"Kyrie Irving","PG/SG","DAL",9400,43.82,4.7,"33277009","PG/SG","SG","PG","@UTA",237.5,-8.5,123,14.92
"Nikola Vucevic","C","CHI",8500,43.56,5.1,"33277042","C","","C","WAS",226.5,-12.5,119.5,5.96
"Kevin Durant","PF","PHX",9300,42.89,4.6,"33277013","PF","","PF","@SAS",234,-13,123.5,11.65
"DeMar DeRozan","SF/PF","CHI",8200,42.65,5.2,"33277062","SF/PF","PF","SF","WAS",226.5,-12.5,119.5,14.32
"Fred VanVleet","PG","HOU",8300,42.23,5.1,"33277051","PG","","PG","POR",225,-12.5,118.75,8.75
"Jarrett Allen","C","CLE",8200,40.84,5,"33277060","C","","C","CHA",206.5,-11.5,109,4.56
"Josh Hart","SF/PF","NY",7400,40.72,5.5,"33277111","SF/PF","PF","SF","DET",210.5,-17,113.75,9.08
"Jamal Murray","PG","DEN",8400,40.4,4.8,"33277048","PG","","PG","MEM",213,-15.5,114.25,8.53
"Jaylen Brown","SG/SF","BOS",8700,38.86,4.5,"33277034","SG/SF","SF","SG","@ATL",225,-10.5,117.75,15.53
"Cameron Thomas","SG","BKN",7300,37.71,5.2,"33277122","SG","","SG","@TOR",219.5,-6.5,113,4.49
"Donte DiVincenzo","SG/SF","NY",6600,37.62,5.7,"33277190","SG/SF","SF","SG","DET",210.5,-17,113.75,8.3
"Amen Thompson","PG/SF","HOU",6800,37.5,5.5,"33277167","PG/SF","SF","PG","POR",225,-12.5,118.75,2.41
"Lauri Markkanen","SF/PF","UTA",8000,37.39,4.7,"33277079","SF/PF","PF","SF","DAL",237.5,8.5,114.5,15.46
"Devin Vassell","PG/SG","SA",7300,37.26,5.1,"33277129","PG/SG","SG","PG","PHX",234,13,110.5,10.38
"Deni Avdija","SF","WAS",7200,37.16,5.2,"33277133","SF","","SF","@CHI",226.5,12.5,107,6.87
"Caris LeVert","PG/SG","CLE",7400,36.91,5,"33277104","PG/SG","SG","PG","CHA",206.5,-11.5,109,8.39
"Miles Bridges","SF/PF","CHA",8100,36.84,4.5,"33277072","SF/PF","PF","SF","@CLE",206.5,11.5,97.5,3.25
"Kristaps Porzingis","PF/C","BOS",7900,36.64,4.6,"33277083","PF/C","C","PF","@ATL",225,-10.5,117.75,13.06
"Darius Garland","PG","CLE",7700,36.56,4.7,"33277091","PG","","PG","CHA",206.5,-11.5,109,7.45
"Collin Sexton","SG","UTA",7500,36.5,4.9,"33277115","SG","","SG","DAL",237.5,8.5,114.5,5.41
"Jordan Poole","PG/SG","WAS",6700,36.5,5.4,"33277172","PG/SG","SG","PG","@CHI",226.5,12.5,107,8
"Bradley Beal","PG/SG","PHX",7200,36.43,5.1,"33277118","PG/SG","SG","PG","@SAS",234,-13,123.5,11.48
"Jaren Jackson","PF/C","MEM",8300,36.26,4.4,"33277056","PF/C","C","PF","@DEN",213,15.5,98.75,11.24
