"Pos","Player","Team","Opp","Salary","Proj","Value","OU","SPRD","IMP","Roster"
"QB","Josh Allen","BUF","ARI",8000,24.64,3.1,48,-6,27,4.07
"WR","Tyreek Hill","MIA","JAX",8700,21.6,2.5,49.5,-3,26.25,12.11
"QB","C.J. Stroud","HOU","@IND",7500,20.82,2.8,49,-2.5,25.75,0.13
"QB","Anthony Richardson","IND","HOU",6300,20.21,3.2,49,2.5,23.25,4.73
"WR","CeeDee Lamb","DAL","@CLE",8900,19.76,2.2,42,2.5,19.75,6.52
"QB","Joe Burrow","CIN","NE",6500,19.43,3,40.5,-9,24.75,11.71
"QB","Caleb Williams","CHI","TEN",5900,19.13,3.2,45.5,-4.5,25,0
"QB","Tua Tagovailoa","MIA","JAX",7000,18.54,2.6,49.5,-3,26.25,2.52
"QB","Kyler Murray","ARI","@BUF",6400,18.47,2.9,48,6,21,0
"QB","Trevor Lawrence","JAX","@MIA",6200,18.47,3,49.5,3,23.25,8.22
"WR","Justin Jefferson","MIN","@NYG",8400,18.26,2.2,41.5,-1,21.25,20.06
"QB","Justin Herbert","LAC","LV",5800,18.26,3.1,41,-3.5,22.25,15.37
"QB","Dak Prescott","DAL","@CLE",7100,18.23,2.6,42,2.5,19.75,1.95
"QB","Jayden Daniels","WAS","@TB",5700,18.03,3.2,43.5,3.5,20,0
"QB","Baker Mayfield","TB","WAS",5600,17.94,3.2,43.5,-3.5,23.5,6.13
"QB","Geno Smith","SEA","DEN",5500,17.84,3.2,42,-5.5,23.75,6.72
"RB","Bijan Robinson","ATL","PIT",7700,17.82,2.3,41,-3,22,7.05
"WR","Ja'Marr Chase","CIN","NE",7800,17.67,2.3,40.5,-9,24.75,18.88
"QB","Deshaun Watson","CLE","DAL",6000,17.47,2.9,42,-2.5,22.25,5.26
"QB","Kirk Cousins","ATL","PIT",6100,16.98,2.8,41,-3,22,0.69
"QB","Daniel Jones","NYG","MIN",5400,16.57,3.1,41.5,1,20.25,9.77
"RB","Rachaad White","TB","WAS",6300,16.33,2.6,43.5,-3.5,23.5,3.98
