"Pos","Player","Team","Opp","Salary","Proj","Value","OU","SPRD","IMP","Roster"
"QB","Josh Allen","BUF","ARI",9200,24.12,2.6,48,-6,27,5.11
"QB","C.J. Stroud","HOU","@IND",8500,20.29,2.4,49,-2.5,25.75,0.14
"QB","Anthony Richardson","IND","HOU",8300,19.82,2.4,49,2.5,23.25,2.65
"QB","Joe Burrow","CIN","NE",8400,19.14,2.3,40.5,-9,24.75,8.34
"QB","Caleb Williams","CHI","TEN",7100,18.7,2.6,45.5,-4.5,25,0
"QB","Kyler Murray","ARI","@BUF",7900,18.05,2.3,48,6,21,0
"QB","Tua Tagovailoa","MIA","JAX",7700,18.03,2.3,49.5,-3,26.25,4.05
"QB","Trevor Lawrence","JAX","@MIA",7400,17.95,2.4,49.5,3,23.25,10.01
"QB","Jared Goff","DET",NA,7500,17.87,2.4,NA,NA,NA,6.55
"QB","Justin Herbert","LAC","LV",7600,17.84,2.3,41,-3.5,22.25,11.26
"QB","Dak Prescott","DAL","@CLE",7800,17.76,2.3,42,2.5,19.75,3.51
"WR","Tyreek Hill","MIA","JAX",9600,17.69,1.8,49.5,-3,26.25,11.07
"QB","Jayden Daniels","WAS","@TB",7000,17.57,2.5,43.5,3.5,20,0
"QB","Baker Mayfield","TB","WAS",7200,17.51,2.4,43.5,-3.5,23.5,3.18
"QB","Matthew Stafford","LAR",NA,7300,17.46,2.4,NA,NA,NA,2.31
"QB","Geno Smith","SEA","DEN",7000,17.41,2.5,42,-5.5,23.75,5.52
"QB","Kirk Cousins","ATL","PIT",7500,16.55,2.2,41,-3,22,0.85
"QB","Daniel Jones","NYG","MIN",6800,16.2,2.4,41.5,1,20.25,8.84
"WR","Amon-Ra St. Brown","DET",NA,8900,16.06,1.8,NA,NA,NA,11.08
"QB","Deshaun Watson","CLE","DAL",7100,16.06,2.3,42,-2.5,22.25,6.92
"WR","CeeDee Lamb","DAL","@CLE",9300,15.77,1.7,42,2.5,19.75,7.14
"RB","Bijan Robinson","ATL","PIT",8800,15.47,1.8,41,-3,22,6.1
"QB","Sam Darnold","MIN","@NYG",6700,15.47,2.3,41.5,-1,21.25,0
"WR","Justin Jefferson","MIN","@NYG",9000,14.72,1.6,41.5,-1,21.25,20.06
"QB","Derek Carr","NO","CAR",7000,14.6,2.1,40,-4.5,22.25,2.19
"QB","Russell Wilson","PIT","@ATL",6900,14.46,2.1,41,3,19,3.74
"QB","Will Levis","TEN","@CHI",6900,14.45,2.1,45.5,4.5,20.5,0
"WR","Ja'Marr Chase","CIN","NE",9100,14.38,1.6,40.5,-9,24.75,16.41
"RB","Rachaad White","TB","WAS",7700,14.36,1.9,43.5,-3.5,23.5,2.61
"QB","Jacoby Brissett","NE","@CIN",6500,14.26,2.2,40.5,9,15.75,0
"QB","Bo Nix","DEN","@SEA",6600,14.23,2.2,42,5.5,18.25,0
"QB","Gardner Minshew","LV","@LAC",6800,14.14,2.1,41,3.5,18.75,0
"RB","Jonathan Taylor","IND","HOU",8600,14.07,1.6,49,2.5,23.25,0
"RB","Kyren Williams","LAR",NA,7800,13.96,1.8,NA,NA,NA,0.35
"RB","Jahmyr Gibbs","DET",NA,8000,13.72,1.7,NA,NA,NA,4.01
"QB","Bryce Young","CAR","@NO",6700,13.7,2,40,4.5,17.75,0.58
"WR","Puka Nacua","LAR",NA,8400,13.43,1.6,NA,NA,NA,0.3
"RB","Alvin Kamara","NO","CAR",7100,13.26,1.9,40,-4.5,22.25,0
"RB","Travis Etienne","JAX","@MIA",7500,13.14,1.8,49.5,3,23.25,4.31
"RB","Kenneth Walker","SEA","DEN",7400,13.09,1.8,42,-5.5,23.75,5.44
