"Player","Pos","Team","Salary","Proj","Value","ID","Opp","OU","SPRD","IMP","Roster"
"Josh Allen","QB","BUF",9200,24.12,2.6,"105738-62239","ARI",48,-6,27,5.11
"C.J. Stroud","QB","HOU",8500,20.29,2.4,"105738-129471","@IND",49,-2.5,25.75,0.14
"Anthony Richardson","QB","IND",8300,19.82,2.4,"105738-129315","HOU",49,2.5,23.25,2.65
"Joe Burrow","QB","CIN",8400,19.14,2.3,"105738-63336","NE",40.5,-9,24.75,8.34
"Caleb Williams","QB","CHI",7100,18.7,2.6,"105738-152113","TEN",45.5,-4.5,25,0
"Kyler Murray","QB","ARI",7900,18.05,2.3,"105738-63484","@BUF",48,6,21,0
"Tua Tagovailoa","QB","MIA",7700,18.03,2.3,"105738-90572","JAX",49.5,-3,26.25,4.05
"Trevor Lawrence","QB","JAX",7400,17.95,2.4,"105738-89951","@MIA",49.5,3,23.25,10.01
"Jared Goff","QB","DET",7500,17.87,2.4,"105738-38435",NA,NA,NA,NA,6.55
"Justin Herbert","QB","LAC",7600,17.84,2.3,"105738-69189","LV",41,-3.5,22.25,11.26
"Dak Prescott","QB","DAL",7800,17.76,2.3,"105738-31716","@CLE",42,2.5,19.75,3.51
"Tyreek Hill","WR","MIA",9600,17.69,1.8,"105738-53681","JAX",49.5,-3,26.25,11.07
"Jayden Daniels","QB","WAS",7000,17.57,2.5,"105738-102785","@TB",43.5,3.5,20,0
"Baker Mayfield","QB","TB",7200,17.51,2.4,"105738-41535","WAS",43.5,-3.5,23.5,3.18
"Matthew Stafford","QB","LAR",7300,17.46,2.4,"105738-6654",NA,NA,NA,NA,2.31
"Geno Smith","QB","SEA",7000,17.41,2.5,"105738-26483","DEN",42,-5.5,23.75,5.52
"Kirk Cousins","QB","ATL",7500,16.55,2.2,"105738-22038","PIT",41,-3,22,0.85
"Daniel Jones","QB","NYG",6800,16.2,2.4,"105738-63519","MIN",41.5,1,20.25,8.84
"Amon-Ra St. Brown","WR","DET",8900,16.06,1.8,"105738-86997",NA,NA,NA,NA,11.08
"Deshaun Watson","QB","CLE",7100,16.06,2.3,"105738-54879","DAL",42,-2.5,22.25,6.92
"CeeDee Lamb","WR","DAL",9300,15.77,1.7,"105738-86631","@CLE",42,2.5,19.75,7.14
"Bijan Robinson","RB","ATL",8800,15.47,1.8,"105738-136855","PIT",41,-3,22,6.1
"Sam Darnold","QB","MIN",6700,15.47,2.3,"105738-63589","@NYG",41.5,-1,21.25,0
"Justin Jefferson","WR","MIN",9000,14.72,1.6,"105738-85671","@NYG",41.5,-1,21.25,20.06
"Derek Carr","QB","NO",7000,14.6,2.1,"105738-45859","CAR",40,-4.5,22.25,2.19
"Russell Wilson","QB","PIT",6900,14.46,2.1,"105738-22015","@ATL",41,3,19,3.74
"Will Levis","QB","TEN",6900,14.45,2.1,"105738-86243","@CHI",45.5,4.5,20.5,0
"Ja'Marr Chase","WR","CIN",9100,14.38,1.6,"105738-85701","NE",40.5,-9,24.75,16.41
"Rachaad White","RB","TB",7700,14.36,1.9,"105738-137902","WAS",43.5,-3.5,23.5,2.61
"Jacoby Brissett","QB","NE",6500,14.26,2.2,"105738-30231","@CIN",40.5,9,15.75,0
"Bo Nix","QB","DEN",6600,14.23,2.2,"105738-102965","@SEA",42,5.5,18.25,0
