Team,Player1,Player2
BKN,James Harden,Kevin Durant
MIL,Bobby Portis,Giannis Antetokounmpo
MIL,Giannis Antetokounmpo,Khris Middleton
MIL,Giannis Antetokounmpo,Jrue Holiday
MIN,Anthony Edwards,Karl-Anthony Towns
CHI,DeMar DeRozan,Zach LaVine
MIN,D'Angelo Russell,Karl-Anthony Towns
CHA,LaMelo Ball,Miles Bridges
NO,Brandon Ingram,Jonas Valanciunas
BOS,Al Horford,Jayson Tatum
ATL,Clint Capela,Trae Young
UTA,Donovan Mitchell,Rudy Gobert
ATL,John Collins,Trae Young
PHX,Chris Paul,Devin Booker
BOS,Jaylen Brown,Jayson Tatum
IND,Domantas Sabonis,Malcolm Brogdon
MIL,Giannis Antetokounmpo,Grayson Allen
PHI,Andre Drummond,Tobias Harris
PHX,Chris Paul,Deandre Ayton
PHX,Deandre Ayton,Devin Booker
PHI,Tobias Harris,Tyrese Maxey
MIN,Anthony Edwards,D'Angelo Russell
BOS,Jayson Tatum,Robert Williams
BKN,James Harden,LaMarcus Aldridge
MIL,Giannis Antetokounmpo,Pat Connaughton
CHA,Gordon Hayward,LaMelo Ball
CHI,DeMar DeRozan,Lonzo Ball
CHI,Lonzo Ball,Zach LaVine
WAS,Bradley Beal,Spencer Dinwiddie
BKN,James Harden,Patrick Mills
BOS,Dennis Schroder,Jayson Tatum
BOS,Jayson Tatum,Marcus Smart
WAS,Bradley Beal,Kyle Kuzma
BKN,Kevin Durant,LaMarcus Aldridge
WAS,Bradley Beal,Montrezl Harrell
NO,Jonas Valanciunas,Josh Hart
MEM,Ja Morant,Jaren Jackson
CHA,LaMelo Ball,Terry Rozier
IND,Domantas Sabonis,Myles Turner
BKN,Kevin Durant,Patrick Mills
MIN,Karl-Anthony Towns,Patrick Beverley
ATL,Clint Capela,John Collins
SA,Dejounte Murray,Keldon Johnson
CLE,Darius Garland,Ricky Rubio
BKN,DeAndre Bembry,James Harden
MIL,George Hill,Giannis Antetokounmpo
IND,Caris LeVert,Domantas Sabonis
BKN,Blake Griffin,James Harden
CLE,Darius Garland,Jarrett Allen
NO,Jonas Valanciunas,Nickeil Alexander-Walker
