Team,Player1,Salary1,Proj1,Player2,Salary2,Proj2,Player3,Salary3,Proj3
MIL,Bobby Portis,7000,33.15,George Hill,3300,14.8,Giannis Antetokounmpo,12200,52.13
MIL,Bobby Portis,7000,33.15,George Hill,3300,14.8,Grayson Allen,4900,22.54
MIL,Bobby Portis,7000,33.15,George Hill,3300,14.8,Jrue Holiday,6900,31.16
MIL,Bobby Portis,7000,33.15,George Hill,3300,14.8,Khris Middleton,7500,32.09
MIL,Bobby Portis,7000,33.15,George Hill,3300,14.8,Pat Connaughton,4800,19.48
MIL,Bobby Portis,7000,33.15,Giannis Antetokounmpo,12200,52.13,Grayson Allen,4900,22.54
MIL,Bobby Portis,7000,33.15,Giannis Antetokounmpo,12200,52.13,Jrue Holiday,6900,31.16
MIL,Bobby Portis,7000,33.15,Giannis Antetokounmpo,12200,52.13,Khris Middleton,7500,32.09
MIL,Bobby Portis,7000,33.15,Giannis Antetokounmpo,12200,52.13,Pat Connaughton,4800,19.48
MIL,Bobby Portis,7000,33.15,Grayson Allen,4900,22.54,Jrue Holiday,6900,31.16
MIL,Bobby Portis,7000,33.15,Grayson Allen,4900,22.54,Khris Middleton,7500,32.09
MIL,Bobby Portis,7000,33.15,Grayson Allen,4900,22.54,Pat Connaughton,4800,19.48
MIL,Bobby Portis,7000,33.15,Jrue Holiday,6900,31.16,Khris Middleton,7500,32.09
MIL,Bobby Portis,7000,33.15,Jrue Holiday,6900,31.16,Pat Connaughton,4800,19.48
MIL,Bobby Portis,7000,33.15,Khris Middleton,7500,32.09,Pat Connaughton,4800,19.48
MIL,George Hill,3300,14.8,Giannis Antetokounmpo,12200,52.13,Grayson Allen,4900,22.54
MIL,George Hill,3300,14.8,Giannis Antetokounmpo,12200,52.13,Jrue Holiday,6900,31.16
MIL,George Hill,3300,14.8,Giannis Antetokounmpo,12200,52.13,Khris Middleton,7500,32.09
MIL,George Hill,3300,14.8,Giannis Antetokounmpo,12200,52.13,Pat Connaughton,4800,19.48
MIL,George Hill,3300,14.8,Grayson Allen,4900,22.54,Jrue Holiday,6900,31.16
MIL,George Hill,3300,14.8,Grayson Allen,4900,22.54,Khris Middleton,7500,32.09
MIL,George Hill,3300,14.8,Grayson Allen,4900,22.54,Pat Connaughton,4800,19.48
MIL,George Hill,3300,14.8,Jrue Holiday,6900,31.16,Khris Middleton,7500,32.09
MIL,George Hill,3300,14.8,Jrue Holiday,6900,31.16,Pat Connaughton,4800,19.48
MIL,George Hill,3300,14.8,Khris Middleton,7500,32.09,Pat Connaughton,4800,19.48
MIL,Giannis Antetokounmpo,12200,52.13,Grayson Allen,4900,22.54,Jrue Holiday,6900,31.16
MIL,Giannis Antetokounmpo,12200,52.13,Grayson Allen,4900,22.54,Khris Middleton,7500,32.09
MIL,Giannis Antetokounmpo,12200,52.13,Grayson Allen,4900,22.54,Pat Connaughton,4800,19.48
MIL,Giannis Antetokounmpo,12200,52.13,Jrue Holiday,6900,31.16,Khris Middleton,7500,32.09
MIL,Giannis Antetokounmpo,12200,52.13,Jrue Holiday,6900,31.16,Pat Connaughton,4800,19.48
MIL,Giannis Antetokounmpo,12200,52.13,Khris Middleton,7500,32.09,Pat Connaughton,4800,19.48
MIL,Grayson Allen,4900,22.54,Jrue Holiday,6900,31.16,Khris Middleton,7500,32.09
MIL,Grayson Allen,4900,22.54,Jrue Holiday,6900,31.16,Pat Connaughton,4800,19.48
MIL,Grayson Allen,4900,22.54,Khris Middleton,7500,32.09,Pat Connaughton,4800,19.48
MIL,Jrue Holiday,6900,31.16,Khris Middleton,7500,32.09,Pat Connaughton,4800,19.48
GS,Andrew Wiggins,7400,29.51,Damion Lee,3000,13.16,Draymond Green,6700,31.97
GS,Andrew Wiggins,7400,29.51,Damion Lee,3000,13.16,Gary Payton,4000,10.29
GS,Andrew Wiggins,7400,29.51,Damion Lee,3000,13.16,Jonathan Kuminga,3000,8.08
GS,Andrew Wiggins,7400,29.51,Damion Lee,3000,13.16,Jordan Poole,7100,29.26
GS,Andrew Wiggins,7400,29.51,Damion Lee,3000,13.16,Juan Toscano-Anderson,3300,12.86
GS,Andrew Wiggins,7400,29.51,Damion Lee,3000,13.16,Kevon Looney,4100,19.43
GS,Andrew Wiggins,7400,29.51,Damion Lee,3000,13.16,Nemanja Bjelica,3500,14.02
GS,Andrew Wiggins,7400,29.51,Damion Lee,3000,13.16,Otto Porter,3400,16.06
GS,Andrew Wiggins,7400,29.51,Damion Lee,3000,13.16,Steph Curry,11400,48.69
GS,Andrew Wiggins,7400,29.51,Draymond Green,6700,31.97,Gary Payton,4000,10.29
GS,Andrew Wiggins,7400,29.51,Draymond Green,6700,31.97,Jonathan Kuminga,3000,8.08
GS,Andrew Wiggins,7400,29.51,Draymond Green,6700,31.97,Jordan Poole,7100,29.26
GS,Andrew Wiggins,7400,29.51,Draymond Green,6700,31.97,Juan Toscano-Anderson,3300,12.86
GS,Andrew Wiggins,7400,29.51,Draymond Green,6700,31.97,Kevon Looney,4100,19.43
GS,Andrew Wiggins,7400,29.51,Draymond Green,6700,31.97,Nemanja Bjelica,3500,14.02
GS,Andrew Wiggins,7400,29.51,Draymond Green,6700,31.97,Otto Porter,3400,16.06
GS,Andrew Wiggins,7400,29.51,Draymond Green,6700,31.97,Steph Curry,11400,48.69
GS,Andrew Wiggins,7400,29.51,Gary Payton,4000,10.29,Jonathan Kuminga,3000,8.08
GS,Andrew Wiggins,7400,29.51,Gary Payton,4000,10.29,Jordan Poole,7100,29.26
GS,Andrew Wiggins,7400,29.51,Gary Payton,4000,10.29,Juan Toscano-Anderson,3300,12.86
GS,Andrew Wiggins,7400,29.51,Gary Payton,4000,10.29,Kevon Looney,4100,19.43
GS,Andrew Wiggins,7400,29.51,Gary Payton,4000,10.29,Nemanja Bjelica,3500,14.02
GS,Andrew Wiggins,7400,29.51,Gary Payton,4000,10.29,Otto Porter,3400,16.06
GS,Andrew Wiggins,7400,29.51,Gary Payton,4000,10.29,Steph Curry,11400,48.69
GS,Andrew Wiggins,7400,29.51,Jonathan Kuminga,3000,8.08,Jordan Poole,7100,29.26
GS,Andrew Wiggins,7400,29.51,Jonathan Kuminga,3000,8.08,Juan Toscano-Anderson,3300,12.86
GS,Andrew Wiggins,7400,29.51,Jonathan Kuminga,3000,8.08,Kevon Looney,4100,19.43
GS,Andrew Wiggins,7400,29.51,Jonathan Kuminga,3000,8.08,Nemanja Bjelica,3500,14.02
GS,Andrew Wiggins,7400,29.51,Jonathan Kuminga,3000,8.08,Otto Porter,3400,16.06
GS,Andrew Wiggins,7400,29.51,Jonathan Kuminga,3000,8.08,Steph Curry,11400,48.69
GS,Andrew Wiggins,7400,29.51,Jordan Poole,7100,29.26,Juan Toscano-Anderson,3300,12.86
GS,Andrew Wiggins,7400,29.51,Jordan Poole,7100,29.26,Kevon Looney,4100,19.43
GS,Andrew Wiggins,7400,29.51,Jordan Poole,7100,29.26,Nemanja Bjelica,3500,14.02
GS,Andrew Wiggins,7400,29.51,Jordan Poole,7100,29.26,Otto Porter,3400,16.06
GS,Andrew Wiggins,7400,29.51,Jordan Poole,7100,29.26,Steph Curry,11400,48.69
GS,Andrew Wiggins,7400,29.51,Juan Toscano-Anderson,3300,12.86,Kevon Looney,4100,19.43
GS,Andrew Wiggins,7400,29.51,Juan Toscano-Anderson,3300,12.86,Nemanja Bjelica,3500,14.02
GS,Andrew Wiggins,7400,29.51,Juan Toscano-Anderson,3300,12.86,Otto Porter,3400,16.06
GS,Andrew Wiggins,7400,29.51,Juan Toscano-Anderson,3300,12.86,Steph Curry,11400,48.69
GS,Andrew Wiggins,7400,29.51,Kevon Looney,4100,19.43,Nemanja Bjelica,3500,14.02
GS,Andrew Wiggins,7400,29.51,Kevon Looney,4100,19.43,Otto Porter,3400,16.06
GS,Andrew Wiggins,7400,29.51,Kevon Looney,4100,19.43,Steph Curry,11400,48.69
GS,Andrew Wiggins,7400,29.51,Nemanja Bjelica,3500,14.02,Otto Porter,3400,16.06
GS,Andrew Wiggins,7400,29.51,Nemanja Bjelica,3500,14.02,Steph Curry,11400,48.69
GS,Andrew Wiggins,7400,29.51,Otto Porter,3400,16.06,Steph Curry,11400,48.69
GS,Damion Lee,3000,13.16,Draymond Green,6700,31.97,Gary Payton,4000,10.29
GS,Damion Lee,3000,13.16,Draymond Green,6700,31.97,Jonathan Kuminga,3000,8.08
GS,Damion Lee,3000,13.16,Draymond Green,6700,31.97,Jordan Poole,7100,29.26
GS,Damion Lee,3000,13.16,Draymond Green,6700,31.97,Juan Toscano-Anderson,3300,12.86
GS,Damion Lee,3000,13.16,Draymond Green,6700,31.97,Kevon Looney,4100,19.43
GS,Damion Lee,3000,13.16,Draymond Green,6700,31.97,Nemanja Bjelica,3500,14.02
GS,Damion Lee,3000,13.16,Draymond Green,6700,31.97,Otto Porter,3400,16.06
GS,Damion Lee,3000,13.16,Draymond Green,6700,31.97,Steph Curry,11400,48.69
