"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Corbin Burnes","P","MIL",10500,24.8,2.4,"P","","P","CHC - Steele ( L )"
"Lance McCullers","P","HOU",9500,19.72,2.1,"P","","P","ARI - Castellanos ( R )"
"Lance Lynn","P","CWS",8700,19.15,2.2,"P","","P","@TEX - Howard ( R )"
"Aaron Nola","P","PHI",9800,19.13,2,"P","","P","@NYM - Carrasco ( R )"
"Yu Darvish","P","SD",9100,17.67,1.9,"P","","P","@STL - Wainwright ( R )"
"Charlie Morton","P","ATL",9700,17.2,1.8,"P","","P","@SF - Wood ( L )"
"Adam Wainwright","P","STL",8400,16.2,1.9,"P","","P","SD - Darvish ( R )"
"Carlos Carrasco","P","NYM",7900,14.03,1.8,"P","","P","PHI - Nola ( R )"
"Alex Wood","P","SF",8200,13.95,1.7,"P","","P","ATL - Morton ( R )"
"Yusei Kikuchi","P","SEA",7000,13.92,2,"P","","P","@KC - Bubic ( L )"
"Jose Suarez","P","LAA",6700,13.65,2,"P","","P","OAK - Jefferies ( R )"
"Kris Bubic","P","KC",5400,12.03,2.2,"P","","P","SEA - Kikuchi ( L )"
"Fernando Tatis Jr.","OF/SS","SD",6100,11.01,1.8,"OF/SS","SS","OF","@STL - Wainwright ( R )"
"Shohei Ohtani","1B/OF","LAA",4600,10.56,2.3,"1B/OF","OF","1B","OAK - Jefferies ( R )"
"Luis Robert","OF","CWS",4800,10.44,2.2,"OF","","OF","@TEX - Howard ( R )"
"Bryce Harper","OF","PHI",6000,10.28,1.7,"OF","","OF","@NYM - Carrasco ( R )"
"Justin Steele","P","CHC",6200,9.85,1.6,"P","","P","@MIL - Burnes ( R )"
"Kyle Tucker","OF","HOU",4400,9.63,2.2,"OF","","OF","ARI - Castellanos ( R )"
"Yordan Alvarez","OF","HOU",5000,9.62,1.9,"OF","","OF","ARI - Castellanos ( R )"
"Matt Olson","1B","OAK",5700,9.52,1.7,"1B","","1B","@LAA - Suarez ( L )"
"Daulton Jefferies","P","OAK",5500,9.38,1.7,"P","","P","@LAA - Suarez ( L )"
"Jose Abreu","1B","CWS",4700,9.25,2,"1B","","1B","@TEX - Howard ( R )"
"Salvador Perez","C","KC",5300,9.22,1.7,"C","","C","SEA - Kikuchi ( L )"
"Starling Marte","OF","OAK",6600,9.2,1.4,"OF","","OF","@LAA - Suarez ( L )"
"Jose Altuve","2B","HOU",5100,9.2,1.8,"2B","","2B","ARI - Castellanos ( R )"
"Yoan Moncada","3B","CWS",4100,9.09,2.2,"3B","","3B","@TEX - Howard ( R )"
"Ozzie Albies","2B","ATL",5000,8.85,1.8,"2B","","2B","@SF - Wood ( L )"
"Adalberto Mondesi","3B/SS","KC",4900,8.8,1.8,"3B/SS","SS","3B","SEA - Kikuchi ( L )"
"Manny Machado","3B","SD",5100,8.79,1.7,"3B","","3B","@STL - Wainwright ( R )"
"Yasmani Grandal","C","CWS",5200,8.77,1.7,"C","","C","@TEX - Howard ( R )"
"Jared Walsh","1B","LAA",4200,8.7,2.1,"1B","","1B","OAK - Jefferies ( R )"
"Mitch Haniger","OF","SEA",5900,8.64,1.5,"OF","","OF","@KC - Bubic ( L )"
"Alex Bregman","3B","HOU",4400,8.61,2,"3B","","3B","ARI - Castellanos ( R )"
"Paul Goldschmidt","1B","STL",4300,8.59,2,"1B","","1B","SD - Darvish ( R )"
"Freddie Freeman","1B","ATL",5500,8.55,1.6,"1B","","1B","@SF - Wood ( L )"
