"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Corbin Burnes","P","MIL",10400,38.82,3.7,"P","","P","ATL - Morton ( R )"
"Walker Buehler","P","LAD",9900,34.37,3.5,"P","","P","@SF - Webb ( R )"
"Charlie Morton","P","ATL",9000,33.64,3.7,"P","","P","@MIL - Burnes ( R )"
"Lucas Giolito","P","CWS",8400,32.88,3.9,"P","","P","@HOU - Valdez ( L )"
"Shane Baz","P","TB",7800,32.32,4.1,"P","","P","BOS - Sale ( L )"
"Framber Valdez","P","HOU",9300,32.13,3.5,"P","","P","CWS - Giolito ( R )"
"Logan Webb","P","SF",8800,32.11,3.6,"P","","P","LAD - Buehler ( R )"
"Chris Sale","P","BOS",8100,31.23,3.9,"P","","P","@TB - Baz ( R )"
"Mookie Betts","OF","LAD",3600,13.17,3.7,"OF","","OF","@SF - Webb ( R )"
"Kyle Schwarber","OF","BOS",3300,12.32,3.7,"OF","","OF","@TB - Baz ( R )"
"Luis Robert","OF","CWS",3400,12.21,3.6,"OF","","OF","@HOU - Valdez ( L )"
"Randy Arozarena","OF","TB",3700,12.07,3.3,"OF","","OF","BOS - Sale ( L )"
"Tim Anderson","SS","CWS",3600,11.9,3.3,"SS","","SS","@HOU - Valdez ( L )"
"Trea Turner","SS/2B","LAD",4200,11.65,2.8,"SS/2B","2B","SS","@SF - Webb ( R )"
"Nelson Cruz","OF","TB",3300,11.53,3.5,"OF","","OF","BOS - Sale ( L )"
"Xander Bogaerts","SS","BOS",4000,11.51,2.9,"SS","","SS","@TB - Baz ( R )"
"Kyle Tucker","OF","HOU",3700,11.4,3.1,"OF","","OF","CWS - Giolito ( R )"
"Rafael Devers","3B","BOS",4100,11.37,2.8,"3B","","3B","@TB - Baz ( R )"
"Corey Seager","SS","LAD",3900,11.34,2.9,"SS","","SS","@SF - Webb ( R )"
"Brandon Lowe","2B/OF","TB",3600,11.24,3.1,"2B/OF","OF","2B","BOS - Sale ( L )"
"Wander Franco","SS","TB",3400,11.09,3.3,"SS","","SS","BOS - Sale ( L )"
"Yordan Alvarez","OF","HOU",3400,11.09,3.3,"OF","","OF","CWS - Giolito ( R )"
"Freddie Freeman","1B","ATL",3900,10.99,2.8,"1B","","C1B","@MIL - Burnes ( R )"
"Yasmani Grandal","C","CWS",2800,10.97,3.9,"C","","C1B","@HOU - Valdez ( L )"
"Jose Abreu","1B","CWS",3800,10.93,2.9,"1B","","C1B","@HOU - Valdez ( L )"
"Jose Altuve","2B","HOU",4000,10.92,2.7,"2B","","2B","CWS - Giolito ( R )"
"Willy Adames","SS","MIL",3400,10.92,3.2,"SS","","SS","ATL - Morton ( R )"
"J.D. Martinez","OF","BOS",3200,10.88,3.4,"OF","","OF","@TB - Baz ( R )"
"Ozzie Albies","2B","ATL",4100,10.62,2.6,"2B","","2B","@MIL - Burnes ( R )"
"Justin Turner","3B","LAD",3100,10.46,3.4,"3B","","3B","@SF - Webb ( R )"
"Enrique Hernandez","2B","BOS",2900,10.38,3.6,"2B","","2B","@TB - Baz ( R )"
"Will Smith","C","LAD",2900,10.38,3.6,"C","","C1B","@SF - Webb ( R )"
"Hunter Renfroe","OF","BOS",2800,10.32,3.7,"OF","","OF","@TB - Baz ( R )"
"A.J. Pollock","OF","LAD",2800,10.11,3.6,"OF","","OF","@SF - Webb ( R )"
"Mike Zunino","C","TB",3000,9.92,3.3,"C","","C1B","BOS - Sale ( L )"
"Christian Yelich","OF","MIL",3200,9.87,3.1,"OF","","OF","ATL - Morton ( R )"
"Austin Riley","3B","ATL",3800,9.82,2.6,"3B","","3B","@MIL - Burnes ( R )"
