"Pos","Player","Team","Opp","Salary","Proj","Value"
"PF/C","Giannis Antetokounmpo","MIL","BKN",11200,61.62,5.5
"C","Nikola Jokic","DEN","LAL",10900,56.52,5.2
"SF/PF","LeBron James","LAL","@DEN",9900,55.03,5.6
"C","Joel Embiid","PHI","@TOR",10400,51.22,4.9
"PG","Trae Young","ATL","@DET",9700,48.8,5
"PG/SG","Donovan Mitchell","CLE","ORL",9500,48.58,5.1
"PG/SG","James Harden","PHI","@TOR",9600,46.75,4.9
"PG/SG","Dejounte Murray","ATL","@DET",9800,46.51,4.7
"C","Pascal Siakam","TOR","PHI",8800,45.13,5.1
"SF/PF","DeMar DeRozan","CHI","IND",8900,44.93,5
"SF/PF","Kevin Durant","BKN","@MIL",10000,44.36,4.4
"PG","Kyrie Irving","BKN","@MIL",9300,43.71,4.7
"PF/C","Karl-Anthony Towns","MIN","SA",9000,43.36,4.8
"PF/C","Anthony Davis","LAL","@DEN",9200,42.85,4.7
"PG/SG","Tyrese Haliburton","IND","@CHI",8300,41.89,5
"PG","Jrue Holiday","MIL","BKN",8500,41.44,4.9
"PG","Damian Lillard","POR","MIA",9400,41.42,4.4
"C","Nikola Vucevic","CHI","IND",7900,40.31,5.1
"PF","Julius Randle","NY","CHA",8200,40.02,4.9
"C","Rudy Gobert","MIN","SA",8700,39.58,4.5
"PF","Jimmy Butler","MIA","@POR",8600,39.57,4.6
"PG","Kevin Porter","HOU","@UTA",7600,38.32,5
"SG/SF","Anthony Edwards","MIN","SA",8000,38.06,4.8
"SG","Zach LaVine","CHI","IND",7700,37.98,4.9
"PF","Keldon Johnson","SA","@MIN",6800,37.06,5.5
"PG/SG","Tyler Herro","MIA","@POR",6900,36.97,5.4
"SF/PF","Lauri Markkanen","UTA","HOU",6500,36.53,5.6
"PG/SG","Fred VanVleet","TOR","PHI",8400,36.23,4.3
"PG","Cade Cunningham","DET","ATL",7900,35.76,4.5
"C","Jakob Poeltl","SA","@MIN",6400,35.67,5.6
"PF/C","John Collins","ATL","@DET",6800,35.33,5.2
"PF","Paolo Banchero","ORL","@CLE",7500,34.95,4.7
"PF/C","Jabari Smith","HOU","@UTA",6500,34.62,5.3
"PG","D'Angelo Russell","MIN","SA",7400,34.37,4.6
"C","Wendell Carter","ORL","@CLE",6900,34.28,5
"PG","Dennis Smith","CHA","@NY",6000,34.22,5.7
"C","Bam Adebayo","MIA","@POR",7200,33.83,4.7
"C","Jarrett Allen","CLE","ORL",7300,33.52,4.6
"C","Jusuf Nurkic","POR","MIA",6700,33.37,5
"SF/PF","Kelly Oubre","CHA","@NY",6200,32.27,5.2
"PG","Jalen Brunson","NY","CHA",6600,32.19,4.9
"PG","Cole Anthony","ORL","@CLE",6100,32.06,5.3
"PG","Mike Conley","UTA","HOU",6200,32.03,5.2
"PG/SF","Ben Simmons","BKN","@MIL",6500,32,4.9
"SF","Gordon Hayward","CHA","@NY",6500,31.73,4.9
"SG","Jalen Green","HOU","@UTA",6600,31.57,4.8
"SF","Franz Wagner","ORL","@CLE",6100,31.34,5.1
"PG/SG","Jordan Clarkson","UTA","HOU",6300,31.31,5
"SG/SF","Caris LeVert","CLE","ORL",6200,31.12,5
"SF","RJ Barrett","NY","CHA",6700,30.9,4.6
"PG/SF","Scottie Barnes","TOR","PHI",6600,30.87,4.7
"SG/SF","Josh Hart","POR","MIA",5800,30.63,5.3
"C","Myles Turner","IND","@CHI",6100,30.53,5
"PG/SG","Anfernee Simons","POR","MIA",6400,29.41,4.6
"SF","Saddiq Bey","DET","ATL",5900,29.27,5
"PF/C","Kelly Olynyk","UTA","HOU",5600,29.2,5.2
"PG","Tre Jones","SA","@MIN",5500,29.1,5.3
