"Pos","Player","Team","Opp","Salary","Proj","Value"
"PF/SF","Giannis Antetokounmpo","MIL","@PHI",11300,55.98,5
"SG/SF","Paul George","LAC","POR",10800,49.3,4.6
"C","Andre Drummond","PHI","MIL",7200,45.84,6.4
"C","Rudy Gobert","UTA","ATL",9000,40.41,4.5
"SG/PG","Donovan Mitchell","UTA","ATL",8700,40.32,4.6
"PG","Trae Young","ATL","@UTA",9500,39.95,4.2
"PG","Damian Lillard","POR","@LAC",8500,38.71,4.6
"SG","C.J. McCollum","POR","@LAC",8000,36.39,4.5
"PF/C","John Collins","ATL","@UTA",6800,32.99,4.9
"PG/SG","Jrue Holiday","MIL","@PHI",6800,32.89,4.8
"C","Clint Capela","ATL","@UTA",6300,32.26,5.1
"PG/SG","Tyrese Maxey","PHI","MIL",6600,32.11,4.9
"C","Jusuf Nurkic","POR","@LAC",6900,32.02,4.6
"PF/C","Bobby Portis","MIL","@PHI",5800,31.67,5.5
"SG/SF","Furkan Korkmaz","PHI","MIL",5400,31.21,5.8
"PG/SG","Shake Milton","PHI","MIL",6200,30.81,5
"PG/SG","Reggie Jackson","LAC","POR",6100,30.13,4.9
"PG","Mike Conley","UTA","ATL",6300,29.69,4.7
"SG","Paul Reed","PHI","MIL",4100,26.89,6.6
"SF/SG","Norman Powell","POR","@LAC",6100,26.01,4.3
"SG/SF","Terance Mann","LAC","POR",5100,25.9,5.1
"SF/PF","Bojan Bogdanovic","UTA","ATL",5500,25.13,4.6
"C","Ivica Zubac","LAC","POR",5500,24.38,4.4
"PG/SG","Jordan Clarkson","UTA","ATL",5300,23.79,4.5
"PF/SF","Georges Niang","PHI","MIL",4700,23.66,5
"SF/PF","Nicolas Batum","LAC","POR",6000,23.3,3.9
"SF/SG","Bogdan Bogdanovic","ATL","@UTA",4800,22.49,4.7
"SG","Grayson Allen","MIL","@PHI",5400,22.29,4.1
"SG/PG","Eric Bledsoe","LAC","POR",4600,22.19,4.8
"PF/SF","Robert Covington","POR","@LAC",4800,20.88,4.3
"SF/PF","Royce O'Neale","UTA","ATL",5400,20.54,3.8
"SG/SF","Danny Green","PHI","MIL",4600,19.96,4.3
"SG/SF","Luke Kennard","LAC","POR",4300,19.66,4.6
"SG/SF","Joe Ingles","UTA","ATL",4400,19.3,4.4
"PG","George Hill","MIL","@PHI",4200,19.15,4.6
"SG/SF","Pat Connaughton","MIL","@PHI",5000,19.05,3.8
"PG/SG","Anfernee Simons","POR","@LAC",4400,19.04,4.3
"SF","De'Andre Hunter","ATL","@UTA",4300,19.02,4.4
"C","Hassan Whiteside","UTA","ATL",5000,17.4,3.5
"SF/PF","Danilo Gallinari","ATL","@UTA",3600,16.43,4.6
"PF/C","Serge Ibaka","LAC","POR",4400,16.12,3.7
"PF/SF","Jordan Nwora","MIL","@PHI",4500,15.25,3.4
"SG/SF","Cam Reddish","ATL","@UTA",4500,14.91,3.3
"PF/SF","Larry Nance","POR","@LAC",3900,14.62,3.7
"SG/SF","Kevin Huerter","ATL","@UTA",3600,12.88,3.6
"C","Cody Zeller","POR","@LAC",3900,12.1,3.1
"SF","Nassir Little","POR","@LAC",4200,11.71,2.8
"PG/SG","Delon Wright","ATL","@UTA",3600,10.72,3
"PF","Isaiah Hartenstein","LAC","POR",4000,10.63,2.7
"C","Charles Bassey","PHI","MIL",3500,9.49,2.7
"C/PF","Eric Paschall","UTA","ATL",3600,9.44,2.6
"SF/PF","Thanasis Antetokounmpo","MIL","@PHI",4600,9.39,2
"SF","Semi Ojeleye","MIL","@PHI",3500,9.37,2.7
"C","Gorgui Dieng","ATL","@UTA",3500,7.2,2.1
"PG","Jaden Springer","PHI","MIL",3500,7.17,2
"PG","Justin Robinson","MIL","@PHI",3600,4.21,1.2
"SF","Justise Winslow","LAC","POR",3700,3.08,0.8
"SF/SG","Tony Snell","POR","@LAC",3500,2.82,0.8
