Pos,Player,Team,Opp,Salary,Proj,Value,lookOpp,playerdata
QB,Kyler Murray,ARI,@JAX,8300,26.31,3.2,JAX,"Kyler Murray
8300 26.31"
QB,Patrick Mahomes,KC,LAC,8200,26.27,3.2,LAC,"Patrick Mahomes
8200 26.27"
QB,Lamar Jackson,BAL,@DET,7800,25.69,3.3,DET,"Lamar Jackson
7800 25.69"
QB,Russell Wilson,SEA,@MIN,7600,23.53,3.1,MIN,"Russell Wilson
7600 23.53"
QB,Josh Allen,BUF,WAS,7000,22.96,3.3,WAS,"Josh Allen
7000 22.96"
QB,Justin Herbert,LAC,@KC,6500,22.88,3.5,KC,"Justin Herbert
6500 22.88"
RB,Derrick Henry,TEN,IND,8600,22.61,2.6,IND,"Derrick Henry
8600 22.61"
QB,Tom Brady,TB,@LAR,6800,21.66,3.2,LAR,"Tom Brady
6800 21.66"
QB,Matthew Stafford,LAR,TB,6400,20.63,3.2,TB,"Matthew Stafford
6400 20.63"
RB,Dalvin Cook,MIN,SEA,8400,20.56,2.4,SEA,"Dalvin Cook
8400 20.56"
TE,Travis Kelce,KC,LAC,8200,20.32,2.5,LAC,"Travis Kelce
8200 20.32"
QB,Ryan Tannehill,TEN,IND,6200,20.14,3.2,IND,"Ryan Tannehill
6200 20.14"
QB,Daniel Jones,NYG,ATL,5800,19.9,3.4,ATL,"Daniel Jones
5800 19.9"
WR,Tyreek Hill,KC,LAC,8400,19.77,2.4,LAC,"Tyreek Hill
8400 19.77"
QB,Derek Carr,LV,MIA,5900,19.61,3.3,MIA,"Derek Carr
5900 19.61"
RB,Alvin Kamara,NO,@NE,8200,19.52,2.4,NE,"Alvin Kamara
8200 19.52"
WR,DeAndre Hopkins,ARI,@JAX,8200,19.17,2.3,JAX,"DeAndre Hopkins
8200 19.17"
QB,Kirk Cousins,MIN,SEA,6300,18.85,3,SEA,"Kirk Cousins
6300 18.85"
WR,Stefon Diggs,BUF,WAS,7600,18.77,2.5,WAS,"Stefon Diggs
7600 18.77"
RB,Austin Ekeler,LAC,@KC,7200,18.57,2.6,KC,"Austin Ekeler
7200 18.57"
WR,Tyler Lockett,SEA,@MIN,7400,18.46,2.5,MIN,"Tyler Lockett
7400 18.46"
WR,Calvin Ridley,ATL,@NYG,7000,18.37,2.6,NYG,"Calvin Ridley
7000 18.37"
QB,Teddy Bridgewater,DEN,NYJ,5800,18.3,3.2,NYJ,"Teddy Bridgewater
5800 18.3"
WR,Cooper Kupp,LAR,TB,6800,18.16,2.7,TB,"Cooper Kupp
6800 18.16"
QB,Justin Fields,CHI,@CLE,5200,17.7,3.4,CLE,"Justin Fields
5200 17.7"
QB,Baker Mayfield,CLE,CHI,6000,17.55,2.9,CHI,"Baker Mayfield
6000 17.55"
QB,Matt Ryan,ATL,@NYG,5400,17.35,3.2,NYG,"Matt Ryan
5400 17.35"
WR,Keenan Allen,LAC,@KC,6600,17.33,2.6,KC,"Keenan Allen
6600 17.33"
WR,D.K. Metcalf,SEA,@MIN,7300,17.26,2.4,MIN,"D.K. Metcalf
7300 17.26"
TE,Darren Waller,LV,MIA,7400,17.19,2.3,MIA,"Darren Waller
7400 17.19"
QB,Trevor Lawrence,JAX,ARI,5500,16.97,3.1,ARI,"Trevor Lawrence
5500 16.97"
