"Pos","Player","Team","Opp","Salary","Proj","Value"
"QB","Justin Herbert","LAC","@HOU",8400,23.06,2.7
"QB","Patrick Mahomes","KC","PIT",8700,21.46,2.5
"QB","Jalen Hurts","PHI","NYG",7700,20.94,2.7
"QB","Matthew Stafford","LAR","@MIN",7900,20.79,2.6
"QB","Josh Allen","BUF","@NE",8500,20.76,2.4
"QB","Tom Brady","TB","@CAR",8400,19.94,2.4
"WR","Cooper Kupp","LAR","@MIN",9800,19.47,2
"QB","Joe Burrow","CIN","BAL",7100,19.14,2.7
"QB","Russell Wilson","SEA","CHI",7500,18.88,2.5
"QB","Matt Ryan","ATL","DET",6800,18.4,2.7
"QB","Kirk Cousins","MIN","LAR",7300,17.33,2.4
"QB","Derek Carr","LV","DEN",7000,16.84,2.4
"WR","Tyreek Hill","KC","PIT",8700,16.28,1.9
"QB","Zach Wilson","NYJ","JAX",6600,15.97,2.4
"RB","James Robinson","JAX","@NYJ",8200,15.88,1.9
"RB","Najee Harris","PIT","@KC",8400,15.84,1.9
"QB","Mac Jones","NE","BUF",6700,15.68,2.3
"WR","Justin Jefferson","MIN","LAR",8400,15.51,1.8
"QB","Trevor Lawrence","JAX","@NYJ",6500,15.51,2.4
"RB","Alexander Mattison","MIN","LAR",5500,15.25,2.8
"RB","Cordarrelle Patterson","ATL","DET",7200,14.81,2.1
"QB","Ben Roethlisberger","PIT","@KC",6800,14.8,2.2
"RB","D'Andre Swift","DET","@ATL",7800,14.69,1.9
"RB","Josh Jacobs","LV","DEN",6800,14.68,2.2
"QB","Cam Newton","CAR","TB",7200,14.55,2
"WR","Stefon Diggs","BUF","@NE",7500,14.24,1.9
"QB","Davis Mills","HOU","LAC",6600,14.19,2.1
"QB","Drew Lock","DEN","@LV",6600,14.09,2.1
"RB","Joe Mixon","CIN","BAL",7500,13.94,1.9
"WR","Keenan Allen","LAC","@HOU",7700,13.93,1.8
"QB","Nick Foles","CHI","@SEA",6100,13.88,2.3
"RB","David Montgomery","CHI","@SEA",6600,13.72,2.1
"RB","Saquon Barkley","NYG","@PHI",7000,13.62,1.9
"WR","Ja'Marr Chase","CIN","BAL",7100,13.51,1.9
"QB","Jake Fromm","NYG","@PHI",6400,13.22,2.1
"WR","Antonio Brown","TB","@CAR",7000,13.02,1.9
"WR","Diontae Johnson","PIT","@KC",7400,12.93,1.7
"WR","Tyler Lockett","SEA","CHI",7300,12.57,1.7
"RB","Clyde Edwards-Helaire","KC","PIT",6500,12.38,1.9
"QB","Tim Boyle","DET","@ATL",6000,12.34,2.1
"WR","Mike Williams","LAC","@HOU",6600,12.03,1.8
"RB","Ronald Jones","TB","@CAR",5400,11.97,2.2
"RB","Michael Carter","NYJ","JAX",5800,11.89,2.1
"WR","Tee Higgins","CIN","BAL",6500,11.79,1.8
"RB","Justin Jackson","LAC","@HOU",5400,11.74,2.2
"RB","Miles Sanders","PHI","NYG",6400,11.73,1.8
"WR","Hunter Renfrow","LV","DEN",7100,11.66,1.6
"TE","Rob Gronkowski","TB","@CAR",6700,11.54,1.7
"WR","D.K. Metcalf","SEA","CHI",6700,11.33,1.7
"WR","Russell Gage","ATL","DET",6700,11.32,1.7
"WR","D.J. Moore","CAR","TB",6400,11.21,1.8
"TE","Kyle Pitts","ATL","DET",5900,11.19,1.9
"TE","Mark Andrews","BAL","@CIN",8000,10.86,1.4
"RB","Javonte Williams","DEN","@LV",6300,10.7,1.7
"RB","Damien Harris","NE","BUF",6600,10.55,1.6
"RB","Rashaad Penny","SEA","CHI",6100,10.47,1.7
"WR","Van Jefferson","LAR","@MIN",6300,10.45,1.7
"WR","Marquise Brown","BAL","@CIN",6400,10.43,1.6
"WR","Odell Beckham Jr.","LAR","@MIN",6600,10.34,1.6
"WR","DeVonta Smith","PHI","NYG",5900,10.31,1.7
"TE","Dallas Goedert","PHI","NYG",5900,10.26,1.7
"RB","Darrell Henderson","LAR","@MIN",6900,10.24,1.5
"RB","Melvin Gordon","DEN","@LV",6300,10.14,1.6
"RB","Devin Singletary","BUF","@NE",5800,10.1,1.7
"WR","Amon-Ra St. Brown","DET","@ATL",6500,9.99,1.5
"WR","Jakobi Meyers","NE","BUF",5700,9.74,1.7
"WR","Adam Thielen","MIN","LAR",7200,9.63,1.3
"WR","Darnell Mooney","CHI","@SEA",6100,9.61,1.6
"RB","Devonta Freeman","BAL","@CIN",5600,9.42,1.7
"D","Bucs","TB","@CAR",4700,9.21,2
"RB","Mike Davis","ATL","DET",5500,9.1,1.7
"RB","Sony Michel","LAR","@MIN",6900,9.04,1.3
"RB","Rex Burkhead","HOU","LAC",5400,9.01,1.7
"WR","Tyler Boyd","CIN","BAL",6200,8.96,1.4
"WR","Kenny Golladay","NYG","@PHI",5500,8.75,1.6
"D","Eagles","PHI","NYG",5000,8.74,1.7
"WR","Marvin Jones","JAX","@NYJ",5600,8.62,1.5
"WR","Braxton Berrios","NYJ","JAX",5300,8.62,1.6
"WR","Chase Claypool","PIT","@KC",5900,8.47,1.4
"WR","Emmanuel Sanders","BUF","@NE",5600,8.32,1.5
"WR","Laquon Treadwell","JAX","@NYJ",5300,8.32,1.6
"D","Chargers","LAC","@HOU",4800,8.29,1.7
"D","Chiefs","KC","PIT",4300,8.28,1.9
"TE","Dawson Knox","BUF","@NE",6100,8,1.3
"TE","Jared Cook","LAC","@HOU",5100,7.95,1.6
"RB","Darrel Williams","KC","PIT",5700,7.87,1.4
"TE","Tyler Higbee","LAR","@MIN",5500,7.67,1.4
"TE","Foster Moreau","LV","DEN",5200,7.67,1.5
"D","Patriots","NE","BUF",4100,7.65,1.9
"WR","Robby Anderson","CAR","TB",5700,7.61,1.3
"D","Falcons","ATL","DET",3800,7.61,2
"WR","Allen Robinson","CHI","@SEA",5500,7.52,1.4
"WR","Josh Reynolds","DET","@ATL",5400,7.52,1.4
"WR","Jerry Jeudy","DEN","@LV",5800,7.51,1.3
"RB","Brandon Bolden","NE","BUF",4900,7.47,1.5
"D","Bengals","CIN","BAL",3500,7.47,2.1
"D","Jets","NYJ","JAX",4100,7.41,1.8
"RB","Chuba Hubbard","CAR","TB",5500,7.32,1.3
"WR","Tim Patrick","DEN","@LV",5600,7.21,1.3
"RB","Ameer Abdullah","CAR","TB",5100,7.21,1.4
"WR","Courtland Sutton","DEN","@LV",5400,7.2,1.3
"TE","Hunter Henry","NE","BUF",6000,7.17,1.2
"WR","Keelan Cole Sr.","NYJ","JAX",5000,7.08,1.4
"RB","David Johnson","HOU","LAC",5200,7.07,1.4
"D","Jaguars","JAX","@NYJ",4000,7,1.8
"D","Seahawks","SEA","CHI",4500,6.88,1.5
"D","Raiders","LV","DEN",3900,6.82,1.7
"WR","Nico Collins","HOU","LAC",5200,6.76,1.3
"TE","Noah Fant","DEN","@LV",5600,6.74,1.2
"RB","Joshua Kelley","LAC","@HOU",4900,6.61,1.3
"RB","Jamaal Williams","DET","@ATL",6700,6.55,1
"TE","Cole Kmet","CHI","@SEA",5000,6.53,1.3
"TE","Tyler Conklin","MIN","LAR",5200,6.46,1.2
"D","Broncos","DEN","@LV",3800,6.43,1.7
"WR","Byron Pringle","KC","PIT",5200,6.37,1.2
"RB","Latavius Murray","BAL","@CIN",5300,6.35,1.2
"WR","Mecole Hardman","KC","PIT",5200,6.35,1.2
"WR","K.J. Osborn","MIN","LAR",6000,6.3,1.1
"D","Rams","LAR","@MIN",4200,6.25,1.5
"WR","Kadarius Toney","NYG","@PHI",5300,6.23,1.2
"WR","Rashod Bateman","BAL","@CIN",5600,6.16,1.1
"WR","Tyler Johnson","TB","@CAR",5000,6.16,1.2
"WR","Zay Jones","LV","DEN",5000,6.15,1.2
"RB","Tevin Coleman","NYJ","JAX",5700,6.11,1.1
"D","Bills","BUF","@NE",4000,6.01,1.5
"D","Ravens","BAL","@CIN",3900,5.98,1.5
"WR","Bryan Edwards","LV","DEN",5200,5.96,1.1
"TE","Gerald Everett","SEA","CHI",4900,5.91,1.2
"TE","C.J. Uzomah","CIN","BAL",5000,5.89,1.2
"TE","Evan Engram","NYG","@PHI",5000,5.86,1.2
"WR","Darius Slayton","NYG","@PHI",5200,5.75,1.1
"D","Bears","CHI","@SEA",3700,5.69,1.5
"TE","James O'Shaughnessy","JAX","@NYJ",5300,5.64,1.1
"WR","Sammy Watkins","BAL","@CIN",5200,5.63,1.1
"WR","James Washington","PIT","@KC",5200,5.59,1.1
"WR","Denzel Mims","NYJ","JAX",4900,5.55,1.1
"WR","Isaiah McKenzie","BUF","@NE",4600,5.51,1.2
"D","Giants","NYG","@PHI",3500,5.43,1.6
"WR","Joshua Palmer","LAC","@HOU",4900,5.32,1.1
"WR","Tavon Austin","JAX","@NYJ",4800,5.3,1.1
"WR","Olamide Zaccheaus","ATL","DET",5100,5.22,1
"WR","Scotty Miller","TB","@CAR",4900,5.22,1.1
"TE","Brevin Jordan","HOU","LAC",4800,5.18,1.1
"WR","Quez Watkins","PHI","NYG",5300,5.14,1
"RB","Ke'Shawn Vaughn","TB","@CAR",4700,5.14,1.1
"D","Vikings","MIN","LAR",3600,5.13,1.4
"RB","Jordan Howard","PHI","NYG",5700,5.11,0.9
"TE","Tyler Kroft","NYJ","JAX",4400,5.02,1.1
"TE","Jonnu Smith","NE","BUF",4600,4.88,1.1
"WR","Chris Conley","HOU","LAC",4900,4.85,1
"D","Panthers","CAR","TB",3300,4.84,1.5
"TE","Hayden Hurst","ATL","DET",4700,4.76,1
"RB","Samaje Perine","CIN","BAL",6200,4.75,0.8
"WR","Jalen Reagor","PHI","NYG",5100,4.75,0.9
"RB","Devontae Booker","NYG","@PHI",5600,4.7,0.8
"WR","DeSean Jackson","LV","DEN",5100,4.69,0.9
"D","Lions","DET","@ATL",3400,4.66,1.4
"TE","Albert Okwuegbunam","DEN","@LV",4900,4.37,0.9
"D","Steelers","PIT","@KC",3200,4.37,1.4
"RB","Kene Nwangwu","MIN","LAR",5000,4.24,0.8
"RB","Peyton Barber","LV","DEN",5400,4.19,0.8
"D","Texans","HOU","LAC",3000,4.17,1.4
"WR","Demarcus Robinson","KC","PIT",4900,4.12,0.8
"WR","Kalif Raymond","DET","@ATL",5200,4.09,0.8
"RB","Alex Collins","SEA","CHI",5500,4.01,0.7
"TE","Jordan Akins","HOU","LAC",4500,3.96,0.9
"WR","Brandon Zylstra","CAR","TB",4900,3.95,0.8
"TE","Brock Wright","DET","@ATL",4500,3.9,0.9
"TE","Cameron Brate","TB","@CAR",4500,3.76,0.8
"TE","Pharaoh Brown","HOU","LAC",4400,3.76,0.9
"RB","Larry Rountree","LAC","@HOU",4700,3.69,0.8
"RB","J.J. Taylor","NE","BUF",4700,3.67,0.8
"WR","Ray-Ray McCloud III","PIT","@KC",4800,3.52,0.7
"TE","Jimmy Graham","CHI","@SEA",4600,3.46,0.8
"TE","Kyle Rudolph","NYG","@PHI",4400,3.35,0.8
"RB","Travis Homer","SEA","CHI",4900,3.27,0.7
"TE","Tommy Tremble","CAR","TB",4500,3.21,0.7
"WR","Devin Duvernay","BAL","@CIN",5100,3.19,0.6
"RB","Matt Breida","BUF","@NE",5000,3.19,0.6
"RB","Royce Freeman","HOU","LAC",4900,3.13,0.6
"RB","Khalil Herbert","CHI","@SEA",5500,2.92,0.5
"WR","Ben Skowronek","LAR","@MIN",4800,2.92,0.6
"TE","Zach Gentry","PIT","@KC",4400,2.91,0.7
"RB","Dare Ogunbowale","JAX","@NYJ",4800,2.88,0.6
"WR","Jaydon Mickens","JAX","@NYJ",4500,2.58,0.6
"RB","Damien Williams","CHI","@SEA",5400,2.43,0.5
"WR","Jaelon Darden","TB","@CAR",4600,2.43,0.5
"TE","Tommy Sweeney","BUF","@NE",4200,2.12,0.5
