"Pos","Player","Team","Opp","Salary","Proj","Value"
"QB","Josh Allen","BUF","HOU",8500,26.02,3.1
"QB","Patrick Mahomes","KC","@PHI",8700,24.48,2.8
"QB","Kyler Murray","ARI","@LAR",8200,21.79,2.7
"QB","Lamar Jackson","BAL","@DEN",8000,21.69,2.7
"QB","Dak Prescott","DAL","CAR",7700,21.27,2.8
"QB","Jalen Hurts","PHI","KC",7900,21,2.7
"QB","Matthew Stafford","LAR","ARI",7800,20.92,2.7
"QB","Russell Wilson","SEA","@SF",7700,20.92,2.7
"QB","Aaron Rodgers","GB","PIT",7600,20.21,2.7
"QB","Ryan Tannehill","TEN","@NYJ",7500,19.96,2.7
"RB","Derrick Henry","TEN","@NYJ",10200,19.77,1.9
"QB","Kirk Cousins","MIN","CLE",7500,19.38,2.6
"RB","Alvin Kamara","NO","NYG",9000,19.1,2.1
"QB","Baker Mayfield","CLE","@MIN",7300,19.06,2.6
"QB","Sam Darnold","CAR","@DAL",7200,19.02,2.6
"QB","Taylor Heinicke","WAS","@ATL",7400,18.23,2.5
"WR","Davante Adams","GB","PIT",8100,17.98,2.2
"QB","Matt Ryan","ATL","WAS",6700,17.9,2.7
"QB","Teddy Bridgewater","DEN","BAL",6800,17.88,2.6
"RB","Dalvin Cook","MIN","CLE",9500,17.81,1.9
"QB","Jacoby Brissett","MIA","IND",6500,17.71,2.7
"WR","Cooper Kupp","LAR","ARI",8600,17.2,2
"QB","Jimmy Garoppolo","SF","SEA",7000,17.04,2.4
"WR","Tyreek Hill","KC","@PHI",8200,17.04,2.1
"QB","Daniel Jones","NYG","@NO",7000,16.8,2.4
"TE","Travis Kelce","KC","@PHI",8200,16.79,2
"RB","Aaron Jones","GB","PIT",7400,16.69,2.3
"QB","Jameis Winston","NO","NYG",6900,16.26,2.4
"QB","Zach Wilson","NYJ","TEN",6400,16.02,2.5
"QB","Ben Roethlisberger","PIT","@GB",6800,15.91,2.3
"WR","Stefon Diggs","BUF","HOU",8000,15.88,2
"QB","Carson Wentz","IND","@MIA",6600,15.81,2.4
"QB","Jared Goff","DET","@CHI",7100,15.77,2.2
"RB","Najee Harris","PIT","@GB",8200,15.71,1.9
"QB","Justin Fields","CHI","DET",6400,15.59,2.4
"WR","Justin Jefferson","MIN","CLE",7800,15.46,2
"RB","David Montgomery","CHI","DET",7500,14.89,2
"WR","Calvin Ridley","ATL","WAS",7200,14.63,2
"RB","Ezekiel Elliott","DAL","CAR",7000,14.57,2.1
"WR","D.K. Metcalf","SEA","@SF",7700,14.55,1.9
"RB","D'Andre Swift","DET","@CHI",7700,14.52,1.9
"RB","Jonathan Taylor","IND","@MIA",6600,14.41,2.2
"RB","Nick Chubb","CLE","@MIN",8000,14.26,1.8
"WR","CeeDee Lamb","DAL","CAR",7400,14.24,1.9
"WR","D.J. Moore","CAR","@DAL",7300,14.23,1.9
"WR","Terry McLaurin","WAS","@ATL",7100,13.95,2
"RB","Antonio Gibson","WAS","@ATL",7100,13.86,2
"RB","Saquon Barkley","NYG","@NO",6900,13.66,2
"WR","Deebo Samuel","SF","SEA",6900,13.61,2
"WR","Tyler Lockett","SEA","@SF",7900,13.46,1.7
"WR","Adam Thielen","MIN","CLE",7500,13.25,1.8
"WR","Amari Cooper","DAL","CAR",7600,13.22,1.7
"RB","Chris Carson","SEA","@SF",7300,13.16,1.8
"RB","Chuba Hubbard","CAR","@DAL",6300,13.03,2.1
"WR","DeAndre Hopkins","ARI","@LAR",7600,12.78,1.7
"WR","Julio Jones","TEN","@NYJ",6700,12.78,1.9
"QB","Davis Mills","HOU","@BUF",6400,12.78,2
"RB","Clyde Edwards-Helaire","KC","@PHI",6700,12.62,1.9
"RB","Miles Sanders","PHI","KC",6500,12.44,1.9
"WR","Brandin Cooks","HOU","@BUF",6900,12.32,1.8
"RB","Mike Davis","ATL","WAS",5400,12.32,2.3
"WR","Odell Beckham Jr.","CLE","@MIN",6600,12.29,1.9
"WR","Allen Robinson","CHI","DET",6400,12.04,1.9
"WR","Courtland Sutton","DEN","BAL",6300,11.98,1.9
"WR","Robert Woods","LAR","ARI",6200,11.86,1.9
"TE","George Kittle","SF","SEA",6700,11.77,1.8
"RB","Kareem Hunt","CLE","@MIN",6400,11.68,1.8
"WR","Chase Claypool","PIT","@GB",6500,11.6,1.8
"WR","Cole Beasley","BUF","HOU",5900,11.4,1.9
"RB","Chase Edmonds","ARI","@LAR",6100,11.27,1.8
"WR","Michael Pittman","IND","@MIA",5800,11.12,1.9
"RB","Myles Gaskin","MIA","IND",5500,11.01,2
"RB","Sony Michel","LAR","ARI",5800,10.89,1.9
"WR","DeVonta Smith","PHI","KC",5900,10.82,1.8
"WR","Kenny Golladay","NYG","@NO",5900,10.79,1.8
"WR","Corey Davis","NYJ","TEN",5700,10.66,1.9
"WR","Brandon Aiyuk","SF","SEA",5700,10.55,1.9
"RB","Melvin Gordon","DEN","BAL",6200,10.52,1.7
"WR","Emmanuel Sanders","BUF","HOU",5800,10.42,1.8
"WR","Marquise Brown","BAL","@DEN",6400,10.38,1.6
"TE","T.J. Hockenson","DET","@CHI",6600,10.34,1.6
"RB","Devin Singletary","BUF","HOU",5700,10.3,1.8
"WR","Jaylen Waddle","MIA","IND",5400,10.28,1.9
"RB","Zack Moss","BUF","HOU",6000,10.13,1.7
"RB","Javonte Williams","DEN","BAL",5900,9.98,1.7
"WR","Tim Patrick","DEN","BAL",6100,9.91,1.6
"TE","Mark Andrews","BAL","@DEN",6500,9.85,1.5
"TE","Kyle Pitts","ATL","WAS",5800,9.8,1.7
"WR","Cordarrelle Patterson","ATL","WAS",6000,9.75,1.6
"RB","Nyheim Hines","IND","@MIA",5300,9.56,1.8
"WR","Diontae Johnson","PIT","@GB",7000,9.52,1.4
"D","Bills","BUF","HOU",5000,9.48,1.9
"RB","Trey Sermon","SF","SEA",5900,9.48,1.6
"WR","DeVante Parker","MIA","IND",5400,9.45,1.7
"WR","Darnell Mooney","CHI","DET",5200,9.35,1.8
"WR","Robby Anderson","CAR","@DAL",5700,9.32,1.6
"RB","Jamaal Williams","DET","@CHI",5600,9.3,1.7
"TE","Logan Thomas","WAS","@ATL",5800,9.13,1.6
"WR","Mecole Hardman","KC","@PHI",5500,9.09,1.7
"TE","Noah Fant","DEN","BAL",5700,9.05,1.6
"TE","Tyler Higbee","LAR","ARI",5900,9.03,1.5
"WR","JuJu Smith-Schuster","PIT","@GB",6000,9.02,1.5
"D","Saints","NO","NYG",4800,8.95,1.9
"WR","Christian Kirk","ARI","@LAR",6000,8.89,1.5
"D","Titans","TEN","@NYJ",4900,8.89,1.8
"RB","Darrell Henderson","LAR","ARI",6000,8.79,1.5
"WR","Will Fuller","MIA","IND",5300,8.76,1.7
"RB","Michael Carter","NYJ","TEN",5300,8.72,1.6
"RB","Elijah Mitchell","SF","SEA",5600,8.62,1.5
"RB","Alexander Mattison","MIN","CLE",6800,8.58,1.3
"WR","Marquez Valdes-Scantling","GB","PIT",5200,8.52,1.6
"WR","Sammy Watkins","BAL","@DEN",5500,8.5,1.5
"WR","Marquez Callaway","NO","NYG",5600,8.47,1.5
"WR","Sterling Shepard","NYG","@NO",6100,8.46,1.4
"RB","Tony Pollard","DAL","CAR",5600,8.2,1.5
"D","Bears","CHI","DET",4500,8.12,1.8
"WR","Jalen Reagor","PHI","KC",5500,8.06,1.5
"WR","Rondale Moore","ARI","@LAR",5300,7.88,1.5
"D","Packers","GB","PIT",4200,7.85,1.9
"WR","Zach Pascal","IND","@MIA",5100,7.78,1.5
"WR","K.J. Osborn","MIN","CLE",5300,7.69,1.5
"TE","Mike Gesicki","MIA","IND",5400,7.68,1.4
"WR","Terrace Marshall","CAR","@DAL",5000,7.62,1.5
"RB","Ty'Son Williams","BAL","@DEN",5700,7.61,1.3
"WR","Elijah Moore","NYJ","TEN",4900,7.59,1.5
"WR","A.J. Green","ARI","@LAR",5600,7.47,1.3
"TE","Robert Tonyan","GB","PIT",5500,7.43,1.4
"D","Chiefs","KC","@PHI",3700,7.43,2
"D","Rams","LAR","ARI",3800,7.39,1.9
"D","Cowboys","DAL","CAR",3800,7.29,1.9
"WR","Deonte Harris","NO","NYG",5100,7.13,1.4
"TE","Dawson Knox","BUF","HOU",5600,7.12,1.3
"TE","Tyler Conklin","MIN","CLE",5300,7.08,1.3
"TE","Dallas Goedert","PHI","KC",6000,7.08,1.2
"WR","Van Jefferson","LAR","ARI",5000,7.01,1.4
"D","Colts","IND","@MIA",4600,6.93,1.5
"WR","Russell Gage","ATL","WAS",5000,6.92,1.4
"D","Dolphins","MIA","IND",4000,6.87,1.7
"RB","Kenneth Gainwell","PHI","KC",5500,6.76,1.2
"TE","Austin Hooper","CLE","@MIN",5200,6.76,1.3
"D","49ers","SF","SEA",3900,6.75,1.7
"WR","Adam Humphries","WAS","@ATL",4700,6.68,1.4
"WR","Quintez Cephus","DET","@CHI",5200,6.64,1.3
"TE","Dalton Schultz","DAL","CAR",5000,6.61,1.3
"RB","J.D. McKissic","WAS","@ATL",5200,6.61,1.3
"D","Broncos","DEN","BAL",4200,6.54,1.6
"D","Falcons","ATL","WAS",3600,6.52,1.8
"D","Washington","WAS","@ATL",4000,6.46,1.6
"WR","Darius Slayton","NYG","@NO",5200,6.44,1.2
"RB","James Conner","ARI","@LAR",5500,6.42,1.2
"D","Panthers","CAR","@DAL",3700,6.37,1.7
"D","Browns","CLE","@MIN",4400,6.34,1.4
"WR","Kalif Raymond","DET","@CHI",5300,6.32,1.2
"RB","Mark Ingram","HOU","@BUF",5300,6.28,1.2
"D","Giants","NYG","@NO",3400,6.28,1.8
"RB","Royce Freeman","CAR","@DAL",5400,6.21,1.1
"WR","Jamison Crowder","NYJ","TEN",5500,6.2,1.1
"D","Ravens","BAL","@DEN",4300,6.2,1.4
"D","Seahawks","SEA","@SF",3300,6.19,1.9
"D","Lions","DET","@CHI",4100,6.11,1.5
"TE","Cole Kmet","CHI","DET",4800,6.06,1.3
"WR","Anthony Miller","HOU","@BUF",5200,6.04,1.2
"RB","Kyle Juszczyk","SF","SEA",4500,6.03,1.3
"TE","Zach Ertz","PHI","KC",4700,6,1.3
"RB","Latavius Murray","BAL","@DEN",5300,5.97,1.1
"TE","Gerald Everett","SEA","@SF",4900,5.94,1.2
"WR","Nick Westbrook-Ikhine","TEN","@NYJ",5300,5.94,1.1
"RB","A.J. Dillon","GB","PIT",5500,5.92,1.1
"TE","Jack Doyle","IND","@MIA",4800,5.9,1.2
"D","Vikings","MIN","CLE",3500,5.71,1.6
"WR","Dyami Brown","WAS","@ATL",4900,5.68,1.2
"WR","Chester Rogers","TEN","@NYJ",5100,5.64,1.1
"RB","Ty Johnson","NYJ","TEN",4700,5.58,1.2
"D","Jets","NYJ","TEN",3000,5.56,1.9
"WR","Parris Campbell","IND","@MIA",4700,5.47,1.2
"TE","Evan Engram","NYG","@NO",5100,5.47,1.1
"WR","Quez Watkins","PHI","KC",5200,5.47,1.1
"WR","Collin Johnson","NYG","@NO",5200,5.33,1
"D","Cardinals","ARI","@LAR",4100,5.31,1.3
"TE","Maxx Williams","ARI","@LAR",4500,5.21,1.2
"D","Steelers","PIT","@GB",3900,5.21,1.3
"TE","Blake Jarwin","DAL","CAR",4900,5.19,1.1
"TE","David Njoku","CLE","@MIN",4700,5.1,1.1
"TE","Pat Freiermuth","PIT","@GB",5000,5.07,1
"WR","James Washington","PIT","@GB",5100,5.04,1
"RB","David Johnson","HOU","@BUF",5000,5.01,1
"WR","Demarcus Robinson","KC","@PHI",4900,5,1
"TE","Juwan Johnson","NO","NYG",4600,4.94,1.1
"TE","Anthony Firkser","TEN","@NYJ",4500,4.74,1.1
"WR","DeSean Jackson","LAR","ARI",5400,4.7,0.9
"RB","Tony Jones","NO","NYG",4700,4.68,1
"WR","Gabriel Davis","BUF","HOU",4800,4.65,1
"WR","Olamide Zaccheaus","ATL","WAS",4800,4.52,0.9
"TE","Albert Okwuegbunam","DEN","BAL",4600,4.49,1
"TE","Tyler Kroft","NYJ","TEN",4500,4.47,1
"WR","Freddie Swain","SEA","@SF",4800,4.47,0.9
"WR","Braxton Berrios","NYJ","TEN",4700,4.47,1
"TE","Adam Trautman","NO","NYG",4300,4.38,1
"RB","Damien Williams","CHI","DET",4600,4.16,0.9
"D","Eagles","PHI","KC",3200,4.11,1.3
"WR","Marquise Goodwin","CHI","DET",4700,4.1,0.9
"WR","Cedrick Wilson","DAL","CAR",5200,4.09,0.8
"WR","Chris Conley","HOU","@BUF",4700,4.07,0.9
"RB","Phillip Lindsay","HOU","@BUF",4900,4.06,0.8
"RB","Jeremy McNichols","TEN","@NYJ",4900,4.04,0.8
