"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Jacob deGrom","P","NYM",11800,25.82,2.2,"P","","P","CHC - Sampson - R"
"Gerrit Cole","P","NYY",10900,21.3,2,"P","","P","@BOS - Pivetta - R"
"Yu Darvish","P","SD",10600,20.5,1.9,"P","","P","@SEA - Gilbert - R"
"Joe Ryan","P","MIN",8100,19.18,2.4,"P","","P","KC - Bubic - L"
"Clayton Kershaw","P","LAD",10000,18.8,1.9,"P","","P","@ARI - Kelly - R"
"Alek Manoah","P","TOR",9300,18.77,2,"P","","P","TB - Springs - L"
"Logan Gilbert","P","SEA",8700,17.5,2,"P","","P","SD - Darvish - R"
"Michael Kopech","P","CWS",7100,16.71,2.4,"P","","P","COL - Kuhl - R"
"Jeffrey Springs","P","TB",8400,16.13,1.9,"P","","P","@TOR - Merryweather - R"
"Jordan Montgomery","P","STL",8400,15.36,1.8,"P","","P","MIL - Bush - R"
"Kyle Wright","P","ATL",9400,14.32,1.5,"P","","P","@SF - Junis - R"
"Nick Pivetta","P","BOS",7600,13.52,1.8,"P","","P","NYY - Cole - R"
"Jakob Junis","P","SF",7900,13.45,1.7,"P","","P","ATL - Wright - R"
"Mitch White","P","TOR",6500,13.39,2.1,"P","","P","TB - Springs - L"
"Merrill Kelly","P","ARI",9000,12.86,1.4,"P","","P","LAD - Kershaw - L"
"Aaron Judge","OF","NYY",6400,12.74,2,"OF","","OF","@BOS - Pivetta - R"
"Cory Abbott","P","WSH",5700,12.54,2.2,"P","","P","BAL - Kremer - R"
"Yonny Chirinos","P","TB",4000,12.09,3,"P","","P","@TOR - Merryweather - R"
"Jake Cousins","P","MIL",4000,11.9,3,"P","","P","@STL - Montgomery - L"
"Trea Turner","SS","LAD",5600,11.7,2.1,"SS","","SS","@ARI - Kelly - R"
"Dean Kremer","P","BAL",7300,11.62,1.6,"P","","P","@WAS - Abbott - R"
"Cedric Mullins","OF","BAL",5100,11.5,2.3,"OF","","OF","@WAS - Abbott - R"
"Ken Waldichuk","P","OAK",6200,11.19,1.8,"P","","P","@TEX - Ragans - L"
"Anthony Santander","OF","BAL",4900,10.95,2.2,"OF","","OF","@WAS - Abbott - R"
"Kris Bubic","P","KC",5200,10.93,2.1,"P","","P","@MIN - Ryan - R"
"Paul Goldschmidt","1B","STL",6100,10.8,1.8,"1B","","1B","MIL - Bush - R"
"Adley Rutschman","C","BAL",5400,10.77,2,"C","","C","@WAS - Abbott - R"
"Mookie Betts","2B/OF","LAD",6200,10.71,1.7,"2B/OF","OF","2B","@ARI - Kelly - R"
"Luis Perdomo","P","MIL",4000,10.57,2.6,"P","","P","@STL - Montgomery - L"
"Cole Ragans","P","TEX",5400,10.54,2,"P","","P","OAK - Waldichuk - L"
"Freddie Freeman","1B","LAD",5700,10.36,1.8,"1B","","1B","@ARI - Kelly - R"
"Marcus Semien","2B","TEX",5000,10.2,2,"2B","","2B","OAK - Waldichuk - L"
"Ramon Laureano","OF","OAK",3700,10.19,2.8,"OF","","OF","@TEX - Ragans - L"
"Francisco Lindor","SS","NYM",6000,10.17,1.7,"SS","","SS","CHC - Sampson - R"
"Giancarlo Stanton","OF","NYY",5100,10.08,2,"OF","","OF","@BOS - Pivetta - R"
"Vladimir Guerrero Jr.","1B","TOR",5600,10.04,1.8,"1B","","1B","TB - Springs - L"
"Pete Alonso","1B","NYM",5500,10.01,1.8,"1B","","1B","CHC - Sampson - R"
"Luke Voit","1B","WSH",2900,9.79,3.4,"1B","","1B","BAL - Kremer - R"
"Eloy Jimenez","OF","CWS",4500,9.77,2.2,"OF","","OF","COL - Kuhl - R"
"Gleyber Torres","2B","NYY",3900,9.7,2.5,"2B","","2B","@BOS - Pivetta - R"
"Nolan Arenado","3B","STL",5800,9.66,1.7,"3B","","3B","MIL - Bush - R"
"Corey Seager","SS","TEX",5200,9.6,1.8,"SS","","SS","OAK - Waldichuk - L"
"Sean Murphy","C","OAK",4400,9.55,2.2,"C","","C","@TEX - Ragans - L"
"Carlos Correa","SS","MIN",4900,9.54,1.9,"SS","","SS","KC - Bubic - L"
"Matt Olson","1B","ATL",4500,9.5,2.1,"1B","","1B","@SF - Junis - R"
"Jose Abreu","1B","CWS",4000,9.5,2.4,"1B","","1B","COL - Kuhl - R"
"Josh Donaldson","3B","NYY",4300,9.47,2.2,"3B","","3B","@BOS - Pivetta - R"
"George Springer","OF","TOR",5400,9.45,1.7,"OF","","OF","TB - Springs - L"
"Rafael Devers","3B","BOS",5300,9.44,1.8,"3B","","3B","NYY - Cole - R"
"Ryan Mountcastle","1B","BAL",3700,9.44,2.6,"1B","","1B","@WAS - Abbott - R"
"Yoan Moncada","3B","CWS",3400,9.38,2.8,"3B","","3B","COL - Kuhl - R"
"Nate Lowe","1B","TEX",4300,9.34,2.2,"1B","","1B","OAK - Waldichuk - L"
"Juan Soto","OF","SD",4900,9.33,1.9,"OF","","OF","@SEA - Gilbert - R"
"Joey Meneses","1B/OF","WSH",4700,9.3,2,"1B/OF","OF","1B","BAL - Kremer - R"
"Gavin Sheets","OF","CWS",2600,9.3,3.6,"OF","","OF","COL - Kuhl - R"
"C.J. Cron","1B","COL",5000,9.29,1.9,"1B","","1B","@CWS - Kopech - R"
"Teoscar Hernandez","OF","TOR",4900,9.24,1.9,"OF","","OF","TB - Springs - L"
"Will Smith","C","LAD",5400,9.23,1.7,"C","","C","@ARI - Kelly - R"
"Manny Machado","3B","SD",5500,9.21,1.7,"3B","","3B","@SEA - Gilbert - R"
"Brandon Nimmo","OF","NYM",4900,9.18,1.9,"OF","","OF","CHC - Sampson - R"
"Ryan McMahon","2B/3B","COL",4400,9.12,2.1,"2B/3B","3B","2B","@CWS - Kopech - R"
"Ronald Acuna","OF","ATL",5600,9.11,1.6,"OF","","OF","@SF - Junis - R"
"Adolis Garcia","OF","TEX",4700,9.04,1.9,"OF","","OF","OAK - Waldichuk - L"
"Bo Bichette","SS","TOR",5700,8.99,1.6,"SS","","SS","TB - Springs - L"
"Elvis Andrus","SS","CWS",3000,8.97,3,"SS","","SS","COL - Kuhl - R"
"Michael Harris","OF","ATL",4400,8.91,2,"OF","","OF","@SF - Junis - R"
"Randy Arozarena","OF","TB",5700,8.86,1.6,"OF","","OF","@TOR - Merryweather - R"
"Dansby Swanson","SS","ATL",5300,8.86,1.7,"SS","","SS","@SF - Junis - R"
"Shea Langeliers","C","OAK",3000,8.86,3,"C","","C","@TEX - Ragans - L"
"Tony Kemp","2B/OF","OAK",2700,8.85,3.3,"2B/OF","OF","2B","@TEX - Ragans - L"
"Jeff McNeil","2B","NYM",4400,8.77,2,"2B","","2B","CHC - Sampson - R"
