"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos3","Pos1","Opp"
"Gerrit Cole","P","NYY",10500,35.93,3.4,"P","","","P","HOU - Javier - R"
"Cristian Javier","P","HOU",9200,31.03,3.4,"P","","","P","@NYY - Cole - R"
"Mike Clevinger","P","SD",8800,22.72,2.6,"P","","","P","@PHI - Falter - L"
"Bailey Falter","P","PHI",7100,18.94,2.7,"P","","","P","SD - Clevinger - R"
"Aaron Judge","OF","NYY",4800,14.08,2.9,"OF","","","OF","HOU - Javier - R"
"Bryce Harper","OF","PHI",4300,13.04,3,"OF","","","OF","SD - Clevinger - R"
"Manny Machado","3B","SD",4000,12.53,3.1,"3B","","","3B","@PHI - Falter - L"
"Kyle Schwarber","OF","PHI",3900,11.97,3.1,"OF","","","OF","SD - Clevinger - R"
"Juan Soto","OF","SD",3600,11.78,3.3,"OF","","","OF","@PHI - Falter - L"
"Yordan Alvarez","OF","HOU",4500,11.42,2.5,"OF","","","OF","@NYY - Cole - R"
"Jose Altuve","2B","HOU",3700,11.25,3,"2B","","","2B","@NYY - Cole - R"
"Rhys Hoskins","1B","PHI",3200,11.25,3.5,"1B","","","C1B","SD - Clevinger - R"
"Anthony Rizzo","1B","NYY",3800,10.82,2.8,"1B","","","C1B","HOU - Javier - R"
"Kyle Tucker","OF","HOU",3500,10.77,3.1,"OF","","","OF","@NYY - Cole - R"
"Alex Bregman","3B","HOU",3600,10.45,2.9,"3B","","","3B","@NYY - Cole - R"
"J.T. Realmuto","C","PHI",3300,10.38,3.1,"C","","","C1B","SD - Clevinger - R"
"Ha-Seong Kim","SS/3B","SD",2800,9.91,3.5,"SS/3B","3B","","SS","@PHI - Falter - L"
"Gleyber Torres","2B","NYY",3100,9.85,3.2,"2B","","","2B","HOU - Javier - R"
"Nick Castellanos","OF","PHI",2600,9.77,3.8,"OF","","","OF","SD - Clevinger - R"
"Wil Myers","OF","SD",2400,9.73,4.1,"OF","","","OF","@PHI - Falter - L"
"Giancarlo Stanton","OF","NYY",3300,9.48,2.9,"OF","","","OF","HOU - Javier - R"
"Jake Cronenworth","2B","SD",3000,9.48,3.2,"2B","","","2B","@PHI - Falter - L"
"Jurickson Profar","OF","SD",3000,8.87,3,"OF","","","OF","@PHI - Falter - L"
"Yuli Gurriel","1B","HOU",2700,8.78,3.3,"1B","","","C1B","@NYY - Cole - R"
"Josh Donaldson","3B","NYY",2700,8.65,3.2,"3B","","","3B","HOU - Javier - R"
"Alec Bohm","3B","PHI",2900,8.52,2.9,"3B","","","3B","SD - Clevinger - R"
"Harrison Bader","OF","NYY",2900,8.45,2.9,"OF","","","OF","HOU - Javier - R"
"Brandon Drury","2B/3B","SD",3300,8.26,2.5,"2B/3B","3B","","2B","@PHI - Falter - L"
"Trey Mancini","1B","HOU",2500,8.23,3.3,"1B","","","C1B","@NYY - Cole - R"
"Trent Grisham","OF","SD",2300,8.2,3.6,"OF","","","OF","@PHI - Falter - L"
"Brandon Marsh","OF","PHI",2400,8.13,3.4,"OF","","","OF","SD - Clevinger - R"
"Matt Carpenter","1B/3B/OF","NYY",2100,8.12,3.9,"1B/3B/OF","3B","OF","C1B","HOU - Javier - R"
"Bryson Stott","SS/2B","PHI",2300,8.06,3.5,"SS/2B","2B","","SS","SD - Clevinger - R"
"Jean Segura","2B","PHI",2600,7.75,3,"2B","","","2B","SD - Clevinger - R"
"Austin Nola","C","SD",2400,7.68,3.2,"C","","","C1B","@PHI - Falter - L"
"Oswaldo Cabrera","SS/3B","NYY",2600,7.67,2.9,"SS/3B","3B","","SS","HOU - Javier - R"
"Chas McCormick","OF","HOU",2500,7.66,3.1,"OF","","","OF","@NYY - Cole - R"
"Jose Trevino","C","NYY",2200,6.76,3.1,"C","","","C1B","HOU - Javier - R"
"Martín Maldonado","C","HOU",2300,6.56,2.9,"C","","","C1B","@NYY - Cole - R"
"Isiah Kiner-Falefa","SS","NYY",2500,4.99,2,"SS","","","SS","HOU - Javier - R"
