"Pos","Player","Team","Opp","Salary","Proj","Value"
"PG","Luka Doncic","DAL","POR",12600,57.29,4.5
"C","Joel Embiid","PHI","ATL",11100,53.7,4.8
"SF/PF","Jayson Tatum","BOS","@DET",10100,48.57,4.8
"PG/SG","Fred VanVleet","TOR","@IND",8200,44.3,5.4
"PG","Trae Young","ATL","@PHI",10300,44.27,4.3
"PG/SG","Dejounte Murray","ATL","@PHI",10000,44,4.4
"PG","Tyrese Haliburton","IND","TOR",8900,43.59,4.9
"PF","Jimmy Butler","MIA","CHA",9100,41.77,4.6
"SG/SF","Jaylen Brown","BOS","@DET",8500,40.92,4.8
"SF/PF","Scottie Barnes","TOR","@IND",7900,40.3,5.1
"SG","Brandon Ingram","NO","HOU",8700,39.89,4.6
"PG","Tyrese Maxey","PHI","ATL",8000,38.43,4.8
"PG/SG","C.J. McCollum","NO","HOU",8400,38.33,4.6
"PF","Zion Williamson","NO","HOU",8800,38.25,4.3
"PG","Cade Cunningham","DET","BOS",7800,37.82,4.8
"SF","OG Anunoby","TOR","@IND",7300,37.66,5.2
"PG","Damian Lillard","POR","@DAL",9600,37.42,3.9
"PG","Kevin Porter","HOU","@NO",7600,37.28,4.9
"C","Bam Adebayo","MIA","CHA",8300,36.83,4.4
"PG/SG","Terry Rozier","CHA","@MIA",8600,36.58,4.3
"C","Myles Turner","IND","TOR",6300,36.48,5.8
"PG/SG","Tyler Herro","MIA","CHA",7700,36.28,4.7
"C","Clint Capela","ATL","@PHI",6000,35.99,6
"C","Alperen Sengun","HOU","@NO",6900,35.97,5.2
"SF/PF","Tobias Harris","PHI","ATL",7500,34.5,4.6
"SG/SF","Buddy Hield","IND","TOR",6600,33.74,5.1
"C","Jonas Valanciunas","NO","HOU",7400,33.72,4.6
"PG/SG","De'Anthony Melton","PHI","ATL",6400,33.2,5.2
"PG/SG","Jalen Green","HOU","@NO",6300,33.03,5.2
"SG","Jaden Ivey","DET","BOS",5700,32.5,5.7
"C","Jusuf Nurkic","POR","@DAL",7100,32.16,4.5
"SG","Spencer Dinwiddie","DAL","POR",6700,31.37,4.7
"PG/SG","Anfernee Simons","POR","@DAL",8100,30.5,3.8
"SG/SF","Gary Trent","TOR","@IND",5900,30.39,5.2
"PG","Kyle Lowry","MIA","CHA",7200,30.25,4.2
"PF","Jerami Grant","POR","@DAL",7000,29.82,4.3
"PG","LaMelo Ball","CHA","@MIA",9200,29.38,3.2
"SF/PF","Josh Hart","POR","@DAL",6800,28.59,4.2
"PF/C","John Collins","ATL","@PHI",6200,28.49,4.6
"PG/SG","Marcus Smart","BOS","@DET",5600,27.88,5
"SG/SF","Bennedict Mathurin","IND","TOR",5500,27.88,5.1
"PF/C","Christian Wood","DAL","POR",6700,27.58,4.1
"SG/SF","Kelly Oubre","CHA","@MIA",6500,27.49,4.2
"C","Al Horford","BOS","@DET",5400,27.11,5
"PF","Chris Boucher","TOR","@IND",5300,26.73,5
"C","Mason Plumlee","CHA","@MIA",5200,26.49,5.1
"PF","Bojan Bogdanovic","DET","BOS",5400,26.39,4.9
"SF","Saddiq Bey","DET","BOS",5300,26.19,4.9
"PF/C","Isaiah Stewart","DET","BOS",5500,25.81,4.7
"PG/SG","Malcolm Brogdon","BOS","@DET",5300,25.7,4.8
"PF","Jalen Smith","IND","TOR",5000,25.63,5.1
"PF","P.J. Washington","CHA","@MIA",5900,24.87,4.2
"PF/C","Jabari Smith","HOU","@NO",5500,23.07,4.2
"PF/C","Isaiah Jackson","IND","TOR",4100,22.82,5.6
"PF","Max Strus","MIA","CHA",5500,22.59,4.1
"SF","Eric Gordon","HOU","@NO",4300,21.76,5.1
"SF","De'Andre Hunter","ATL","@PHI",5200,21.53,4.1
"SF/PF","Herbert Jones","NO","HOU",4900,21.32,4.4
"PG","Dennis Smith","CHA","@MIA",6200,21.24,3.4
"SF","Caleb Martin","MIA","CHA",4500,20.96,4.7
"PF","Tari Eason","HOU","@NO",4200,20.92,5
"SF/PF","Jalen McDaniels","CHA","@MIA",4600,20.88,4.5
"SF/PF","Grant Williams","BOS","@DET",4100,20.61,5
"PG/SG","Derrick White","BOS","@DET",4300,19.56,4.5
"PG/SG","Andrew Nembhard","IND","TOR",3900,19.24,4.9
"SF/PF","Kenyon Martin Jr.","HOU","@NO",4500,19.22,4.3
"SF/PF","Justise Winslow","POR","@DAL",4800,19.19,4
"PF","Dorian Finney-Smith","DAL","POR",4300,19.19,4.5
"SF/PF","Otto Porter","TOR","@IND",3900,18.82,4.8
"SG/SF","Tim Hardaway","DAL","POR",4100,18.59,4.5
"C","Nick Richards","CHA","@MIA",3800,18.48,4.9
"C","Jalen Duren","DET","BOS",3900,17.94,4.6
"PF/C","Larry Nance","NO","HOU",4600,17.57,3.8
"C","Christian Koloko","TOR","@IND",4400,17.47,4
"SF","Trey Murphy","NO","HOU",4700,17,3.6
"SF","Aaron Nesmith","IND","TOR",3800,16.78,4.4
"PG","T.J. McConnell","IND","TOR",3200,16.56,5.2
"PF/C","P.J. Tucker","PHI","ATL",3900,16.37,4.2
"PF","Georges Niang","PHI","ATL",4100,16.25,4
"PF/C","Maxi Kleber","DAL","POR",3500,16.13,4.6
"C","Usman Garuba","HOU","@NO",3200,15.5,4.8
"PF","Thaddeus Young","TOR","@IND",3200,15.43,4.8
"C","Dwight Powell","DAL","POR",4900,15.39,3.1
"PG","Jose Alvarado","NO","HOU",3500,15.16,4.3
"PF/C","Frank Kaminsky","ATL","@PHI",3000,14.9,5
"C","Dewayne Dedmon","MIA","CHA",3100,14.73,4.8
"PG/SG","Shake Milton","PHI","ATL",3100,14.46,4.7
"SF","Reggie Bullock","DAL","POR",3400,14.14,4.2
"PG/SG","Alec Burks","DET","BOS",4400,14.1,3.2
"PG","Gabe Vincent","MIA","CHA",4600,13.72,3
"PG","Killian Hayes","DET","BOS",3600,13.04,3.6
