"Pos","Player","Team","Opp","Salary","Proj","Value"
"SF/PF","LeBron James","LAL","PHX",11500,47.7,4.1
"PF/C","Julius Randle","NY","DET",8800,46.88,5.3
"C","Karl-Anthony Towns","MIN","@DAL",9900,46.4,4.7
"PF/C","Domantas Sabonis","IND","@MIA",9000,42.07,4.7
"PF/C","Kristaps Porzingis","DAL","MIN",8700,40.82,4.7
"PG","Russell Westbrook","LAL","PHX",9800,39.45,4
"SF","Brandon Ingram","NO","POR",8700,39.24,4.5
"C","Jonas Valanciunas","NO","POR",7800,38.61,5
"PG","Chris Paul","PHX","@LAL",8400,38.6,4.6
"PG","Damian Lillard","POR","@NO",8600,37.33,4.3
"SG/PG","D'Angelo Russell","MIN","@DAL",7900,37.12,4.7
"PG","Kyle Lowry","MIA","IND",7800,36.44,4.7
"C","Deandre Ayton","PHX","@LAL",8100,36.26,4.5
"SG","Devin Booker","PHX","@LAL",7500,36.1,4.8
"PG/SG","Jalen Brunson","DAL","MIN",7300,36.05,4.9
"PG/SG","Malcolm Brogdon","IND","@MIA",7800,35.29,4.5
"SG/SF","Alec Burks","NY","DET",5600,35.19,6.3
"PG","Kemba Walker","NY","DET",5700,34.95,6.1
"PG/SG","Cade Cunningham","DET","@NY",7700,34.05,4.4
"C/PF","Myles Turner","IND","@MIA",6500,33.88,5.2
"SG/SF","Caris LeVert","IND","@MIA",6500,32.15,4.9
"SF/SG","Norman Powell","POR","@NO",6300,31.83,5.1
"SG/SF","Josh Hart","NO","POR",6600,30.91,4.7
"SF/SG","Evan Fournier","NY","DET",5200,30.25,5.8
"SG/SF","Tyler Herro","MIA","IND",6200,29.06,4.7
"SG/SF","Tim Hardaway","DAL","MIN",6900,28.98,4.2
"SF","Saddiq Bey","DET","@NY",5200,28.18,5.4
"C","Jusuf Nurkic","POR","@NO",6300,27.34,4.3
"PF/SF","Larry Nance","POR","@NO",5400,27.2,5
"SF/SG","Dorian Finney-Smith","DAL","MIN",6000,27.15,4.5
"C","Dewayne Dedmon","MIA","IND",5700,26.83,4.7
