"Pos","Player","Team","Opp","Salary","Proj","Value"
"QB","Josh Allen","BUF","PIT",8200,26.92,3.3
"WR","Cooper Kupp","LAR","DAL",9600,25.19,2.6
"QB","Jalen Hurts","PHI","@ARI",8100,24.91,3.1
"QB","Tom Brady","TB","ATL",6000,22.57,3.8
"WR","Justin Jefferson","MIN","CHI",8900,21.37,2.4
"QB","Justin Herbert","LAC","@CLE",7100,20.84,2.9
"WR","Stefon Diggs","BUF","PIT",8400,20.8,2.5
"QB","Kyler Murray","ARI","PHI",7400,20.34,2.7
"WR","Tyreek Hill","MIA","@NYJ",8000,19.86,2.5
"RB","Christian McCaffrey","CAR","SF",8500,19.5,2.3
"RB","Austin Ekeler","LAC","@CLE",7800,19.18,2.5
"QB","Kirk Cousins","MIN","CHI",6300,18.89,3
"RB","Derrick Henry","TEN","@WAS",8200,18.84,2.3
"QB","Trevor Lawrence","JAX","HOU",5600,18.58,3.3
"QB","Teddy Bridgewater","MIA","@NYJ",5400,18.4,3.4
"QB","Matthew Stafford","LAR","DAL",6400,18.39,2.9
"WR","A.J. Brown","PHI","@ARI",7500,18.28,2.4
"RB","Leonard Fournette","TB","ATL",6900,18.23,2.6
"WR","Deebo Samuel","SF","@CAR",7700,18.05,2.3
"RB","Dalvin Cook","MIN","CHI",7300,17.73,2.4
"QB","Carson Wentz","WAS","TEN",5700,17.65,3.1
"WR","Mike Evans","TB","ATL",6900,17.48,2.5
"WR","Jaylen Waddle","MIA","@NYJ",6700,17.28,2.6
"QB","Andy Dalton","NO","SEA",5200,17.23,3.3
"QB","Ryan Tannehill","TEN","@WAS",5800,17.18,3
"QB","Jared Goff","DET","@NE",6100,17.14,2.8
"RB","Alvin Kamara","NO","SEA",6600,17.08,2.6
"QB","Geno Smith","SEA","@NO",5500,16.8,3.1
"QB","Marcus Mariota","ATL","@TB",5400,16.47,3
"QB","Jacoby Brissett","CLE","LAC",5600,16.06,2.9
"QB","Zach Wilson","NYJ","MIA",5300,16.02,3
"WR","Marquise Brown","ARI","PHI",7200,15.97,2.2
"WR","Chris Godwin","TB","ATL",5900,15.96,2.7
"RB","Nick Chubb","CLE","LAC",8000,15.91,2
"WR","CeeDee Lamb","DAL","@LAR",7000,15.88,2.3
"WR","Chris Olave","NO","SEA",5700,15.87,2.8
"QB","Jimmy Garoppolo","SF","@CAR",5400,15.7,2.9
"QB","Justin Fields","CHI","@MIN",5300,15.62,2.9
"WR","Christian Kirk","JAX","HOU",6600,15.59,2.4
"WR","D.K. Metcalf","SEA","@NO",6800,15.45,2.3
"WR","Brandin Cooks","HOU","@JAX",6100,15.28,2.5
"WR","Mike Williams","LAC","@CLE",7100,15.11,2.1
"QB","Cooper Rush","DAL","@LAR",5400,15.1,2.8
"WR","Drake London","ATL","@TB",5900,14.94,2.5
"WR","Tyler Lockett","SEA","@NO",5600,14.93,2.7
"QB","Kenny Pickett","PIT","@BUF",5100,14.9,2.9
"QB","Davis Mills","HOU","@JAX",5000,14.72,2.9
"RB","Jamaal Williams","DET","@NE",6500,14.68,2.3
"RB","Breece Hall","NYJ","MIA",5400,14.06,2.6
"RB","Damien Harris","NE","DET",5600,13.95,2.5
"WR","Amon-Ra St. Brown","DET","@NE",7600,13.9,1.8
"RB","James Robinson","JAX","HOU",6300,13.78,2.2
"QB","Bailey Zappe","NE","DET",5100,13.76,2.7
"RB","Dameon Pierce","HOU","@JAX",6200,13.7,2.2
"RB","Devin Singletary","BUF","PIT",6100,13.65,2.2
"WR","Amari Cooper","CLE","LAC",6000,13.57,2.3
"RB","Miles Sanders","PHI","@ARI",6500,13.52,2.1
"WR","DeVonta Smith","PHI","@ARI",6000,13.52,2.3
"WR","Curtis Samuel","WAS","TEN",5800,13.45,2.3
"WR","Gabe Davis","BUF","PIT",6400,13.31,2.1
"WR","Diontae Johnson","PIT","@BUF",6100,13.29,2.2
"WR","Terry McLaurin","WAS","TEN",6200,13.26,2.1
"RB","James Conner","ARI","PHI",6300,13.24,2.1
"QB","Baker Mayfield","CAR","SF",5100,13.16,2.6
"RB","Rhamondre Stevenson","NE","DET",5500,13.12,2.4
"WR","Robert Woods","TEN","@WAS",5200,13.06,2.5
"RB","Najee Harris","PIT","@BUF",6500,13.02,2
"WR","Adam Thielen","MIN","CHI",6300,12.98,2.1
"TE","T.J. Hockenson","DET","@NE",4900,12.64,2.6
"TE","Tyler Higbee","LAR","DAL",4300,12.07,2.8
"WR","Brandon Aiyuk","SF","@CAR",5400,12,2.2
"RB","Rashaad Penny","SEA","@NO",5300,11.71,2.2
"TE","Zach Ertz","ARI","PHI",4800,11.66,2.4
"RB","Antonio Gibson","WAS","TEN",5900,11.58,2
"RB","Raheem Mostert","MIA","@NYJ",5000,11.58,2.3
"RB","Ezekiel Elliott","DAL","@LAR",5800,11.47,2
"RB","David Montgomery","CHI","@MIN",6200,11.42,1.8
"TE","Dallas Goedert","PHI","@ARI",4700,11.41,2.4
"WR","D.J. Moore","CAR","SF",5200,11.36,2.2
"WR","Josh Reynolds","DET","@NE",4900,11.22,2.3
"RB","Kareem Hunt","CLE","LAC",6000,11.19,1.9
"WR","Garrett Wilson","NYJ","MIA",5200,11.1,2.1
"WR","Zay Jones","JAX","HOU",4100,10.92,2.7
"TE","George Kittle","SF","@CAR",5200,10.82,2.1
"WR","Jakobi Meyers","NE","DET",4800,10.73,2.2
"WR","Darnell Mooney","CHI","@MIN",5000,10.53,2.1
"RB","Cam Akers","LAR","DAL",5600,10.41,1.9
"RB","Tyler Allgeier","ATL","@TB",4700,10.39,2.2
"TE","Gerald Everett","LAC","@CLE",4200,10.3,2.5
"WR","Jarvis Landry","NO","SEA",4300,10.15,2.4
"WR","Isaiah McKenzie","BUF","PIT",5000,10.12,2
"WR","Elijah Moore","NYJ","MIA",5000,10.05,2
"TE","Pat Freiermuth","PIT","@BUF",4100,10.02,2.4
"TE","David Njoku","CLE","LAC",3800,9.87,2.6
"RB","Tony Pollard","DAL","@LAR",5700,9.76,1.7
"D","Bills","BUF","PIT",4100,9.63,2.3
"WR","Corey Davis","NYJ","MIA",5100,9.58,1.9
"WR","Josh Palmer","LAC","@CLE",5100,9.55,1.9
"WR","DeVante Parker","NE","DET",4700,9.53,2
"RB","Michael Carter","NYJ","MIA",4900,9.51,1.9
"WR","Michael Gallup","DAL","@LAR",5000,9.39,1.9
"WR","Nico Collins","HOU","@JAX",4100,9.39,2.3
"RB","J.D. McKissic","WAS","TEN",5200,9.35,1.8
"RB","Khalil Herbert","CHI","@MIN",5900,9.31,1.6
"WR","Nelson Agholor","NE","DET",4000,9.25,2.3
"RB","Chase Edmonds","MIA","@NYJ",5200,9.17,1.8
"D","Vikings","MIN","CHI",3600,9.15,2.5
"WR","Donovan Peoples-Jones","CLE","LAC",4100,9.1,2.2
"TE","Dalton Schultz","DAL","@LAR",3400,9.04,2.7
"WR","George Pickens","PIT","@BUF",4300,9.02,2.1
"D","49ers","SF","@CAR",3800,9.01,2.4
"WR","Rondale Moore","ARI","PHI",4100,8.95,2.2
"WR","Robbie Anderson","CAR","SF",4300,8.84,2.1
"D","Bucs","TB","ATL",3900,8.39,2.2
"TE","Tyler Conklin","NYJ","MIA",3700,8.38,2.3
"WR","Chase Claypool","PIT","@BUF",4400,8.35,1.9
"TE","Irv Smith","MIN","CHI",3200,8.25,2.6
"D","Dolphins","MIA","@NYJ",3200,8.23,2.6
"RB","Rex Burkhead","HOU","@JAX",5000,8.1,1.6
"TE","Logan Thomas","WAS","TEN",3200,8.04,2.5
"WR","Russell Gage","TB","ATL",4900,8.02,1.6
"D","Jaguars","JAX","HOU",3400,7.97,2.3
"D","Rams","LAR","DAL",3700,7.62,2.1
"TE","Evan Engram","JAX","HOU",3100,7.58,2.4
"WR","K.J. Osborn","MIN","CHI",4200,7.53,1.8
"D","Titans","TEN","@WAS",3000,7.46,2.5
"WR","Noah Brown","DAL","@LAR",4900,7.37,1.5
"WR","Olamide Zaccheaus","ATL","@TB",4000,7.37,1.8
