"Pos","Player","Team","Opp","Salary","Proj","Value"
"QB","Josh Allen","BUF","PIT",9000,25.74,2.9
"QB","Jalen Hurts","PHI","@ARI",8600,24.26,2.8
"QB","Tom Brady","TB","ATL",7800,21.06,2.7
"QB","Justin Herbert","LAC","@CLE",8200,20.1,2.5
"QB","Kyler Murray","ARI","PHI",8100,19.73,2.4
"WR","Cooper Kupp","LAR","DAL",9500,19,2
"QB","Kirk Cousins","MIN","CHI",7100,18.03,2.5
"QB","Trevor Lawrence","JAX","HOU",7600,17.87,2.4
"QB","Matthew Stafford","LAR","DAL",7400,17.73,2.4
"QB","Teddy Bridgewater","MIA","@NYJ",6400,17.54,2.7
"QB","Carson Wentz","WAS","TEN",6800,17.21,2.5
"QB","Andy Dalton","NO","SEA",6500,16.91,2.6
"QB","Jared Goff","DET","@NE",8000,16.88,2.1
"RB","Christian McCaffrey","CAR","SF",8700,16.87,1.9
"QB","Ryan Tannehill","TEN","@WAS",6900,16.77,2.4
"WR","Justin Jefferson","MIN","CHI",8800,16.76,1.9
"WR","Stefon Diggs","BUF","PIT",8600,16.61,1.9
"RB","Derrick Henry","TEN","@WAS",8900,16.48,1.9
"RB","Austin Ekeler","LAC","@CLE",9000,16.27,1.8
"QB","Geno Smith","SEA","@NO",6900,16.19,2.3
"QB","Marcus Mariota","ATL","@TB",6800,15.98,2.4
"RB","Leonard Fournette","TB","ATL",7800,15.94,2
"WR","Tyreek Hill","MIA","@NYJ",8400,15.89,1.9
"QB","Zach Wilson","NYJ","MIA",7200,15.48,2.1
"WR","Deebo Samuel","SF","@CAR",7300,15.47,2.1
"RB","Dalvin Cook","MIN","CHI",7300,15.43,2.1
"QB","Jacoby Brissett","CLE","LAC",6700,15.34,2.3
"QB","Jimmy Garoppolo","SF","@CAR",7000,15.19,2.2
"QB","Justin Fields","CHI","@MIN",6600,15.14,2.3
"RB","Alvin Kamara","NO","SEA",7000,15.09,2.2
"RB","Nick Chubb","CLE","LAC",9400,15.02,1.6
"WR","A.J. Brown","PHI","@ARI",8000,14.89,1.9
"WR","Mike Evans","TB","ATL",7500,14.54,1.9
"QB","Cooper Rush","DAL","@LAR",6500,14.49,2.2
"QB","Kenny Pickett","PIT","@BUF",6500,14.32,2.2
"WR","Jaylen Waddle","MIA","@NYJ",7700,14.09,1.8
"QB","Davis Mills","HOU","@JAX",6400,14.04,2.2
"RB","Damien Harris","NE","DET",7200,13.38,1.9
